my bare face in the wind
Basic
0.8 0.8
575.9999 518.4
Moved 76.93982 439.8973 477.9742 0.1387106 0.1735612
Moved 76.95535 430.1053 458.2107 0.1217107 0.1354372
Moved 76.96896 422.5217 443.3478 0.1085447 0.1067666
Moved 76.9856 416.6531 429.5675 0.09835615 0.08018416
Moved 77.00558 409.5851 412.6041 0.08608512 0.04746163
Moved 77.01675 405.8507 402.2685 0.07960185 0.02752407
Moved 77.03125 400.4219 388.5549 0.07017694 0.001070323
Moved 77.04749 396.2549 375.1829 0.06294242 -0.02472448
Moved 77.06259 391.9386 364.8773 0.05544901 -0.04460411
Moved 77.07755 390.5325 357.6624 0.05300783 -0.05852157
Moved 77.09256 389.3237 353.2948 0.05090922 -0.06694681
Moved 77.10904 387.9938 348.9814 0.04860036 -0.07526732
Moved 77.12418 388 343.2037 0.04861109 -0.08641271
Moved 77.13934 387 336.326 0.04687503 -0.09967986
Moved 77.15759 385.6802 328.0814 0.04458375 -0.1155837
Moved 77.17023 385.243 320.2151 0.04382476 -0.1307579
Moved 77.18567 385 315.4291 0.04340276 -0.1399903
Moved 77.20132 385 310 0.04340276 -0.150463
Moved 77.22229 383 298.4457 0.03993057 -0.1727515
Stationary 77.23401 383 298.4457 0.03993057 -0.1727515
Moved 77.24731 382 293.2549 0.03819443 -0.1827645
Moved 77.26355 380.9796 287.9182 0.03642283 -0.193059
Moved 77.27856 381 285.0817 0.03645829 -0.1985307
Moved 77.2934 380.1021 282.1021 0.03489941 -0.2042785
Moved 77.31012 380 279.3342 0.03472224 -0.2096177
Moved 77.32642 380 277.324 0.03472224 -0.2134954
Moved 77.34079 379.1029 275.2059 0.03316484 -0.2175812
Moved 77.35675 379 273.6821 0.0329861 -0.2205207
Moved 77.37131 379 271.2382 0.0329861 -0.225235
Moved 77.3873 379 268.5724 0.0329861 -0.2303774
Moved 77.40292 379 267.3604 0.0329861 -0.2327154
Moved 77.42288 379 264.8451 0.0329861 -0.2375674
Stationary 77.43503 379 264.8451 0.0329861 -0.2375674
Moved 77.44791 379 263.3984 0.0329861 -0.2403581
Moved 77.46335 379 261.9596 0.0329861 -0.2431335
Moved 77.47964 379 261 0.0329861 -0.2449846
Moved 77.4939 379 260.0847 0.0329861 -0.2467501
Moved 77.50946 379 258.6538 0.0329861 -0.2495105
Moved 77.52515 379 258.2069 0.0329861 -0.2503725
Moved 77.5401 378.0564 256.1128 0.03134794 -0.2544121
Moved 77.55624 377.5 255 0.03038198 -0.2565586
Moved 77.57181 378 254.6271 0.03124997 -0.2572781
Moved 77.58713 376.8704 255 0.0292889 -0.2565586
Moved 77.60321 372.241 255 0.02125181 -0.2565586
Moved 77.62427 353.1588 283.9777 -0.01187704 -0.2006604
Stationary 77.63559 353.1588 283.9777 -0.01187704 -0.2006604
Moved 77.64844 345.7436 293.7582 -0.02475064 -0.1817936
Moved 77.66464 337.3625 304.85 -0.03930118 -0.1603975
Moved 77.68021 327.5 316 -0.05642362 -0.1388889
Moved 77.69528 322.097 322.903 -0.06580379 -0.1255731
Moved 77.71088 316.3065 330.1168 -0.07585666 -0.1116575
Moved 77.72568 309.5547 336.4453 -0.08757862 -0.09944962
Moved 77.74069 303.816 343.48 -0.09754169 -0.0858796
Moved 77.75607 299 348 -0.1059028 -0.07716054
Moved 77.77158 293.0005 353.7994 -0.1163186 -0.06597336
Moved 77.78708 287.0519 358.7111 -0.126646 -0.05649878
Moved 77.80191 281.2781 364.0414 -0.13667 -0.04621641
