did you have a good time
Basic
0.8 0.8
575.9999 172.8
Moved 325.1117 476.3037 441 0.2019162 0.3067129
Moved 325.1281 474.2109 440 0.1982829 0.3009259
Moved 325.1421 471.5639 440 0.1936873 0.3009259
Moved 325.1566 469.6753 439 0.1904085 0.295139
Moved 325.1768 467.9063 439 0.1873373 0.295139
Moved 325.1901 466.8172 439 0.1854464 0.295139
Moved 325.2047 465.3271 438 0.1828596 0.2893519
Moved 325.2201 463.895 438 0.1803733 0.2893519
Stationary 325.2354 463.895 438 0.1803733 0.2893519
Moved 325.2504 462.0221 437.0221 0.1771217 0.2836927
Moved 325.2652 460.5795 437 0.1746172 0.2835649
Moved 325.2838 459.5 437 0.1727431 0.2835649
Stationary 325.2972 459.5 437 0.1727431 0.2835649
Moved 325.3181 457.5984 437 0.1694416 0.2835649
Moved 325.3303 456.5 437 0.1675347 0.2835649
Moved 325.3435 455.8678 437 0.1664372 0.2835649
Moved 325.3593 454.5 435.5 0.1640625 0.2748843
Moved 325.3747 453.9316 436 0.1630756 0.2777777
Stationary 325.3895 454 436 0.1631944 0.2777777
Stationary 325.4042 454 436 0.1631944 0.2777777
Ended 325.4217 451.8524 434.9262 0.159466 0.2715638
Began 325.8935 410 366 0.08680552 -0.1273148
Stationary 325.9134 410 366 0.08680552 -0.1273148
Stationary 325.9294 410 366 0.08680552 -0.1273148
Stationary 325.944 410 366 0.08680552 -0.1273148
Stationary 325.9589 410 366 0.08680552 -0.1273148
Stationary 325.9744 410 366 0.08680552 -0.1273148
Stationary 325.9897 410 366 0.08680552 -0.1273148
Stationary 326.0045 410 366 0.08680552 -0.1273148
Stationary 326.0203 410 366 0.08680552 -0.1273148
Stationary 326.0361 410 366 0.08680552 -0.1273148
Stationary 326.0501 410 366 0.08680552 -0.1273148
Stationary 326.0656 410 366 0.08680552 -0.1273148
Stationary 326.0886 410 366 0.08680552 -0.1273148
Stationary 326.0995 410 366 0.08680552 -0.1273148
Stationary 326.1129 410 366 0.08680552 -0.1273148
Stationary 326.1298 410 366 0.08680552 -0.1273148
Stationary 326.1441 410 366 0.08680552 -0.1273148
Stationary 326.1601 410 366 0.08680552 -0.1273148
Stationary 326.1761 410 366 0.08680552 -0.1273148
Stationary 326.1898 410 366 0.08680552 -0.1273148
Stationary 326.2048 410 366 0.08680552 -0.1273148
Stationary 326.2201 410 366 0.08680552 -0.1273148
Stationary 326.2372 410 366 0.08680552 -0.1273148
Stationary 326.2529 410 366 0.08680552 -0.1273148
Stationary 326.2683 410 366 0.08680552 -0.1273148
Stationary 326.2843 410 366 0.08680552 -0.1273148
Stationary 326.2997 410 366 0.08680552 -0.1273148
Stationary 326.3158 410 366 0.08680552 -0.1273148
Moved 326.3303 400.9708 366 0.07112987 -0.1273148
Stationary 326.352 400.9708 366 0.07112987 -0.1273148
Stationary 326.3634 400.9708 366 0.07112987 -0.1273148
Stationary 326.3824 400.9708 366 0.07112987 -0.1273148
Stationary 326.3926 400.9708 366 0.07112987 -0.1273148
Moved 326.4061 399.8755 366 0.06922825 -0.1273148
Stationary 326.4216 399.8755 366 0.06922825 -0.1273148
Stationary 326.4371 399.8755 366 0.06922825 -0.1273148
Moved 326.4524 399 374.4663 0.06770834 -0.0783198
Moved 326.4682 397.5 373 0.06510413 -0.08680555
Moved 326.4855 395.9102 374.0449 0.06234407 -0.08075856
Moved 326.5007 392.8803 374.5299 0.05708388 -0.07795175
Moved 326.5154 386.1493 375.9702 0.0453981 -0.06961699
Moved 326.5311 377.5384 377.4103 0.03044851 -0.06128311
Moved 326.5465 366.1845 378 0.01073703 -0.05787037
Moved 326.5617 351.2846 379.9431 -0.01513082 -0.04662585
Moved 326.5797 339.7067 380 -0.03523145 -0.04629612
Moved 326.5925 327.2957 380 -0.05677823 -0.04629612
Moved 326.6069 315.9982 380 -0.07639207 -0.04629612
Moved 326.624 303.7992 380 -0.09757082 -0.04629612
Moved 326.6393 290.9048 380 -0.1199569 -0.04629612
Moved 326.6582 281.5953 380 -0.1361193 -0.04629612
Moved 326.6696 268.2325 380 -0.1593186 -0.04629612
Moved 326.6849 259.6168 380 -0.1742764 -0.04629612
Moved 326.701 249.5 380 -0.1918403 -0.04629612
Moved 326.7156 241.3225 380 -0.2060373 -0.04629612
Moved 326.738 224.2031 374.2031 -0.2357585 -0.07984303
Stationary 326.7489 224.2031 374.2031 -0.2357585 -0.07984303
Moved 326.7626 218.1441 373 -0.2462776 -0.08680555
Moved 326.7769 211.0672 373 -0.2585638 -0.08680555
Moved 326.7929 203.5197 373 -0.2716672 -0.08680555
Moved 326.8068 196.7275 371.7455 -0.2834591 -0.09406532
Moved 326.8232 190.2053 371.3013 -0.2947824 -0.09663564
Moved 326.8381 184.4677 371 -0.3047435 -0.09837963
Moved 326.8526 179.7469 371 -0.3129394 -0.09837963
Moved 326.8691 175.7574 370.2525 -0.3198656 -0.1027054
Moved 326.8853 170.5524 370 -0.328902 -0.1041667
Moved 326.9006 163.5 370 -0.3411458 -0.1041667
Moved 326.9195 160.0442 370 -0.3471455 -0.1041667
Moved 326.9314 157.0273 370 -0.3523831 -0.1041667
