coming up with killer sound bites
Basic
0.6 0.6
432 388.8
Moved 155.4337 282.6743 495.6628 -0.1789947 0.2769105
Moved 155.4478 275.6261 498.5496 -0.19531 0.2843352
Moved 155.4633 270.1638 501.4181 -0.2079542 0.2917131
Moved 155.4828 264.4052 503.1487 -0.2212842 0.2961643
Moved 155.4948 257.5 506 -0.2372685 0.3034978
Moved 155.5096 253.2095 507.6976 -0.2472003 0.3078642
Moved 155.5248 248.5884 509.1372 -0.2578973 0.3115668
Moved 155.5411 244.2514 510.5829 -0.2679366 0.3152851
Moved 155.5561 239.9388 513.0408 -0.2779195 0.3216071
Moved 155.5712 237.0733 514.4633 -0.2845525 0.3252656
Moved 155.5867 235.187 514.9065 -0.2889189 0.3264055
Moved 155.6018 232.3018 516.3491 -0.2955977 0.3301159
Moved 155.6184 231.7015 517.2985 -0.2969873 0.3325578
Moved 155.6357 230.1476 517.8524 -0.3005841 0.3339823
Moved 155.6471 228.7125 518 -0.3039061 0.3343621
Moved 155.6637 228.2623 519.7377 -0.3049484 0.3388314
Stationary 155.6801 228 520 -0.3055556 0.3395061
Moved 155.6939 228 521 -0.3055556 0.3420781
Moved 155.7095 228 522.0662 -0.3055556 0.3448205
Stationary 155.7249 228 522 -0.3055556 0.3446501
Moved 155.7399 241.9869 523.6234 -0.2731786 0.3488254
Moved 155.7601 252.4637 524 -0.2489267 0.3497942
Moved 155.7726 262.0547 524 -0.2267252 0.3497942
Moved 155.7868 269.7595 524 -0.20889 0.3497942
Moved 155.8025 276.9739 524 -0.1921901 0.3497942
Moved 155.8186 281.5043 524 -0.181703 0.3497942
Moved 155.8343 284.8302 524 -0.1740042 0.3497942
Moved 155.8478 289.0868 524 -0.1641509 0.3497942
Moved 155.8639 292.4032 524 -0.156474 0.3497942
Moved 155.8786 296.7301 524 -0.1464581 0.3497942
Moved 155.8949 299.3725 524 -0.1403414 0.3497942
Moved 155.9105 302.2517 524 -0.1336766 0.3497942
Moved 155.925 304.5691 524 -0.1283123 0.3497942
Moved 155.9418 305.775 524 -0.1255208 0.3497942
Moved 155.9556 307.1491 524 -0.1223401 0.3497942
Moved 155.9727 308.5 524 -0.119213 0.3497942
Moved 155.989 309.0145 524 -0.1180221 0.3497942
Moved 156.0019 310.4719 524 -0.1146483 0.3497942
Stationary 156.0223 310.4719 524 -0.1146483 0.3497942
Moved 156.0346 311.3577 524 -0.112598 0.3497942
Stationary 156.0489 311 524 -0.113426 0.3497942
Ended 156.0639 312.5 513.5 -0.1099537 0.3227879
Began 156.4445 224 375 -0.3148148 -0.03343629
Stationary 156.4654 224 375 -0.3148148 -0.03343629
Stationary 156.4814 224 375 -0.3148148 -0.03343629
Stationary 156.4941 224 375 -0.3148148 -0.03343629
Stationary 156.5089 224 375 -0.3148148 -0.03343629
Stationary 156.5269 224 375 -0.3148148 -0.03343629
Stationary 156.5421 224 375 -0.3148148 -0.03343629
Stationary 156.5583 224 375 -0.3148148 -0.03343629
Stationary 156.5718 224 375 -0.3148148 -0.03343629
Moved 156.5876 247.1689 387.4507 -0.2611832 -0.00141289
Moved 156.604 261.6122 393.0449 -0.2277496 0.01297539
Moved 156.6187 283.9778 399.5229 -0.1759775 0.02963702
Moved 156.6349 311.0997 405.4199 -0.1131951 0.04480428
Moved 156.6539 363 417 0.006944438 0.0745884
Moved 156.6653 388.3389 421.0187 0.06559929 0.08492473
Moved 156.6806 408.4701 426.42 0.1121993 0.09881695
Moved 156.6958 423.5479 428 0.1471017 0.1028806
Moved 156.7116 436.9531 429.9896 0.1781321 0.1079977
Moved 156.7267 458.5647 434.3129 0.2281591 0.1191176
Moved 156.7427 471.6569 438.5971 0.2584651 0.1301365
Moved 156.7573 484.7896 444.2398 0.2888647 0.1446496
Moved 156.7748 491 449 0.3032407 0.156893
Moved 156.7888 498.2146 453.5288 0.3199413 0.1685411
Moved 156.8039 506.7618 459.1746 0.3397264 0.1830621
Moved 156.8183 511.6559 462.9247 0.3510553 0.1927075
Moved 156.8345 518.8571 467.5142 0.3677247 0.2045118
Moved 156.8485 525.4019 471.2009 0.3828748 0.2139941
Moved 156.8652 533.2439 477.2032 0.4010275 0.2294322
Moved 156.8807 537.4373 481.4373 0.4107345 0.2403222
Moved 156.8999 542.8636 486.4847 0.4232953 0.2533043
Moved 156.9116 546.1144 490.1144 0.4308203 0.2626398
Moved 156.9265 548.5005 495.001 0.4363437 0.2752083
Moved 156.9421 549.9407 499.7628 0.4396774 0.2874556
Moved 156.9567 551.3834 502.7668 0.4430172 0.295182
Moved 156.974 551 506.5146 0.4421297 0.3048214
Moved 156.9889 551 510.8283 0.4421297 0.3159164
Moved 157.0043 551 516.3926 0.4421297 0.3302278
Moved 157.0198 533.3365 528.4725 0.4012418 0.3612976
Moved 157.0343 523.2617 536.2416 0.3779207 0.3812798
Moved 157.0503 514.1287 541.7836 0.3567795 0.3955338
Moved 157.0654 507.4639 545.2681 0.3413515 0.404496
Moved 157.0815 499.6845 549.1577 0.3233438 0.4145002
Moved 157.0958 494.9472 550 0.3123778 0.4166666
Moved 157.1122 490.7403 550 0.3026396 0.4166666
Moved 157.1335 482.0588 550 0.2825436 0.4166666
Stationary 157.1444 482.0588 550 0.2825436 0.4166666
Moved 157.1572 477.7299 550 0.2725228 0.4166666
Moved 157.1742 472.5741 539.5741 0.2605882 0.389851
Moved 157.1894 466.7946 532.4932 0.2472097 0.3716387
Moved 157.2033 461.7763 522.5526 0.2355932 0.3460714
Moved 157.2201 458.2929 513.781 0.2275298 0.3235107
Moved 157.2356 454.0558 505.1116 0.2177217 0.3012129
Moved 157.2498 453.2595 496.8165 0.2158785 0.2798777
Moved 157.2655 451.8133 487.8797 0.2125308 0.2568922
Moved 157.2824 450.3652 471.1913 0.2091788 0.2139694
Moved 157.2973 450 462.5341 0.2083333 0.1917028
Moved 157.3124 450 452.5 0.2083333 0.165895
Moved 157.3284 450 443.6627 0.2083333 0.1431652
Moved 157.3431 450 431.6617 0.2083333 0.1122987
Moved 157.3625 450 421.6068 0.2083333 0.08643723
Moved 157.3737 457.9316 411.4789 0.2266935 0.06038822
Moved 157.3898 460.7417 401.4039 0.2331984 0.03447505
Moved 157.4044 460.7982 393.2106 0.2333292 0.01340156
Moved 157.4196 462.2448 383.2866 0.2366777 -0.01212297
Moved 157.4354 462 374.5 0.2361111 -0.03472222
Moved 157.4509 463 361.4912 0.2384259 -0.06818112
Moved 157.4661 463 349.8083 0.2384259 -0.09822963
Moved 157.4836 463 340.0333 0.2384259 -0.1233711
Moved 157.4967 463 329.9797 0.2384259 -0.1492293
Moved 157.5125 463 318.1094 0.2384259 -0.1797598
Moved 157.5307 463 308.7955 0.2384259 -0.2037154
Moved 157.5452 463 300.1252 0.2384259 -0.2260155
Moved 157.5591 463 297.6437 0.2384259 -0.2323978
Moved 157.5742 463 293.9421 0.2384259 -0.2419186
Moved 157.5962 463 286.1813 0.2384259 -0.2618793
Stationary 157.6081 463 286.1813 0.2384259 -0.2618793
Moved 157.6208 463 283.3039 0.2384259 -0.2692801
Moved 157.6354 455.2132 281.4263 0.2204009 -0.2741093
Moved 157.6513 452.5557 277.3336 0.2142494 -0.2846359
Moved 157.6668 451.7774 275.5548 0.2124477 -0.2892109
Moved 157.685 449.5331 272.7996 0.2072525 -0.2962973
Moved 157.696 446.6572 270.8286 0.2005953 -0.301367
Moved 157.7127 442.5452 269.3863 0.1910768 -0.3050765
Moved 157.7296 435.7269 266.8907 0.1752938 -0.3114951
Moved 157.7429 427.4864 265.498 0.1562186 -0.315077
Moved 157.7586 417.4537 265 0.1329947 -0.3163581
Moved 157.7749 411.7476 265 0.1197861 -0.3163581
Moved 157.7907 399.0413 265 0.09037346 -0.3163581
Moved 157.8121 385.6254 272.4997 0.05931794 -0.2970687
Moved 157.8234 373.9879 278.5061 0.03237933 -0.2816202
Moved 157.8367 363.2566 285.282 0.007538299 -0.2641925
Moved 157.8512 351.9223 293.5583 -0.01869837 -0.2429058
Moved 157.8673 344.4427 298.8459 -0.03601238 -0.2293058
