parking lot is full of trucks
Basic
0.6 0.6
432 388.8
Moved 284.4208 516 400 0.3611111 0.03086416
Moved 284.4358 519.0522 390.7912 0.3681764 0.007179009
Moved 284.4505 521.9133 386.6301 0.3747993 -0.003523571
Moved 284.4675 524.6551 379.5749 0.3811461 -0.0216696
Moved 284.4825 527.6525 373.695 0.3880845 -0.03679276
Moved 284.5038 528.4307 371.7079 0.3898858 -0.04190351
Moved 284.5165 529.867 368.266 0.3932106 -0.05075619
Moved 284.5284 531.3128 365.3744 0.3965575 -0.05819352
Moved 284.5445 532.7384 363.2616 0.3998575 -0.06362758
Moved 284.5597 534.1771 360.6457 0.4031878 -0.07035581
Moved 284.575 535 359.3841 0.4050927 -0.07360066
Moved 284.5904 536.0546 359 0.4075339 -0.07458848
Moved 284.6054 536 357.9102 0.4074074 -0.07739141
Moved 284.6205 536.5646 356.4354 0.4087144 -0.08118484
Moved 284.6364 537.5 355.5 0.4108796 -0.08359061
Moved 284.6524 538.2211 354.7789 0.4125488 -0.08544513
Moved 284.668 538 353.5 0.4120371 -0.08873464
Moved 284.683 538 354 0.4120371 -0.08744855
Moved 284.6977 538 352.5 0.4120371 -0.09130666
Stationary 284.7138 538 352.5 0.4120371 -0.09130666
Ended 284.7292 538 351.9036 0.4120371 -0.09284054
Began 285.1872 508 522 0.3425926 0.3446501
Stationary 285.2139 508 522 0.3425926 0.3446501
Stationary 285.2259 508 522 0.3425926 0.3446501
Stationary 285.2367 508 522 0.3425926 0.3446501
Stationary 285.2531 508 522 0.3425926 0.3446501
Stationary 285.2665 508 522 0.3425926 0.3446501
Stationary 285.2831 508 522 0.3425926 0.3446501
Stationary 285.2983 508 522 0.3425926 0.3446501
Stationary 285.3145 508 522 0.3425926 0.3446501
Moved 285.3297 497.8915 522 0.3191933 0.3446501
Moved 285.3456 491.7656 522 0.3050131 0.3446501
Moved 285.361 486.0231 512.0463 0.2917202 0.319049
Moved 285.3762 477.5655 508.9393 0.2721423 0.3110577
Moved 285.3922 469.9327 504.533 0.2544738 0.2997246
Moved 285.4073 462.6699 501.468 0.2376619 0.2918414
Moved 285.423 457.1481 498.574 0.2248799 0.2843982
Moved 285.4375 451.3883 495.6942 0.2115471 0.276991
Moved 285.4599 437.9332 487.9499 0.1804008 0.2570727
Stationary 285.4712 437.9332 487.9499 0.1804008 0.2570727
Moved 285.4837 432.1589 485.0795 0.1670345 0.2496899
Moved 285.4995 427.6321 482.6528 0.1565558 0.2434485
Moved 285.5151 423.9978 479.9978 0.1481431 0.2366198
Moved 285.5316 418.2386 477.1193 0.1348117 0.2292163
Moved 285.5471 414.3702 475.1234 0.125857 0.2240827
Moved 285.5609 407.4214 471.0529 0.1097718 0.2136132
Moved 285.5769 401.9691 468.4846 0.0971507 0.2070076
Moved 285.5921 397.4196 465.613 0.08661935 0.1996219
Moved 285.6078 393.5 464.5 0.07754634 0.1967592
Moved 285.6228 387.8856 460.5904 0.06454994 0.1867036
Moved 285.6382 382.4239 457.712 0.0519072 0.1793002
Moved 285.6546 376.6675 455.2507 0.03858229 0.1729697
Moved 285.6696 369.9031 451.9612 0.02292395 0.1645093
Moved 285.6843 362.7073 447.6244 0.006267031 0.1533548
Moved 285.7039 356.4218 445.2109 -0.00828286 0.1471472
Moved 285.7168 350.6791 443.6698 -0.02157614 0.1431836
Moved 285.7312 346.6315 441.3157 -0.03094569 0.1371289
Moved 285.7469 343.3459 439.2307 -0.03855104 0.131766
Moved 285.7623 339.0282 437.6761 -0.04854575 0.1277676
Moved 285.7777 335.474 436.237 -0.05677313 0.1240663
Moved 285.7929 332.5956 433.5956 -0.06343623 0.1172725
Moved 285.8087 328.7267 432.3633 -0.07239178 0.1141032
Moved 285.8242 325.8503 429.8503 -0.07905011 0.1076397
Moved 285.8394 323.7579 428.879 -0.08389373 0.1051413
Moved 285.8552 320.7946 426.3973 -0.09075313 0.09875847
Moved 285.8715 317.9164 424.9582 -0.0974157 0.09505703
Moved 285.8862 316.519 423.519 -0.1006504 0.09135532
Moved 285.901 315.0825 423 -0.1039758 0.09002049
Moved 285.9161 312.2793 421.6396 -0.1104646 0.0865216
Moved 285.9374 310.0497 419.0497 -0.1156258 0.07986022
Stationary 285.9488 310.0497 419.0497 -0.1156258 0.07986022
Moved 285.9618 308.6253 417.6252 -0.118923 0.07619649
Moved 285.979 306.3629 416.1814 -0.12416 0.07248297
Moved 285.9936 303.504 413.504 -0.1307779 0.06559651
Moved 286.0081 300.9319 410.6213 -0.1367316 0.05818241
Moved 286.0237 297.7431 407.7431 -0.1441132 0.05077954
Moved 286.0388 293.8672 404.8672 -0.1530852 0.0433826
Moved 286.0552 291.493 403.2465 -0.1585809 0.03921426
Moved 286.0698 289.8965 401.8965 -0.1622767 0.03574191
Moved 286.085 287.9078 399.4539 -0.1668801 0.02945943
Moved 286.1008 286.0148 398.0148 -0.1712621 0.02575808
Moved 286.117 284.5674 396.5674 -0.1746125 0.02203537
Moved 286.1316 283.1385 396 -0.1779201 0.02057605
Moved 286.1473 281.6965 394.6965 -0.1812581 0.01722355
Stationary 286.1659 281.6965 394.6965 -0.1812581 0.01722355
