parking lot is full of trucks
Basic
0.6 0.6
432 129.6
Moved 301.485 436.9795 422.959 0.1781932 0.2697453
Moved 301.5013 437 420.0732 0.1782407 0.2474787
Moved 301.5167 436.3229 417.6458 0.1766734 0.2287486
Moved 301.5329 436 413.9644 0.1759259 0.2003428
Moved 301.5488 436 409.6479 0.1759259 0.1670363
Moved 301.5626 436 406.3338 0.1759259 0.1414648
Moved 301.5787 434.6681 403.3362 0.1728428 0.1183347
Moved 301.5934 435 400.4517 0.1736111 0.09607775
Moved 301.6088 435 397.5717 0.1736111 0.07385584
Moved 301.6243 435 395 0.1736111 0.05401247
Moved 301.64 435 393.5289 0.1736111 0.04266103
Moved 301.6554 435 391.8291 0.1736111 0.02954566
Moved 301.6715 435 389.3881 0.1736111 0.01071023
Moved 301.6866 435 387.9512 0.1736111 -0.0003762893
Moved 301.7028 435 386.5165 0.1736111 -0.01144656
Moved 301.7171 435 385.0865 0.1736111 -0.02248022
Moved 301.7393 435 382.627 0.1736111 -0.04145799
Stationary 301.7505 435 382.627 0.1736111 -0.04145799
Moved 301.7631 435 381.0736 0.1736111 -0.05344438
Moved 301.7774 435 378.2695 0.1736111 -0.07508078
Moved 301.7939 435 376.3819 0.1736111 -0.08964562
Moved 301.8098 435 373.5173 0.1736111 -0.1117494
Moved 301.8253 435 370.6276 0.1736111 -0.1340461
Moved 301.8404 435 367.7547 0.1736111 -0.1562137
Moved 301.8559 435 366.8287 0.1736111 -0.163359
Moved 301.8716 435 363.6676 0.1736111 -0.18775
Moved 301.887 435 361.8973 0.1736111 -0.2014099
Moved 301.9024 435 359.4522 0.1736111 -0.2202762
Moved 301.9172 435 358.0165 0.1736111 -0.2313543
Moved 301.9329 435 355.1558 0.1736111 -0.2534278
Moved 301.9479 435 354.0892 0.1736111 -0.2616576
Moved 301.9634 435 352.0084 0.1736111 -0.2777126
Moved 301.9801 435 349.5617 0.1736111 -0.2965918
Moved 301.9951 435 347.2335 0.1736111 -0.3145562
Moved 302.0132 433.6766 344.3533 0.1705478 -0.3367805
Moved 302.0259 433.2358 341.4716 0.1695272 -0.3590155
Moved 302.0422 433 339.7997 0.1689814 -0.3719158
Moved 302.0555 432.3561 338.3561 0.1674909 -0.3830547
Moved 302.0719 432 337.1817 0.1666667 -0.3921165
Moved 302.087 432 334.628 0.1666667 -0.4118208
Moved 302.1011 431 333.3604 0.1643519 -0.421602
Moved 302.117 429.9324 331.9324 0.1618805 -0.4326199
Moved 302.1342 430 330.5 0.162037 -0.4436729
Moved 302.1487 429.0426 329.0426 0.1598208 -0.4549184
Moved 302.1636 428.5 328.5 0.1585648 -0.459105
Moved 302.179 429 327.6266 0.1597223 -0.4658445
Stationary 302.1942 429 327.6266 0.1597223 -0.4658445
Moved 302.2089 428 327 0.1574074 -0.470679
Moved 302.2252 428 325.5 0.1574074 -0.4822531
Moved 302.2411 426.8776 326 0.1548094 -0.4783953
Moved 302.256 427 324.5 0.1550926 -0.4899689
Moved 302.2798 424.5 323.5 0.1493056 -0.4976852
Stationary 302.2903 424.5 323.5 0.1493056 -0.4976852
Moved 302.3017 423.305 324 0.1465394 -0.4938269
Moved 302.3177 421.8544 324 0.1431816 -0.4938269
Moved 302.3329 420.5 324 0.1400463 -0.4938269
Moved 302.3493 419.9893 324 0.1388641 -0.4938269
Moved 302.3648 418.5508 324 0.1355344 -0.4938269
Moved 302.3803 416.1068 324 0.1298768 -0.4938269
Moved 302.3958 414.6628 324 0.1265343 -0.4938269
Moved 302.4107 413.6706 324 0.1242374 -0.4938269
Moved 302.4269 412.1196 324 0.1206473 -0.4938269
Moved 302.4416 410.6795 324 0.1173136 -0.4938269
Moved 302.4582 409.2378 324 0.1139764 -0.4938269
