watch out for low flying objects
Basic
0.4 0.4
288 259.2
Moved 401.3652 333.6266 480 -0.09157448 0.3549381
Moved 401.3805 332.6271 480 -0.09504475 0.3549381
Stationary 401.3952 332.6271 480 -0.09504475 0.3549381
Stationary 401.4105 332.6271 480 -0.09504475 0.3549381
Moved 401.4264 331.8376 480 -0.09778626 0.3549381
Stationary 401.4405 331.8376 480 -0.09778626 0.3549381
Stationary 401.4555 331.8376 480 -0.09778626 0.3549381
Ended 401.4716 332 480 -0.09722225 0.3549381
Began 402.8625 327 293 -0.1145833 -0.3665124
Stationary 402.8753 327 293 -0.1145833 -0.3665124
Stationary 402.8904 327 293 -0.1145833 -0.3665124
Stationary 402.9071 327 293 -0.1145833 -0.3665124
Stationary 402.9225 327 293 -0.1145833 -0.3665124
Stationary 402.9384 327 293 -0.1145833 -0.3665124
Stationary 402.9542 327 293 -0.1145833 -0.3665124
Stationary 402.9681 327 293 -0.1145833 -0.3665124
Stationary 402.989 327 293 -0.1145833 -0.3665124
Stationary 402.9998 327 293 -0.1145833 -0.3665124
Stationary 403.0136 327 293 -0.1145833 -0.3665124
Stationary 403.0284 327 293 -0.1145833 -0.3665124
Stationary 403.0458 327 293 -0.1145833 -0.3665124
Stationary 403.0623 327 293 -0.1145833 -0.3665124
Stationary 403.0772 327 293 -0.1145833 -0.3665124
Stationary 403.092 327 293 -0.1145833 -0.3665124
Stationary 403.107 327 293 -0.1145833 -0.3665124
Stationary 403.1223 327 293 -0.1145833 -0.3665124
Stationary 403.1371 327 293 -0.1145833 -0.3665124
Stationary 403.1531 327 293 -0.1145833 -0.3665124
Stationary 403.1683 327 293 -0.1145833 -0.3665124
Stationary 403.1846 327 293 -0.1145833 -0.3665124
Stationary 403.2002 327 293 -0.1145833 -0.3665124
Moved 403.2141 327 302.5936 -0.1145833 -0.3295002
Moved 403.2307 327 305.0529 -0.1145833 -0.3200121
Moved 403.2479 327 306.4655 -0.1145833 -0.3145624
Moved 403.2667 327 308.3763 -0.1145833 -0.3071901
Moved 403.2787 327 314.0341 -0.1145833 -0.2853623
Stationary 403.2935 327 314.3383 -0.1145833 -0.2841887
Moved 403.3086 327 317.5114 -0.1145833 -0.2719469
Moved 403.3239 327 324.3145 -0.1145833 -0.2457005
Moved 403.339 327 326.1439 -0.1145833 -0.2386425
Moved 403.3555 327 332.6183 -0.1145833 -0.2136641
Moved 403.3697 327 336.9431 -0.1145833 -0.1969787
Moved 403.386 327 341.2592 -0.1145833 -0.1803271
Moved 403.4005 327 344.3459 -0.1145833 -0.1684188
Moved 403.4149 327 348.1952 -0.1145833 -0.153568
Moved 403.4308 327 352.1145 -0.1145833 -0.1384472
Moved 403.447 327 354.9569 -0.1145833 -0.1274812
Moved 403.4625 327 356.3755 -0.1145833 -0.1220081
Moved 403.4781 327 360.6972 -0.1145833 -0.105335
Moved 403.4928 327 363.2037 -0.1145833 -0.09566471
Moved 403.5085 327 364.5 -0.1145833 -0.09066369
Moved 403.5265 327 368.68 -0.1145833 -0.07453706
Moved 403.5486 337.5 373.5 -0.07812499 -0.05594147
Moved 403.5617 334 374.4408 -0.09027779 -0.05231186
Moved 403.5727 335.6563 377.9688 -0.08452691 -0.03870092
Moved 403.5858 336 381.2025 -0.08333333 -0.02622498
Moved 403.6004 337.5 385.5 -0.07812499 -0.009645179
Moved 403.6155 338.2589 387.7766 -0.0754901 -0.0008620744
Moved 403.6315 342.2086 394.2781 -0.06177582 0.02422085
Moved 403.6478 345 400 -0.05208335 0.04629623
Moved 403.6624 347.6737 404.1229 -0.04279963 0.06220228
Moved 403.678 356.8851 413.8851 -0.01081549 0.09986529
Moved 403.6928 359.3982 417.4978 -0.002089515 0.1138031
Moved 403.7095 371.549 426.0327 0.04010066 0.1467307
Moved 403.7241 376 431 0.05555555 0.1658949
Moved 403.7402 379.4469 432.2681 0.06752402 0.1707875
Moved 403.7562 389.3727 439.8236 0.1019884 0.1999366
Moved 403.7705 394.8528 444.4265 0.1210168 0.2176946
Moved 403.7875 399.4658 448.4658 0.137034 0.2332783
Moved 403.8062 403.7672 451.1781 0.1519693 0.2437425
Moved 403.8175 408.0798 454.0532 0.1669438 0.2548349
Moved 403.8312 410.9059 456.9059 0.1767567 0.2658406
Moved 403.848 413.7038 458.1359 0.1864716 0.2705858
Moved 403.8633 417.0133 460.0067 0.1979628 0.2778032
Moved 403.8778 419.891 462.891 0.2079548 0.2889312
Moved 403.8953 421.3296 463.1648 0.2129499 0.2899875
Moved 403.9099 425.6744 466.6744 0.2280362 0.3035277
Stationary 403.925 426.0477 467.0477 0.2293323 0.3049679
Moved 403.9404 429.2061 469.2062 0.2402991 0.3132952
Moved 403.9559 431.4055 471.4056 0.247936 0.3217806
Moved 403.971 433.42 471.71 0.2549304 0.3229551
Moved 403.9874 435.1463 473.1463 0.2609247 0.3284963
Moved 404.0019 436.5805 474.5805 0.2659043 0.3340296
Moved 404.0176 438.0181 476.0181 0.2708961 0.339576
Moved 404.0322 439.4609 477.4609 0.2759058 0.345142
Moved 404.0556 441.5 479.5 0.2829862 0.3530091
Moved 404.0684 442.0093 479 0.2847545 0.3510802
Moved 404.0798 443.4512 480.4512 0.289761 0.3566788
Moved 404.0943 443 481.1705 0.2881944 0.3594538
Moved 404.1101 444 482.3257 0.2916667 0.3639109
Moved 404.125 445.0452 482 0.2952957 0.3626542
Stationary 404.1392 445.0452 482 0.2952957 0.3626542
Moved 404.1552 445 483.214 0.2951389 0.3673378
Stationary 404.1704 445 483.214 0.2951389 0.3673378
Stationary 404.186 445 483.214 0.2951389 0.3673378
Stationary 404.202 445 483 0.2951389 0.3665121
Stationary 404.216 445 483 0.2951389 0.3665121
Stationary 404.2331 445 483 0.2951389 0.3665121
Stationary 404.2484 445 483 0.2951389 0.3665121
Moved 404.2638 434.2724 483 0.2578902 0.3665121
Moved 404.2791 431.7536 483 0.2491446 0.3665121
Moved 404.3002 422.3731 483 0.2165733 0.3665121
Moved 404.314 419.4874 483 0.2065533 0.3665121
Moved 404.326 416.6392 483 0.1966639 0.3665121
Moved 404.3438 406.9933 483 0.1631713 0.3665121
Moved 404.3575 402.196 483 0.146514 0.3665121
Moved 404.3704 399.3103 483 0.136494 0.3665121
Moved 404.3875 394.3532 483 0.119282 0.3665121
Moved 404.4031 390.9626 483 0.1075089 0.3665121
Moved 404.418 385.1502 483 0.08732706 0.3665121
Moved 404.4346 380.2996 483 0.07048457 0.3665121
Moved 404.4519 374.6187 483 0.05075946 0.3665121
Moved 404.4662 370.6461 483 0.0369656 0.3665121
Moved 404.4803 366.3174 474.4073 0.0219354 0.3333612
Moved 404.4951 361.6619 476 0.005770325 0.339506
Moved 404.5113 358.5634 475.1878 -0.004988014 0.3363726
Moved 404.5321 351.7438 474.3719 -0.02866737 0.3332247
Stationary 404.5453 351.7438 474.3719 -0.02866737 0.3332247
Moved 404.5567 347.8149 474 -0.04230931 0.3317901
Moved 404.5717 344.9722 473.4861 -0.05217976 0.3298074
Moved 404.5876 342.0806 473 -0.06222017 0.3279319
Moved 404.6031 339.1814 473 -0.07228672 0.3279319
Moved 404.6199 336.7007 473 -0.08090048 0.3279319
Moved 404.6356 333.6962 472.3481 -0.09133264 0.3254169
Moved 404.65 330.8119 472 -0.1013475 0.324074
Moved 404.6649 329.4584 472 -0.1060471 0.324074
Stationary 404.6801 328.7388 472 -0.1085457 0.324074
Moved 404.6975 324.564 471 -0.1230418 0.3202158
Moved 404.7111 323.8361 471 -0.125569 0.3202158
Moved 404.726 322.5 471 -0.1302084 0.3202158
Moved 404.7433 319.1361 470 -0.1418884 0.3163579
Stationary 404.7602 319.1361 470 -0.1418884 0.3163579
Moved 404.7719 316.5 469 -0.1510417 0.3125
Moved 404.7891 315.0451 468.0451 -0.1560934 0.3088159
Moved 404.804 313.6063 468 -0.1610892 0.3086418
Moved 404.8181 312.1676 467.1676 -0.1660847 0.3054304
Moved 404.8348 310.7252 467 -0.171093 0.3047838
Moved 404.8502 309.6845 467 -0.1747067 0.3047838
Moved 404.8653 309 466.1542 -0.1770833 0.3015209
Moved 404.8799 307.7146 466 -0.1815464 0.3009257
Moved 404.8974 307 466 -0.1840278 0.3009257
Moved 404.9114 305.8376 466 -0.1880639 0.3009257
Moved 404.9267 305.3955 465.3955 -0.1895988 0.2985937
Moved 404.9425 304.5 464.5 -0.1927083 0.2951388
Stationary 404.958 304.5 464.5 -0.1927083 0.2951388
Moved 404.9723 303.8248 465 -0.1950528 0.2970678
Moved 404.9942 302.8438 465 -0.1984589 0.2970678
Stationary 405.0048 302.8438 465 -0.1984589 0.2970678
Stationary 405.0187 303 465 -0.1979167 0.2970678
Stationary 405.0341 303 465 -0.1979167 0.2970678
Ended 405.0491 303 465 -0.1979167 0.2970678
Began 406.6656 539 377 0.6215277 -0.04243838
Stationary 406.6856 539 377 0.6215277 -0.04243838
Stationary 406.7016 539 377 0.6215277 -0.04243838
Stationary 406.7162 539 377 0.6215277 -0.04243838
Stationary 406.729 539 377 0.6215277 -0.04243838
Stationary 406.7472 539 377 0.6215277 -0.04243838
Stationary 406.7614 539 377 0.6215277 -0.04243838
Moved 406.7761 529.4867 377 0.5884954 -0.04243838
Moved 406.8004 526.124 377 0.5768195 -0.04243838
Stationary 406.8109 526.124 377 0.5768195 -0.04243838
Moved 406.8221 524.6313 377 0.5716364 -0.04243838
Moved 406.8393 523.1904 377 0.5666332 -0.04243838
Moved 406.8536 520.5383 377 0.5574245 -0.04243838
Moved 406.8688 519.5 377 0.5538194 -0.04243838
Moved 406.8846 518.2103 377 0.5493414 -0.04243838
Moved 406.9007 516.7715 377 0.5443456 -0.04243838
Moved 406.9157 515.3328 381.67 0.53935 -0.02442124
Moved 406.9309 513.8972 385.1028 0.5343653 -0.01117765
Moved 406.9471 512.4568 385.5432 0.529364 -0.009478698
Moved 406.9619 510.0277 387.9724 0.5209293 -0.000106788
Moved 406.9766 508.579 389.421 0.5158995 0.005482096
Moved 406.9944 506.2555 391.7445 0.5078316 0.01444634
