did you have a good time
Basic
0.6 0.6
432 129.6
Stationary 322.91 199 389.1002 -0.3726852 0.00848935
Moved 322.9251 199 390.3734 -0.3726852 0.01831349
Moved 322.9416 199 391.0407 -0.3726852 0.02346251
Moved 322.9565 199 392.5319 -0.3726852 0.03496853
Moved 322.9717 205.7846 393 -0.3569801 0.03858013
Moved 322.9871 207.408 394.408 -0.3532223 0.04944425
Moved 323.0024 208.8443 395.8443 -0.3498975 0.06052712
Moved 323.0188 212.8369 398.5579 -0.3406554 0.08146568
Moved 323.0334 220.6597 400.4639 -0.3225469 0.09617253
Moved 323.0495 225.4697 401.8674 -0.3114126 0.1070019
Moved 323.0653 232.299 403.2598 -0.2956042 0.1177455
Moved 323.0802 240.1909 403 -0.277336 0.1157407
Moved 323.0945 247.67 403 -0.2600231 0.1157407
Moved 323.1147 255.4559 403 -0.2420003 0.1157407
Moved 323.1275 262.9886 403 -0.2245634 0.1157407
Moved 323.1417 270.2021 403 -0.2078655 0.1157407
Moved 323.1555 275.3717 403 -0.1958989 0.1157407
Moved 323.1729 281.0591 395.8965 -0.1827335 0.06092966
Moved 323.1898 286.8139 394.5465 -0.1694122 0.05051331
Moved 323.2034 294.4469 392.2213 -0.1517432 0.03257151
Moved 323.2178 301.6597 389.3361 -0.1350469 0.01030969
Moved 323.2355 308.8344 387.4662 -0.1184388 -0.004118461
Moved 323.2511 316.0111 384.5956 -0.1018261 -0.02626866
Moved 323.2656 322.5 383.5 -0.08680557 -0.03472222
Moved 323.281 329.4646 380.5118 -0.07068385 -0.05777877
Moved 323.2962 335.7181 378.8205 -0.05620817 -0.07082928
Moved 323.3119 341.4705 376.3824 -0.04289244 -0.08964209
Moved 323.3263 347.2543 373.8729 -0.02950395 -0.1090055
Moved 323.3471 350.5057 372.4981 -0.02197747 -0.1196136
Moved 323.3576 353.8814 372 -0.0141634 -0.1234566
Moved 323.3725 358.291 369.1393 -0.00395591 -0.14553
Moved 323.3902 359.0086 369.4957 -0.002294977 -0.1427799
Moved 323.405 361.889 368.0555 0.004372696 -0.1538929
Moved 323.4192 363.3846 368 0.007834832 -0.154321
Moved 323.4341 365.8224 366.1776 0.0134779 -0.1683829
Moved 323.4506 367.2621 364.7379 0.0168104 -0.1794912
Moved 323.4662 368.6983 364.3017 0.02013505 -0.1828573
Moved 323.4811 370.1432 362.8568 0.02347976 -0.1940063
Stationary 323.4962 370.1432 362.8568 0.02347976 -0.1940063
Moved 323.5112 370.6932 362 0.02475282 -0.2006171
Moved 323.5268 371 360.8675 0.025463 -0.2093555
Stationary 323.5414 371 360.8675 0.025463 -0.2093555
Moved 323.5564 371 359.6255 0.025463 -0.2189387
Moved 323.5728 372.2294 360 0.02830873 -0.2160494
Moved 323.5931 372 358.5 0.02777775 -0.2276235
Stationary 323.6057 372 358.5 0.02777775 -0.2276235
Moved 323.6193 372 357.8776 0.02777775 -0.2324257
Stationary 323.6351 372 358 0.02777775 -0.2314815
Stationary 323.6508 372 358 0.02777775 -0.2314815
Moved 323.6657 372 356.5 0.02777775 -0.2430556
Moved 323.6817 372 357 0.02777775 -0.2391975
Moved 323.697 361.7635 357 0.004082223 -0.2391975
Moved 323.7129 357.7195 357 -0.005278836 -0.2391975
Moved 323.7272 353.3862 357 -0.0153097 -0.2391975
Moved 323.7426 349.0835 357 -0.02526969 -0.2391975
Moved 323.7579 344.7692 357 -0.03525649 -0.2391975
Moved 323.7734 340.5 357 -0.0451389 -0.2391975
Moved 323.7894 335.1432 357 -0.05753884 -0.2391975
Moved 323.8048 329.4331 357 -0.07075662 -0.2391975
Moved 323.8262 319.2692 357 -0.09428427 -0.2391975
Moved 323.8506 314.8803 357 -0.1044437 -0.2391975
Moved 323.8678 309.7463 357 -0.116328 -0.2391975
Moved 323.882 306.514 357 -0.1238102 -0.2391975
Moved 323.8968 303.3031 357 -0.1312428 -0.2391975
Moved 323.9134 300.7591 357 -0.1371318 -0.2391975
Moved 323.9293 298 357 -0.1435185 -0.2391975
Moved 323.9435 296.3628 357 -0.1473083 -0.2391975
Moved 323.9598 293.8309 357 -0.1531691 -0.2391975
Moved 323.9758 292.5128 357 -0.1562202 -0.2391975
Moved 323.9908 291.0728 357 -0.1595536 -0.2391975
Moved 324.0045 289.6363 357 -0.1628789 -0.2391975
Moved 324.0205 289 357 -0.1643519 -0.2391975
Moved 324.0365 287.7578 365.695 -0.1672272 -0.1721064
Moved 324.0516 286.7328 365.2672 -0.1696 -0.1754078
Moved 324.0734 286 370.4632 -0.1712963 -0.1353149
Stationary 324.0838 286 370.4632 -0.1712963 -0.1353149
Moved 324.0975 286 373.3505 -0.1712963 -0.1130361
Moved 324.1138 286 376.2245 -0.1712963 -0.09085997
Moved 324.1298 286 381.6535 -0.1712963 -0.04896965
Moved 324.145 286 385.9871 -0.1712963 -0.01553135
Moved 324.1585 286 389.1633 -0.1712963 0.008976077
Moved 324.175 286 395 -0.1712963 0.05401247
Moved 324.1915 286 398.8547 -0.1712963 0.08375592
Moved 324.205 286 403.1635 -0.1712963 0.1170021
Moved 324.2202 294.8319 407.4957 -0.1508521 0.15043
Moved 324.2377 297.5515 410.5515 -0.1445567 0.1740083
Moved 324.2517 299.4229 413.4229 -0.1402249 0.196164
Moved 324.2665 300.8871 415.7741 -0.1368355 0.2143065
Moved 324.2888 303 419.728 -0.1319445 0.2448147
Stationary 324.3001 303 419.728 -0.1319445 0.2448147
Moved 324.3136 304.1682 421.1682 -0.1292403 0.255927
Moved 324.3294 304.6083 422.6083 -0.1282216 0.2670391
Moved 324.3444 305 424.0485 -0.1273148 0.2781523
Moved 324.3597 305 425.4886 -0.1273148 0.2892644
Moved 324.3748 305 426.6945 -0.1273148 0.2985684
Moved 324.3913 305 428.0328 -0.1273148 0.3088955
Moved 324.4053 305 429.4688 -0.1273148 0.3199754
Stationary 324.421 305 429.4688 -0.1273148 0.3199754
Moved 324.4377 305 431.3466 -0.1273148 0.3344648
Moved 324.452 305 432.7878 -0.1273148 0.3455847
Moved 324.4676 305 434.2245 -0.1273148 0.3566704
Moved 324.4921 305 436.7301 -0.1273148 0.376004
Stationary 324.5055 305 437 -0.1273148 0.3780865
Stationary 324.5165 305 437 -0.1273148 0.3780865
Moved 324.5277 305 440 -0.1273148 0.4012346
Moved 324.5437 305 441.047 -0.1273148 0.4093132
Stationary 324.5599 305 441.047 -0.1273148 0.4093132
Moved 324.5748 298 441.9245 -0.1435185 0.4160843
Moved 324.5896 296.6353 442 -0.1466776 0.4166667
Stationary 324.6053 296.6353 442 -0.1466776 0.4166667
Moved 324.6209 296.0826 443 -0.1479569 0.4243827
Moved 324.6389 294.6463 443 -0.1512818 0.4243827
Stationary 324.653 294.6463 443 -0.1512818 0.4243827
Moved 324.6685 293.6266 443 -0.1536423 0.4243827
Moved 324.6835 293 443 -0.1550926 0.4243827
Moved 324.7027 291.9121 443 -0.1576108 0.4243827
Stationary 324.7141 292 443 -0.1574074 0.4243827
Stationary 324.7281 292 443 -0.1574074 0.4243827
Stationary 324.744 292 443 -0.1574074 0.4243827
Ended 324.7593 292 443 -0.1574074 0.4243827
Began 325.7595 207 439 -0.3541667 0.3935187
Stationary 325.7797 207 439 -0.3541667 0.3935187
Stationary 325.7954 207 439 -0.3541667 0.3935187
Stationary 325.8101 207 439 -0.3541667 0.3935187
Stationary 325.8248 207 439 -0.3541667 0.3935187
Stationary 325.8411 207 439 -0.3541667 0.3935187
Stationary 325.8544 207 439 -0.3541667 0.3935187
Stationary 325.8729 207 439 -0.3541667 0.3935187
Stationary 325.8849 207 439 -0.3541667 0.3935187
Stationary 325.9007 207 439 -0.3541667 0.3935187
Stationary 325.9165 207 439 -0.3541667 0.3935187
Stationary 325.9316 207 439 -0.3541667 0.3935187
Stationary 325.9468 207 439 -0.3541667 0.3935187
Stationary 325.9633 207 439 -0.3541667 0.3935187
Stationary 325.9771 207 439 -0.3541667 0.3935187
Stationary 325.9937 207 439 -0.3541667 0.3935187
Moved 326.0087 199.069 429.069 -0.3725255 0.3168903
Moved 326.0249 197.6325 427.6325 -0.3758507 0.3058065
Moved 326.0422 197.1843 426.1843 -0.3768881 0.294632
Moved 326.0562 197 424.7498 -0.3773148 0.2835629
Moved 326.075 195.3064 424 -0.3812352 0.2777779
Moved 326.0877 193.8711 422.8712 -0.3845575 0.2690678
Moved 326.1016 194 421.8572 -0.3842593 0.2612438
Moved 326.1172 192.3606 420.3606 -0.3880542 0.2496961
Moved 326.1331 192 418.9142 -0.3888888 0.2385355
Moved 326.1492 190.5 417.5 -0.3923611 0.2276235
Stationary 326.1632 190.5 417.5 -0.3923611 0.2276235
Moved 326.178 189.5898 417 -0.3944681 0.2237654
Moved 326.1934 189.1552 416 -0.3954742 0.2160493
Moved 326.2091 189 415.0397 -0.3958333 0.20864
