he is still on our team
Basic
0.8 0.8
575.9999 518.4
Moved 337.1085 350.7744 590 -0.01601659 0.3896604
Stationary 337.124 351 590 -0.01562499 0.3896604
Moved 337.1394 352.5 591.5 -0.01302082 0.392554
Moved 337.1591 352 592.0453 -0.01388889 0.3936059
Moved 337.1705 353.5 592 -0.01128472 0.3935184
Stationary 337.1852 353.5 592 -0.01128472 0.3935184
Moved 337.2019 354.3174 593.3174 -0.009865724 0.3960597
Stationary 337.2167 354.3174 593.3174 -0.009865724 0.3960597
Moved 337.2313 355 593.9281 -0.008680559 0.3972378
Moved 337.2483 356.3632 594 -0.00631392 0.3973764
Stationary 337.2635 356.3632 594 -0.00631392 0.3973764
Moved 337.2778 357.3724 594 -0.004561841 0.3973764
Moved 337.2938 358.1634 594 -0.003188625 0.3973764
Moved 337.3094 359.8087 595 -0.0003321469 0.3993055
Moved 337.3247 361.2439 595 0.002159625 0.3993055
Moved 337.3395 364.361 595 0.007571131 0.3993055
Moved 337.3559 369.4515 595 0.01640878 0.3993055
Moved 337.3698 375.2332 595 0.02644643 0.3993055
Moved 337.3863 382.9295 595 0.03980815 0.3993055
Moved 337.4019 388.3855 587.4603 0.04928037 0.3847612
Moved 337.4161 400 582 0.06944447 0.3742283
Moved 337.4355 410.7037 580.0741 0.08802734 0.3705132
Moved 337.4473 419.4803 578.5866 0.1032645 0.3676438
Moved 337.4635 427.2427 576.1515 0.1167408 0.3629465
Moved 337.481 434.4368 574.7126 0.1292305 0.3601709
Moved 337.4946 441.3023 571.8488 0.1411498 0.3546466
Moved 337.51 446.3666 569.3167 0.1499421 0.3497621
Moved 337.5248 451.9292 566.5354 0.1595993 0.3443969
Moved 337.54 457.6649 565.3338 0.169557 0.342079
Moved 337.556 463.4201 562.79 0.1795487 0.337172
Moved 337.5704 468.159 560.9205 0.1877761 0.3335657
Moved 337.5865 472.9305 559.0231 0.1960599 0.3299056
Moved 337.6022 477.2586 557.5804 0.2035739 0.3271227
Moved 337.6175 481.5676 556.3581 0.2110548 0.3247648
Moved 337.6324 485.896 556 0.2185695 0.3240739
Moved 337.6517 490.1887 554.6038 0.226022 0.3213806
Moved 337.664 493.5258 554 0.2318156 0.320216
Moved 337.6782 496.5633 552.7183 0.2370891 0.3177436
Moved 337.6945 499.44 553 0.2420834 0.318287
Moved 337.7138 502.3174 551.8413 0.2470788 0.3160518
Moved 337.7259 505 552 0.2517361 0.3163579
Moved 337.7404 507.3477 551.3262 0.255812 0.3150581
Moved 337.7555 510.2208 549.8896 0.2607999 0.3122871
Moved 337.7714 511.5557 550 0.2631175 0.3124999
Moved 337.7868 513.9764 550 0.2673201 0.3124999
Moved 337.8023 515.4393 550 0.2698599 0.3124999
Moved 337.8174 517.7344 549.1328 0.2738444 0.3108271
Moved 337.8335 519.3006 549 0.2765635 0.3105709
Stationary 337.8484 519 549 0.2760417 0.3105709
Moved 337.8644 520.8785 549 0.2793029 0.3105709
Moved 337.8795 522.3233 547.6767 0.2818113 0.3080182
Moved 337.895 523.7609 548 0.2843072 0.3086419
Moved 337.9104 524.5 548 0.2855903 0.3086419
Moved 337.9249 525 548 0.2864583 0.3086419
