my bare face in the wind
Basic
0.4 0.4
288 86.39999
Moved 622.7212 342.6458 371.6771 -0.06025761 -0.1889229
Moved 622.736 336.8923 373.2769 -0.08023492 -0.1704061
Moved 622.7517 332.8446 376.4369 -0.09428947 -0.1338323
Moved 622.7732 324.2225 380.3887 -0.1242275 -0.08809337
Stationary 622.7853 324.2225 380.3887 -0.1242275 -0.08809337
Moved 622.7972 318.9184 383.3878 -0.1426446 -0.05338245
Moved 622.8134 313.4754 386.2623 -0.1615439 -0.02011193
Moved 622.8296 307.7187 388.1406 -0.1815322 0.001627781
Moved 622.8438 303.9876 391.0124 -0.1944876 0.03486563
Moved 622.8584 301.1101 392.4449 -0.2044787 0.05144614
Moved 622.873 297.2332 393.8834 -0.2179401 0.06809446
Moved 622.8887 295.066 394.967 -0.2254654 0.08063705
Moved 622.905 292.2126 396.3937 -0.2353731 0.09714974
Moved 622.9202 291.1676 397 -0.2390014 0.104167
Moved 622.9363 289.7325 398.2675 -0.2439845 0.118837
Moved 622.9515 289 399.709 -0.2465278 0.1355215
Moved 622.9679 289 400.5 -0.2465278 0.1446761
Moved 622.9824 289 402.6022 -0.2465278 0.1690073
Ended 622.9973 289 402.6022 -0.2465278 0.1690073
PhraseEnd 623.6119
