coming up with killer sound bites
Basic
0.6 0.6
432 388.8
Moved 486.1018 472.5586 541 0.2605524 0.3935184
Moved 486.1166 466.9631 541 0.2475998 0.3935184
Moved 486.1312 458.3175 532.3175 0.2275869 0.3711869
Moved 486.1471 443.124 521.66 0.1924166 0.3437756
Moved 486.1631 433.0557 511.762 0.1691104 0.3183179
Moved 486.1838 425.2168 503.0602 0.1509649 0.2959366
Moved 486.1978 419.0323 493.2516 0.1366488 0.2707089
Moved 486.2101 411.8383 481.7413 0.1199961 0.241104
Moved 486.2253 406.0988 468.7222 0.1067101 0.2076188
Moved 486.2404 403.3684 460.649 0.1003897 0.1868543
Moved 486.2551 401.204 454.8774 0.09537975 0.1720098
Moved 486.2707 396.1465 439.0129 0.0836726 0.1312059
Moved 486.2859 395.8486 433.9402 0.08298287 0.1181589
Moved 486.304 391.6924 415.8472 0.07336209 0.07162333
Moved 486.3171 392 410.7822 0.07407407 0.05859626
Moved 486.3321 392 390.3643 0.07407407 0.006080871
Moved 486.3471 392 379.7823 0.07407407 -0.02113609
Moved 486.3639 392 369.6585 0.07407407 -0.04717469
Moved 486.3792 392 351.6965 0.07407407 -0.09337327
Moved 486.3952 396.3375 339.6625 0.08411448 -0.1243248
Moved 486.4152 400.0582 330.651 0.09272724 -0.1475026
Moved 486.4279 403.002 314.4909 0.09954174 -0.1890667
Moved 486.4413 404.4532 307.9607 0.1029009 -0.2058624
Moved 486.4565 409.0717 294.8088 0.1135918 -0.2396894
Moved 486.4709 413.3882 284.761 0.1235837 -0.2655325
Moved 486.4865 415.5541 278.5224 0.1285975 -0.2815782
Moved 486.503 421.0144 267.3093 0.1412371 -0.3104185
Moved 486.517 422.1251 262.6247 0.1438081 -0.3224674
Moved 486.5332 428.6801 252.0933 0.1589817 -0.3495544
Moved 486.5484 432.3239 246.0142 0.1674164 -0.36519
Moved 486.5623 433.7626 243.8561 0.1707467 -0.3707406
Moved 486.5784 437.4749 239.5251 0.17934 -0.3818798
Moved 486.5929 441.0606 235.6262 0.1876402 -0.3919079
Moved 486.6085 443.1133 232.7733 0.192392 -0.3992456
Moved 486.6285 444.5708 231.4292 0.1957657 -0.4027027
Moved 486.6405 446.0095 229.9905 0.1990961 -0.4064032
Moved 486.6549 447.4319 230 0.2023887 -0.4063786
Stationary 486.6716 447.4319 230 0.2023887 -0.4063786
Stationary 486.6864 447 230 0.2013889 -0.4063786
Stationary 486.7031 447 230 0.2013889 -0.4063786
Moved 486.7166 438.9169 240.3926 0.182678 -0.3796488
Moved 486.7332 427.1976 252.8024 0.1555499 -0.3477306
Moved 486.7478 421.8438 256.1115 0.143157 -0.3392194
