the dow jones index has risen
Basic
0.8 0.8
575.9999 172.8
Moved 523.8806 203.3994 443 -0.271876 0.318287
Moved 523.8998 200.2279 443 -0.2773821 0.318287
Moved 523.9158 196.9441 443 -0.2830831 0.318287
Moved 523.9272 194.0552 443 -0.2880986 0.318287
Moved 523.9432 192.9152 444 -0.2900778 0.3240742
Moved 523.9581 190.0378 444 -0.2950733 0.3240742
Moved 523.974 189 444 -0.296875 0.3240742
Moved 523.9903 188.1463 444.8536 -0.298357 0.3290141
Moved 524.0045 186.6995 445 -0.3008689 0.3298611
Moved 524.0197 186.2661 445.7339 -0.3016213 0.3341081
Moved 524.035 185.5 446.5 -0.3029514 0.3385417
Moved 524.0504 184.8772 446 -0.3040326 0.3356481
Stationary 524.0654 185 446 -0.3038194 0.3356481
Moved 524.0814 183.9184 446 -0.3056971 0.3356481
Stationary 524.0974 184 446 -0.3055555 0.3356481
Moved 524.1124 182.9593 446 -0.3073624 0.3356481
Moved 524.1275 183 447.4811 -0.3072917 0.3442192
Moved 524.145 182.0814 447 -0.3088864 0.3414353
Stationary 524.1597 182 447 -0.3090278 0.3414353
Moved 524.1738 180.5546 447 -0.3115371 0.3414353
Moved 524.1967 179.677 447 -0.3130607 0.3414353
Stationary 524.2109 179.677 447 -0.3130607 0.3414353
Stationary 524.2205 179.677 447 -0.3130607 0.3414353
Moved 524.2358 178.6271 447 -0.3148835 0.3414353
Moved 524.2514 177.6778 447 -0.3165315 0.3414353
Stationary 524.2664 177.6778 447 -0.3165315 0.3414353
Moved 524.2814 175.7879 447 -0.3198126 0.3414353
Stationary 524.2976 175.7879 447 -0.3198126 0.3414353
Moved 524.3129 174.9668 447 -0.3212381 0.3414353
Stationary 524.329 175 447 -0.3211806 0.3414353
Ended 524.3436 175 447 -0.3211806 0.3414353
Began 524.5425 438 362 0.1354167 -0.1504628
Stationary 524.5602 438 362 0.1354167 -0.1504628
Stationary 524.5746 438 362 0.1354167 -0.1504628
Stationary 524.5898 438 362 0.1354167 -0.1504628
Stationary 524.6056 438 362 0.1354167 -0.1504628
Stationary 524.6202 438 362 0.1354167 -0.1504628
Stationary 524.6401 438 362 0.1354167 -0.1504628
Stationary 524.6512 438 362 0.1354167 -0.1504628
Stationary 524.6661 438 362 0.1354167 -0.1504628
Stationary 524.6818 438 362 0.1354167 -0.1504628
Stationary 524.6987 438 362 0.1354167 -0.1504628
Stationary 524.7141 438 362 0.1354167 -0.1504628
Stationary 524.7299 438 362 0.1354167 -0.1504628
Stationary 524.7464 438 362 0.1354167 -0.1504628
Stationary 524.7623 438 362 0.1354167 -0.1504628
Stationary 524.7767 438 362 0.1354167 -0.1504628
Stationary 524.793 438 362 0.1354167 -0.1504628
Stationary 524.8088 438 362 0.1354167 -0.1504628
Stationary 524.824 438 362 0.1354167 -0.1504628
Stationary 524.8367 438 362 0.1354167 -0.1504628
Stationary 524.8515 438 362 0.1354167 -0.1504628
Stationary 524.867 438 362 0.1354167 -0.1504628
Stationary 524.8831 438 362 0.1354167 -0.1504628
Stationary 524.9056 438 362 0.1354167 -0.1504628
Stationary 524.9157 438 362 0.1354167 -0.1504628
Stationary 524.9301 438 362 0.1354167 -0.1504628
Stationary 524.9452 438 362 0.1354167 -0.1504628
Stationary 524.9602 438 362 0.1354167 -0.1504628
Stationary 524.9744 438 362 0.1354167 -0.1504628
Stationary 524.9915 438 362 0.1354167 -0.1504628
Stationary 525.0059 438 362 0.1354167 -0.1504628
Stationary 525.0223 438 362 0.1354167 -0.1504628
Stationary 525.0368 438 362 0.1354167 -0.1504628
Stationary 525.0527 438 362 0.1354167 -0.1504628
Stationary 525.0694 438 362 0.1354167 -0.1504628
Moved 525.0832 438 371.4388 0.1354167 -0.09584003
Stationary 525.1003 438 371.4388 0.1354167 -0.09584003
Moved 525.1149 438 371.9312 0.1354167 -0.09299084
Stationary 525.1308 438 372 0.1354167 -0.09259242
Moved 525.153 445 373.2488 0.1475695 -0.08536568
Stationary 525.1634 445 373.2488 0.1475695 -0.08536568
Moved 525.1754 446.687 373 0.1504983 -0.08680555
Moved 525.1915 448.1263 374.1263 0.1529971 -0.08028772
Stationary 525.2074 448.1263 374.1263 0.1529971 -0.08028772
Moved 525.2222 449.6705 374.6705 0.1556779 -0.0771383
Moved 525.2381 451.1075 375 0.1581728 -0.07523149
Moved 525.2549 452.548 375 0.1606736 -0.07523149
Moved 525.2692 453.9882 375.9882 0.1631739 -0.06951297
Moved 525.2852 455.4243 376 0.1656671 -0.06944462
Moved 525.3022 456.8632 376.8632 0.1681653 -0.06444913
Moved 525.3167 458.2993 377 0.1706584 -0.06365741
Moved 525.3303 459.2726 377 0.1723482 -0.06365741
Moved 525.3477 461.813 378 0.1767586 -0.05787037
Moved 525.3615 463.246 378 0.1792465 -0.05787037
Moved 525.3808 465.3769 379 0.182946 -0.05208316
Moved 525.393 467.1277 380.1277 0.1859856 -0.04555702
Moved 525.4079 468.5667 380 0.1884838 -0.04629612
Moved 525.4235 470.0052 381.0052 0.1909813 -0.04047888
Moved 525.4404 471.0887 381 0.1928624 -0.04050926
Moved 525.4553 472.5517 381.5516 0.1954022 -0.03731692
Moved 525.4694 473.5 382.5 0.1970486 -0.03182871
