parking lot is full of trucks
Basic
0.4 0.4
288 259.2
Moved 155.9949 377.4504 347.5496 0.06059169 -0.1560585
Moved 156.0108 374.6957 350.3043 0.05102694 -0.1454312
Moved 156.0252 371.9464 352.0268 0.04148066 -0.1387856
Moved 156.0413 370.5869 354.8261 0.03676027 -0.1279858
Moved 156.0641 365.19 360.715 0.01802087 -0.1052664
Stationary 156.0752 365.19 360.715 0.01802087 -0.1052664
Moved 156.0873 362.4664 363.5336 0.008563995 -0.09439232
Moved 156.1046 361.348 365.652 0.004680454 -0.08621909
Moved 156.1194 358.9239 368.0761 -0.003736466 -0.07686708
Moved 156.1341 357.576 370.8479 -0.008416474 -0.06617334
Moved 156.1488 357 371.8127 -0.01041666 -0.06245095
Moved 156.1648 355.8012 374.3976 -0.01457915 -0.05247857
Moved 156.1808 354.5 375.5 -0.01909725 -0.04822542
Moved 156.1958 354.3507 376.6493 -0.01961559 -0.04379142
Moved 156.2151 354 378.0353 -0.02083331 -0.0384439
Moved 156.2271 352.5865 379.4135 -0.02574123 -0.03312723
Moved 156.2415 353 380 -0.02430558 -0.03086419
Moved 156.258 353 381.1904 -0.02430558 -0.02627161
Moved 156.2724 352 381.5765 -0.02777777 -0.02478199
Moved 156.2881 352 382.5 -0.02777777 -0.02121925
Stationary 156.3037 352 382.5 -0.02777777 -0.02121925
Ended 156.3181 350.6019 383.3981 -0.03263243 -0.01775412
Began 156.884 471 428 0.3854166 0.1543209
Stationary 156.9045 471 428 0.3854166 0.1543209
Stationary 156.9181 471 428 0.3854166 0.1543209
Stationary 156.9332 471 428 0.3854166 0.1543209
Stationary 156.9545 471 428 0.3854166 0.1543209
Stationary 156.9641 471 428 0.3854166 0.1543209
Stationary 156.9794 471 428 0.3854166 0.1543209
Stationary 156.9953 471 428 0.3854166 0.1543209
Moved 157.0134 471 432.7682 0.3854166 0.1727166
Moved 157.0259 464.6073 439.7397 0.3632197 0.1996132
Moved 157.0413 462.701 445.1962 0.3566005 0.220664
Moved 157.0577 459.6186 450.0721 0.3458978 0.2394757
Moved 157.0731 457.9267 454.22 0.3400232 0.2554782
Moved 157.0887 456.5482 458.3554 0.3352368 0.2714328
Moved 157.1038 454.1598 461.6805 0.3269435 0.284261
Moved 157.1197 452.1856 464.7216 0.320089 0.2959936
Moved 157.1348 450.7394 467.5212 0.3150675 0.3067945
Moved 157.1503 449.3535 469.6465 0.3102551 0.3149942
Moved 157.1658 447.9731 472.0538 0.305462 0.3242816
Moved 157.1806 446.5831 474.8339 0.3006357 0.335007
Moved 157.1965 445.1982 475.8018 0.2958272 0.3387413
Moved 157.2126 443.8155 477.1845 0.2910259 0.3440759
Moved 157.2264 442.5 478.5 0.2864583 0.349151
Moved 157.2424 442.3388 479.6612 0.2858986 0.3536309
Moved 157.2584 440.9537 480 0.2810891 0.3549381
Moved 157.2728 439.5678 481.4323 0.2762771 0.3604639
Moved 157.2937 437.3715 482.8143 0.2686509 0.3657956
Moved 157.306 435.798 483 0.2631876 0.3665121
Moved 157.3195 434.4109 484 0.2583712 0.3703703
Moved 157.335 433.0238 484 0.2535547 0.3703703
Moved 157.351 431.9691 485.0309 0.2498928 0.3743475
Moved 157.3654 429.1386 485 0.2400645 0.3742283
Moved 157.3809 426.369 485 0.230448 0.3742283
Moved 157.3958 423.597 485 0.2208227 0.3742283
Moved 157.4121 420.2409 485 0.20917 0.3742283
Moved 157.4273 417.0584 485 0.1981194 0.3742283
Moved 157.4432 412.8961 485 0.1836671 0.3742283
Moved 157.4582 408 485 0.1666667 0.3742283
Moved 157.4732 403.9389 485 0.1525657 0.3742283
Moved 157.4886 399.5425 485 0.1373005 0.3742283
Moved 157.504 394 485 0.1180555 0.3742283
Moved 157.5196 390.2492 485 0.105032 0.3742283
Moved 157.5344 386.1054 485 0.09064376 0.3742283
Moved 157.5506 382.948 478 0.07968038 0.3472221
Moved 157.5658 379.8809 478 0.06903097 0.3472221
Moved 157.5809 376.6967 476.8989 0.0579746 0.3429739
Moved 157.6039 370.18 476 0.03534704 0.339506
Stationary 157.6162 370.18 476 0.03534704 0.339506
Moved 157.6273 366.1111 476 0.0212191 0.339506
Moved 157.6427 361.9393 475 0.006733835 0.335648
Moved 157.6579 358.8524 475 -0.003984571 0.335648
Moved 157.6737 353.177 475 -0.02369098 0.335648
Moved 157.6891 350.0936 474 -0.03439732 0.3317901
Moved 157.7046 345.403 474 -0.05068421 0.3317901
Moved 157.7203 342.4222 474 -0.06103389 0.3317901
Moved 157.7352 338.9724 474 -0.07301233 0.3317901
Moved 157.7501 336.9344 474 -0.08008905 0.3317901
Moved 157.7662 334.097 474 -0.08994102 0.3317901
Moved 157.7811 332.3333 474 -0.09606487 0.3317901
Moved 157.796 330.7787 474 -0.1014629 0.3317901
Moved 157.812 329.7609 474 -0.1049968 0.3317901
Moved 157.8281 328.3151 474 -0.1100171 0.3317901
Moved 157.8441 327.5 474 -0.1128472 0.3317901
Moved 157.8585 326.7712 474 -0.1153777 0.3317901
Stationary 157.8725 326.7712 474 -0.1153777 0.3317901
Moved 157.8895 325.6409 474 -0.1193024 0.3317901
Moved 157.912 325 474 -0.1215278 0.3317901
Ended 157.9237 325 474 -0.1215278 0.3317901
Began 158.4582 417 492 0.1979166 0.4012344
Stationary 158.4748 417 492 0.1979166 0.4012344
Stationary 158.4891 417 492 0.1979166 0.4012344
Stationary 158.5047 417 492 0.1979166 0.4012344
Stationary 158.522 417 492 0.1979166 0.4012344
Stationary 158.5348 417 492 0.1979166 0.4012344
Stationary 158.551 417 492 0.1979166 0.4012344
Stationary 158.566 417 492 0.1979166 0.4012344
Moved 158.5813 410.2667 486.0148 0.1745371 0.3781435
Moved 158.5973 402.7609 479.8087 0.1484753 0.3542002
Moved 158.614 398.5619 475.5618 0.1338953 0.3378156
Moved 158.6289 392.5081 469.5082 0.1128756 0.3144603
Moved 158.6434 388.2623 465.2623 0.09813294 0.2980796
Moved 158.6595 384.09 461.09 0.08364587 0.2819829
Moved 158.6745 380.9754 456.9631 0.07283121 0.2660612
Moved 158.6896 378.2186 454.2186 0.063259 0.255473
Moved 158.7112 371.5067 449.1689 0.03995389 0.235991
Stationary 158.7217 371.5067 449.1689 0.03995389 0.235991
Moved 158.736 368.5885 446.5885 0.02982124 0.2260358
Moved 158.7505 365.8199 443.8199 0.02020806 0.2153544
Moved 158.7675 363.0466 441.0466 0.01057833 0.2046548
Moved 158.782 360.2895 439.6448 0.001005232 0.1992467
Moved 158.7977 357.5302 437.2651 -0.008575617 0.190066
Moved 158.8164 355.3245 435.3245 -0.01623452 0.1825789
Moved 158.8292 351.493 433.831 -0.02953805 0.176817
Moved 158.8449 349.3223 431.8815 -0.03707543 0.1692958
Moved 158.8605 346.1071 430.0535 -0.04823938 0.1622434
Moved 158.8755 344.6676 428.6676 -0.05323752 0.1568965
Moved 158.8911 341.2768 426.2768 -0.06501116 0.1476726
Moved 158.9067 338.7862 424.8931 -0.07365905 0.1423344
Moved 158.9219 337.5027 423.5027 -0.07811554 0.1369703
Moved 158.9377 334.8153 422.4077 -0.08744687 0.1327454
Moved 158.9531 332.0304 421.0152 -0.09711667 0.1273734
Moved 158.967 329.2807 418.2807 -0.1066644 0.1168236
Moved 158.9863 326.5273 416.5273 -0.1162247 0.1100589
Moved 158.9983 324.8912 414.8912 -0.1219054 0.1037469
Moved 159.015 322.0083 413.5042 -0.1319157 0.09839551
Moved 159.0296 319.2404 411.1202 -0.1415265 0.08919809
Moved 159.0435 317.0971 410.0486 -0.1489684 0.08506397
Moved 159.0607 315.6822 407.3644 -0.1538812 0.07470831
Moved 159.0747 313.2953 406.2953 -0.1621691 0.0705836
Moved 159.0908 310.8126 404.9063 -0.1707897 0.06522484
Moved 159.1059 309.5206 403.5206 -0.1752756 0.05987885
Moved 159.1213 308.1291 402.1291 -0.1801074 0.05451031
Moved 159.1365 306.7431 400.7432 -0.1849197 0.04916344
Moved 159.1519 305.5 399.5 -0.1892361 0.04436722
Moved 159.1674 304.3228 399.3228 -0.1933238 0.04368328
Moved 159.183 302.9368 399 -0.198136 0.04243821
Moved 159.1979 301.5508 397.5508 -0.2029487 0.03684703
Moved 159.2159 300.1625 397 -0.2077692 0.03472222
Moved 159.2303 298.7761 395.7761 -0.2125829 0.03000041
Moved 159.2479 297.3874 395 -0.217405 0.02700611
Moved 159.2607 295.9986 393.9986 -0.2222271 0.02314273
Moved 159.2753 294.9435 394 -0.2258907 0.02314809
Moved 159.2908 293.5399 392.5399 -0.2307644 0.01751488
Moved 159.306 292.1499 392.15 -0.2355905 0.01601054
Moved 159.3217 290.7589 392 -0.2404205 0.01543204
Moved 159.3375 289.3709 391.3708 -0.24524 0.01300476
Moved 159.3534 287.982 391 -0.2500624 0.01157396
Moved 159.3675 286.5962 391 -0.2548744 0.01157396
Moved 159.3824 286.4084 390 -0.2555263 0.007715931
Moved 159.3978 285.1617 390 -0.2598554 0.007715931
Moved 159.4158 284.5 390 -0.2621528 0.007715931
Moved 159.4281 283.6915 388.6915 -0.2649602 0.002667639
Stationary 159.4442 283.6915 388.6915 -0.2649602 0.002667639
Moved 159.4623 282.6039 389 -0.2687365 0.003858024
Moved 159.4747 283 388.2248 -0.2673611 0.000867196
Stationary 159.4897 283 388 -0.2673611 -5.886878E-08
Ended 159.5096 283 388 -0.2673611 -5.886878E-08
Began 160.3342 355 368 -0.01736112 -0.0771606
Stationary 160.3556 355 368 -0.01736112 -0.0771606
Stationary 160.3697 355 368 -0.01736112 -0.0771606
Stationary 160.385 355 368 -0.01736112 -0.0771606
Stationary 160.3996 355 368 -0.01736112 -0.0771606
Stationary 160.4152 355 368 -0.01736112 -0.0771606
Stationary 160.4297 355 368 -0.01736112 -0.0771606
Stationary 160.4446 355 368 -0.01736112 -0.0771606
Stationary 160.4616 355 368 -0.01736112 -0.0771606
Stationary 160.4754 355 368 -0.01736112 -0.0771606
Stationary 160.4896 355 368 -0.01736112 -0.0771606
Stationary 160.5076 355 368 -0.01736112 -0.0771606
Moved 160.5233 355 380.682 -0.01736112 -0.02823311
Moved 160.5375 355 380.5804 -0.01736112 -0.02862518
Moved 160.5582 355 384.4946 -0.01736112 -0.01352422
Moved 160.5701 355 386.2783 -0.01736112 -0.006642458
Moved 160.5846 355 389.7255 -0.01736112 0.006656705
Moved 160.5989 355 392.9019 -0.01736112 0.01891165
Moved 160.6148 355 396.9879 -0.01736112 0.03467524
Moved 160.6305 355 399.4302 -0.01736112 0.04409801
Moved 160.6459 355 402.2006 -0.01736112 0.05478594
Moved 160.661 365.4043 406.459 0.01876503 0.07121509
Moved 160.676 362.6525 408.305 0.009210109 0.07833704
Moved 160.6912 363.9258 410.8517 0.01363143 0.08816224
Moved 160.7092 364 414.9464 0.01388892 0.1039596
Moved 160.7217 365 417.3957 0.01736104 0.1134092
Moved 160.737 366.0838 420.1675 0.02112418 0.124103
Moved 160.7526 366 422.9396 0.02083331 0.1347979
Moved 160.7687 367 425.7108 0.02430558 0.1454889
Moved 160.7841 367 428.4904 0.02430558 0.1562127
Moved 160.8046 368.2162 430.4325 0.02852857 0.1637055
Moved 160.8156 368 432.6768 0.02777785 0.172364
Moved 160.8298 369.0677 435.1353 0.03148496 0.1818491
Moved 160.846 369 437.9067 0.03124997 0.1925411
Moved 160.8608 370 440.6841 0.03472224 0.2032565
Moved 160.8769 371.228 442.228 0.03898606 0.2092129
Moved 160.8916 372 445.2336 0.04166662 0.2208084
Moved 160.9087 373.5565 447.5565 0.04707113 0.2297705
Moved 160.9234 375.1003 451.3009 0.05243167 0.2442162
Moved 160.9394 376.4864 453.9727 0.0572443 0.2545242
Moved 160.9531 378.759 457.6385 0.06513536 0.2686668
Moved 160.9693 380.263 460.526 0.07035762 0.279807
Moved 160.9854 381.639 462.639 0.07513537 0.2879589
Moved 161 383.0277 465.0554 0.07995724 0.2972813
