players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Moved 341.5151 447 420.3151 0.2013889 0.08311499
Moved 341.5302 447 406.0931 0.2013889 0.04653558
Moved 341.5499 435 385 0.1736111 -0.007716127
Moved 341.5616 430.9209 363.947 0.1641688 -0.06186465
Moved 341.5749 426.2212 345.8848 0.1532898 -0.1083211
Moved 341.5908 423.6021 324.6123 0.1472269 -0.1630342
Moved 341.6083 420.7218 309.6089 0.1405598 -0.2016231
Moved 341.6224 418.4207 296.9448 0.1352331 -0.2341956
Moved 341.6377 416.9891 286.924 0.1319193 -0.2599693
Moved 341.6531 415.5363 276.7545 0.1285564 -0.2861254
Moved 341.6685 414.5782 270.0472 0.1263384 -0.3033766
Moved 341.6838 412.098 263.4901 0.1205973 -0.3202417
Moved 341.6992 410.6527 256.2637 0.1172517 -0.3388279
Moved 341.7145 409.2161 248.0807 0.1139262 -0.3598748
Moved 341.7309 409 242.0596 0.113426 -0.3753613
Moved 341.7454 408.338 238.3522 0.1118936 -0.3848967
Moved 341.7611 408 234.7959 0.1111111 -0.3940435
Moved 341.7765 408 231.5737 0.1111111 -0.402331
Moved 341.7922 407 229.736 0.1087963 -0.4070578
Moved 341.8067 407 227.9247 0.1087963 -0.4117164
Moved 341.83 406 225.0446 0.1064815 -0.4191241
Stationary 341.8404 406 225.0446 0.1064815 -0.4191241
Stationary 341.853 406 225 0.1064815 -0.4192387
Moved 341.8681 404.5 225 0.1030092 -0.4192387
Stationary 341.8838 404.5 225 0.1030092 -0.4192387
Moved 341.8995 400.1582 242.0509 0.0929587 -0.3753835
Moved 341.9149 397.1326 262.011 0.08595507 -0.3240459
Moved 341.9321 393.1074 287.3554 0.07663757 -0.2588595
Moved 341.9457 388.7749 330.5092 0.06660859 -0.1478673
Moved 341.9614 386.8134 370.0393 0.06206791 -0.04619528
Moved 341.9765 387 399.8672 0.06250004 0.03052252
Moved 341.9927 387 421.1586 0.06250004 0.0852845
Moved 342.0078 399.5488 450.0519 0.09154817 0.1595984
Moved 342.0246 406.4289 475.3151 0.1074742 0.2245757
Moved 342.0392 414.5557 497.7411 0.1262863 0.2822558
Moved 342.0551 424.482 524.7368 0.1492638 0.3516891
Moved 342.0748 429.4205 541.0684 0.1606956 0.3936942
Moved 342.0864 434.9575 554.1542 0.1735126 0.4273513
Moved 342.1011 437 564 0.1782407 0.4526748
Moved 342.1168 439.5186 567.7965 0.1840709 0.4624395
Moved 342.1317 442.4056 573.8113 0.1907538 0.4779095
Moved 342.147 443.6329 578.2658 0.1935947 0.4893667
Moved 342.1624 446.1482 582.2224 0.1994172 0.499543
Moved 342.1787 447.5 585 0.2025463 0.5066872
Moved 342.1937 448 587.9145 0.2037037 0.5141833
Moved 342.2091 449.4136 589.4136 0.2069759 0.5180391
Moved 342.2245 449 590.3838 0.2060185 0.5205343
Moved 342.2395 450.5 591.5 0.2094908 0.5234053
Moved 342.2623 450 592.1997 0.2083333 0.525205
Stationary 342.2736 450 592.1997 0.2083333 0.525205
Moved 342.2843 450 593 0.2083333 0.5272633
Stationary 342.3008 450 593 0.2083333 0.5272633
Stationary 342.3203 450 593 0.2083333 0.5272633
Stationary 342.3319 450 593 0.2083333 0.5272633
Moved 342.3447 442.2589 593 0.190414 0.5272633
Moved 342.3621 430.9929 593 0.1643355 0.5272633
Moved 342.3779 418.963 588.963 0.1364883 0.5168799
Moved 342.3932 405.8428 580.9214 0.1061176 0.4961969
Moved 342.4076 391.3993 576.6198 0.0726836 0.4851331
Moved 342.4252 369.451 566.6219 0.02187739 0.4594183
Moved 342.4395 356.6615 560.8461 -0.007727941 0.444563
Moved 342.4535 336.2779 553.5992 -0.05491237 0.4259239
Moved 342.4685 322.5486 546.2057 -0.08669307 0.4069077
Moved 342.4849 305.7229 539.2178 -0.1256415 0.3889346
Moved 342.4995 294.7846 535.7932 -0.1509616 0.3801263
Moved 342.5163 284.602 531.4009 -0.1745324 0.3688293
