that is a very odd question
that is a very odd question
FixStart
0.6 0.6
432 388.8
Stationary 372.6733 275 260 -0.1967592 -0.3292181
Stationary 372.6873 275 260 -0.1967592 -0.3292181
Moved 372.7028 290.8235 278.7004 -0.1601309 -0.2811202
Moved 372.719 309.0872 299.7231 -0.1178537 -0.2270498
Moved 372.7342 331.1035 325.6854 -0.06689017 -0.1602743
Moved 372.749 347.1258 343.5165 -0.02980143 -0.1144123
Moved 372.7639 366.3509 361.7158 0.01470109 -0.0676035
Moved 372.7839 379.2279 374.228 0.04450907 -0.0354219
Moved 372.7956 391.7484 386.7484 0.07349173 -0.003219102
Moved 372.811 397.9504 393.7405 0.08784821 0.01476472
Moved 372.8264 403.6922 398.5192 0.1011394 0.02705543
Moved 372.8417 404.5529 400.553 0.1031318 0.03228639
Moved 372.8586 405 401.6919 0.1041667 0.03521574
Moved 372.8729 405 402.9518 0.1041667 0.03845611
Moved 372.8882 405 403.5 0.1041667 0.03986618
Moved 372.9032 405 403 0.1041667 0.03858017
Moved 372.9187 391.6099 403 0.07317096 0.03858017
Moved 372.9331 376.5 391 0.03819446 0.007715971
Moved 372.9492 337.655 368.3148 -0.05172456 -0.05063061
Moved 372.9648 297.1349 346.9318 -0.1455211 -0.105628
Moved 372.9789 277.5262 337.2631 -0.1909115 -0.1304962
Moved 372.9951 254.6675 324.9749 -0.2438252 -0.1621018
Moved 373.0109 238.81 316.3509 -0.2805324 -0.1842827
Moved 373.0269 225.1727 311.0691 -0.3121002 -0.1978676
Moved 373.0484 205.5175 298.0117 -0.3575985 -0.2314515
Stationary 373.0592 205.5175 298.0117 -0.3575985 -0.2314515
Moved 373.0716 198.8607 294.7443 -0.3730076 -0.2398553
Moved 373.088 193.9863 291.7397 -0.3842911 -0.2475832
Moved 373.1039 189.8423 288.8949 -0.3938835 -0.2549
Moved 373.1192 185.727 286.1513 -0.4034098 -0.2619565
Moved 373.1343 182.5954 284.3969 -0.4106588 -0.266469
Moved 373.1492 178.4768 282.8256 -0.4201927 -0.2705103
Moved 373.1656 175.8757 280.4378 -0.4262137 -0.2766518
Moved 373.1801 173.0876 279.0438 -0.4326675 -0.2802371
Moved 373.1953 171.6671 279 -0.4359559 -0.2803498
Moved 373.2108 170.6712 279 -0.4382612 -0.2803498
Stationary 373.2265 170.6712 279 -0.4382612 -0.2803498
Ended 373.2419 171 279 -0.4375 -0.2803498
Candidates 373.4233 12 is his if of its good god id us odd goods off
Began 374.0084 302 288 -0.1342593 -0.2572017
Stationary 374.028 302 288 -0.1342593 -0.2572017
Stationary 374.0421 302 288 -0.1342593 -0.2572017
Ended 374.0597 302 288 -0.1342593 -0.2572017
NextCandidatePanel 374.1188
Began 374.6603 204 324 -0.3611111 -0.164609
Stationary 374.6759 204 324 -0.3611111 -0.164609
Stationary 374.6906 204 324 -0.3611111 -0.164609
Stationary 374.7044 204 324 -0.3611111 -0.164609
Stationary 374.7208 204 324 -0.3611111 -0.164609
Moved 374.736 212.9777 324 -0.3403294 -0.164609
Moved 374.7523 224.4864 324 -0.313689 -0.164609
Moved 374.7674 231.3181 324 -0.2978749 -0.164609
Moved 374.7826 236.5 324 -0.2858796 -0.164609
Moved 374.7983 239.7959 324 -0.2782503 -0.164609
Moved 374.821 246.9961 324 -0.2615831 -0.164609
Stationary 374.8314 246.9961 324 -0.2615831 -0.164609
Moved 374.8442 250.1066 324 -0.2543828 -0.164609
Moved 374.8607 252.8862 324 -0.2479486 -0.164609
Moved 374.8765 257.4671 324 -0.2373447 -0.164609
Moved 374.8909 262.8735 324 -0.2248298 -0.164609
Moved 374.9066 264.357 324 -0.2213959 -0.164609
Moved 374.9215 268.8582 324 -0.2109764 -0.164609
Moved 374.9369 271.9965 324 -0.2037118 -0.164609
Moved 374.9523 274.7458 324 -0.1973477 -0.164609
Stationary 374.9685 275 324 -0.1967592 -0.164609
