good jobs for those with education
good jobs for those with education
Basic
0.6 0.6
432 388.8
Moved 611.0688 331.826 455.6905 -0.06521747 0.174101
Stationary 611.08 331.826 455.6905 -0.06521747 0.174101
Moved 611.0922 358.5 473 -0.003472219 0.2186213
Moved 611.109 381.1119 489.2784 0.04887025 0.2604896
Moved 611.125 400.5945 500.397 0.09396871 0.2890869
Moved 611.1395 418.2396 510.9109 0.134814 0.3161287
Moved 611.1544 433.2458 518.1117 0.1695505 0.3346493
Moved 611.172 446.1255 525.2919 0.1993645 0.353117
Moved 611.1844 455.3988 528.7996 0.2208305 0.3621389
Moved 611.2003 465.3272 534.3298 0.243813 0.3763626
Moved 611.2164 469.7997 537.0798 0.254166 0.3834357
Moved 611.2333 478.4556 542.637 0.2742027 0.3977289
Moved 611.2468 484.3845 545.6923 0.2879271 0.405587
Moved 611.2627 488.5746 547.7874 0.2976264 0.4109756
Moved 611.2775 492.6823 550.4549 0.3071351 0.4178366
Moved 611.2968 495.3507 552.3507 0.3133118 0.4227126
Moved 611.3096 498.2321 554.1161 0.3199818 0.4272532
Moved 611.3302 499.1575 554 0.3221238 0.4269547
Moved 611.3401 500.652 555 0.3255833 0.4295266
Moved 611.3544 502.0921 556.0921 0.3289169 0.4323356
Stationary 611.3701 502.0921 556.0921 0.3289169 0.4323356
Moved 611.3855 503.3734 557.3734 0.3318829 0.4356312
Stationary 611.4003 503.3734 557.3734 0.3318829 0.4356312
Stationary 611.4152 503.3734 557.3734 0.3318829 0.4356312
Stationary 611.4311 503.3734 557.3734 0.3318829 0.4356312
Moved 611.4479 503 557 0.3310186 0.4346707
Moved 611.4626 480.54 550.563 0.2790277 0.4181148
Moved 611.4779 465.497 543.9988 0.244206 0.4012314
Moved 611.4934 437.7238 535.2597 0.1799162 0.3787543
Moved 611.5094 416.1959 529.5189 0.1300831 0.3639889
Moved 611.5305 394.6067 525.7618 0.08010805 0.3543256
Moved 611.5415 378.9523 522.4921 0.0438711 0.3459157
Moved 611.5555 354.782 517.533 -0.01207883 0.3331611
Moved 611.5725 333.6279 514.3256 -0.06104658 0.3249113
Moved 611.5851 318.0041 513 -0.09721284 0.321502
Moved 611.6007 305.0429 511.5603 -0.1272154 0.317799
Moved 611.6163 294.129 512 -0.1524791 0.31893
Moved 611.6315 286.4284 512 -0.1703047 0.31893
Moved 611.6481 280.5 512 -0.1840278 0.31893
Moved 611.6626 275.507 512 -0.1955856 0.31893
Moved 611.6788 271.1895 512 -0.2055799 0.31893
Moved 611.6942 268.5849 512 -0.211609 0.31893
Moved 611.7095 265.7176 512 -0.2182463 0.31893
