exercise is good for the mind
exercise is good for the mind
Basic
0.6 0.6
432 388.8
Stationary 1595.804 408.829 443.772 0.1130302 0.1434465
Moved 1595.817 411.0216 446.0216 0.1181056 0.1492325
Moved 1595.833 413.8905 448.8905 0.1247465 0.1566112
Moved 1595.848 417.7781 451.7781 0.1337456 0.1640382
Moved 1595.865 423.3128 454.6564 0.1465574 0.1714412
Moved 1595.88 428.8455 459.3073 0.1593644 0.1834034
Moved 1595.895 434.8339 462.4169 0.1732265 0.1914014
Moved 1595.909 439.6037 465.3019 0.1842679 0.1988216
Moved 1595.925 443.4721 467.6481 0.1932224 0.2048561
Moved 1595.941 447.6272 471.6273 0.2028408 0.2150906
Moved 1595.956 452.5703 474.9277 0.2142832 0.2235795
Moved 1595.971 458.3333 479.2499 0.2276233 0.2346963
Moved 1595.987 464.6394 484.1115 0.242221 0.2472003
Moved 1596.002 470.8551 488.8914 0.256609 0.2594942
Moved 1596.022 476.6087 494.6087 0.2699275 0.2741992
Moved 1596.033 482.1072 498.4858 0.2826555 0.2841712
Moved 1596.049 487.7164 502.7874 0.2956399 0.2952349
Moved 1596.065 493.5034 507.1276 0.3090356 0.306398
Moved 1596.08 498.4459 512.2612 0.3204767 0.3196019
Moved 1596.094 503.9876 516.7407 0.3333047 0.3311231
Moved 1596.112 506.3799 519.3799 0.3388425 0.3379114
Moved 1596.126 509.2509 521.1254 0.3454882 0.3424006
Moved 1596.141 510.5 524 0.3483796 0.3497942
Moved 1596.157 511.7131 523.7131 0.3511877 0.3490564
Moved 1596.172 512 525.1099 0.3518519 0.3526487
Moved 1596.186 512 526.5 0.3518519 0.3562242
Stationary 1596.203 512 526.5 0.3518519 0.3562242
Moved 1596.218 512 527.4346 0.3518519 0.3586279
Moved 1596.234 512 528 0.3518519 0.3600822
Moved 1596.252 501.4971 528 0.3275396 0.3600822
Moved 1596.264 497.0882 528 0.3173338 0.3600822
Moved 1596.279 488.7457 528 0.2980224 0.3600822
Moved 1596.295 478.9859 528 0.2754304 0.3600822
