exercise is good for the mind
exercise is good for the mind
FixStart
0.6 0.6
432 388.8
Moved 1257.049 377.7563 517.366 0.04110267 0.3327313
Moved 1257.064 380 522 0.04629632 0.3446501
Moved 1257.08 395.9324 536.9324 0.08317679 0.3830564
Moved 1257.096 409.4838 550.4838 0.1145457 0.4179109
Moved 1257.11 426.8987 564.4241 0.1548582 0.4537655
Moved 1257.126 444.1065 581.1064 0.1946909 0.4966729
Moved 1257.141 459.5886 596.5886 0.2305292 0.5364933
Moved 1257.158 475.5527 610.2704 0.2674832 0.5716832
Moved 1257.172 487.5 621 0.2951388 0.5992797
Moved 1257.189 495.7168 624.6953 0.3141593 0.6087842
Moved 1257.21 510.1171 632.0585 0.3474934 0.6277224
Stationary 1257.221 510.1171 632.0585 0.3474934 0.6277224
Moved 1257.233 514.9378 633.9792 0.3586523 0.6326626
Moved 1257.249 518.231 635.4103 0.3662755 0.6363434
Moved 1257.265 521.6953 636 0.3742947 0.6378599
Moved 1257.28 523.2845 636 0.3779733 0.6378599
Moved 1257.296 524.2554 636 0.3802209 0.6378599
Stationary 1257.311 524.2554 636 0.3802209 0.6378599
Stationary 1257.326 524 636 0.3796296 0.6378599
Stationary 1257.342 524 636 0.3796296 0.6378599
Stationary 1257.356 524 636 0.3796296 0.6378599
Moved 1257.373 512.9258 636 0.3539949 0.6378599
Moved 1257.389 500.8762 624.8486 0.3261022 0.6091785
Moved 1257.404 493.3401 622.8115 0.3086578 0.6039389
Moved 1257.418 480.5 617 0.2789353 0.5889916
Moved 1257.433 457.1768 606.0943 0.2249462 0.560942
Moved 1257.45 432.7212 596.0028 0.168336 0.5349866
Moved 1257.466 400.7091 581.419 0.09423395 0.4974768
Moved 1257.481 375.903 569.6014 0.03681262 0.4670818
Moved 1257.497 340.4613 552.0994 -0.04522846 0.4220663
Moved 1257.511 327.3509 545.6755 -0.07557655 0.4055438
Moved 1257.526 305.9495 537.4811 -0.1251169 0.3844677
Moved 1257.542 296.4333 532.9125 -0.1471452 0.3727172
Moved 1257.558 289.4789 529.7395 -0.1632432 0.3645563
Moved 1257.574 284.8702 528 -0.1739116 0.3600822
