if you were not so stupid
if you were not so stupid
FixStart
0.6 0.6
432 388.8
Moved 3263.463 430.3311 488.6993 0.1628034 0.2590003
Moved 3263.48 418.9772 485.2932 0.1365213 0.2502396
Moved 3263.497 408.8165 482.3762 0.1130012 0.242737
Moved 3263.512 399.2153 479.243 0.09077618 0.2346786
Moved 3263.526 393.2115 477.8029 0.07687847 0.2309743
Moved 3263.542 389.0917 477.3639 0.06734183 0.2298453
Moved 3263.558 385.838 477 0.05981018 0.2289094
Moved 3263.572 384.5 477 0.05671293 0.2289094
Moved 3263.588 383.2996 476 0.05393436 0.2263374
Ended 3263.604 383 476 0.05324075 0.2263374
Candidates 3263.818 12 not nor boy nih mit boot bout note more mif bit mid
Began 3264.21 446 276 0.199074 -0.288066
Stationary 3264.223 446 276 0.199074 -0.288066
Stationary 3264.234 446 276 0.199074 -0.288066
Stationary 3264.248 446 276 0.199074 -0.288066
Moved 3264.264 446 294.1732 0.199074 -0.2413242
Moved 3264.283 437.1642 315.1788 0.1786209 -0.1872973
Moved 3264.297 432.8448 340.9832 0.1686221 -0.120928
Moved 3264.312 430.0274 381.616 0.1621006 -0.01641976
Moved 3264.326 430 404.2871 0.162037 0.04189063
Moved 3264.343 430 425.6055 0.162037 0.09672204
Moved 3264.358 430 445.7671 0.162037 0.1485779
Moved 3264.374 436.4453 460.0491 0.1769567 0.1853113
Moved 3264.39 438.3595 470.5162 0.1813877 0.2122331
Moved 3264.404 439.8005 478.6034 0.1847233 0.2330334
Moved 3264.421 442.4798 484.9595 0.1909254 0.2493814
Moved 3264.437 443.5 487 0.193287 0.2546296
Ended 3264.449 444 490 0.1944444 0.2623456
Accept 3264.477 0 not
Began 3265.172 430 383 0.162037 -0.01286016
Stationary 3265.192 430 383 0.162037 -0.01286016
Stationary 3265.21 430 383 0.162037 -0.01286016
Stationary 3265.221 430 383 0.162037 -0.01286016
Stationary 3265.237 430 383 0.162037 -0.01286016
Moved 3265.251 417.4344 383 0.1329499 -0.01286016
Moved 3265.267 405.3287 383 0.1049276 -0.01286016
Moved 3265.284 394.5952 383 0.08008152 -0.01286016
Moved 3265.298 379.7443 383 0.04570434 -0.01286016
