good jobs for those with education
good jobs for those with education
FixStart
0.6 0.6
432 388.8
Moved 1202.04 353 594.5 -0.01620372 0.5311213
Moved 1202.055 353 594 -0.01620372 0.5298353
Moved 1202.071 367.7669 566.641 0.01797895 0.4594675
Moved 1202.086 376.2177 533.129 0.03754109 0.373274
Moved 1202.103 379.8619 510.5871 0.04597674 0.3152959
Moved 1202.117 384.7359 481.5184 0.05725911 0.2405309
Moved 1202.133 387.7456 459.4078 0.06422599 0.1836621
Moved 1202.148 390.6148 451.5406 0.07086764 0.1634275
Moved 1202.164 394.7443 443.7595 0.08042663 0.1434144
Moved 1202.179 398.7674 440.3082 0.08973926 0.1345374
Moved 1202.194 407.8026 440 0.110654 0.1337448
Moved 1202.209 426.5 456.5 0.1539352 0.1761831
Moved 1202.225 449.0378 480.6531 0.2061061 0.2383054
Moved 1202.247 488 524.5 0.2962963 0.3510802
Stationary 1202.258 488 524.5 0.2962963 0.3510802
Moved 1202.271 504.6153 551.423 0.3347577 0.4203266
Moved 1202.287 511.9554 564.5197 0.3517486 0.4540116
Moved 1202.302 518.3466 575.8566 0.3665431 0.48317
Moved 1202.318 522.8275 583.3792 0.3769155 0.5025182
Moved 1202.333 524.6339 587.2678 0.381097 0.5125199
Moved 1202.348 527.7028 594.4056 0.388201 0.5308786
Moved 1202.363 529.2791 597.5583 0.3918498 0.5389873
Moved 1202.379 529 600.4594 0.3912036 0.5464489
Moved 1202.395 529 602.1676 0.3912036 0.5508425
Moved 1202.41 529 605.2093 0.3912036 0.5586657
Moved 1202.426 518.5778 607.0422 0.3670782 0.5633802
Moved 1202.441 506.7552 608.1132 0.3397111 0.5661346
Moved 1202.456 483.9302 608 0.2868755 0.5658435
Moved 1202.472 456.5179 599.797 0.2234211 0.5447452
Moved 1202.488 435.0421 594.1446 0.1737087 0.5302072
Moved 1202.509 377.712 570.1824 0.04099995 0.4685761
Stationary 1202.519 377.712 570.1824 0.04099995 0.4685761
Moved 1202.532 348.1772 553.6382 -0.02736772 0.426024
Moved 1202.549 322.4741 538.4432 -0.08686547 0.3869424
Moved 1202.564 286.3304 516.2803 -0.1705315 0.3299389
Moved 1202.58 262.1794 496.3958 -0.2264366 0.2787956
Moved 1202.596 241.3994 478.7709 -0.2745383 0.2334643
Moved 1202.611 223.6552 461.6552 -0.3156129 0.1894423
Moved 1202.627 207.4411 446.4919 -0.3531455 0.1504421
Moved 1202.641 196 435 -0.3796296 0.1208847
Moved 1202.657 188.7682 426.7682 -0.3963698 0.09971257
Moved 1202.673 182.8325 419.7906 -0.4101099 0.08176599
Moved 1202.689 177.0591 414.0591 -0.4234743 0.06702427
Moved 1202.703 176.0717 412.1434 -0.4257599 0.06209707
Moved 1202.718 174.6407 410.6407 -0.4290724 0.05823233
Moved 1202.733 173.1953 410 -0.4324183 0.05658428
Stationary 1202.755 173 410 -0.4328704 0.05658428
Stationary 1202.764 173 410 -0.4328704 0.05658428
Stationary 1202.778 173 410 -0.4328704 0.05658428
Moved 1202.794 173 420.8474 -0.4328704 0.08448388
Moved 1202.81 191.0955 441.0063 -0.3909826 0.1363332
Moved 1202.827 207.9565 462.1772 -0.3519527 0.1907849
Moved 1202.841 222.1325 482.7154 -0.3191376 0.2436095
Moved 1202.857 233.6096 500.4145 -0.2925702 0.2891319
Moved 1202.874 245.2145 515.0181 -0.2657072 0.3266926
Moved 1202.888 252.7258 524.2581 -0.2483198 0.350458
Moved 1202.903 259.8842 534.7974 -0.2317495 0.3775653
Moved 1202.918 265.639 540.639 -0.2184282 0.39259
Ended 1202.934 268.5 542 -0.2118056 0.3960905
Candidates 1203.054 12 those repeat tower rose worse appear rise release whitewater first toast forest
Began 1203.701 351 431 -0.02083332 0.1105966
Stationary 1203.727 351 431 -0.02083332 0.1105966
Stationary 1203.738 351 431 -0.02083332 0.1105966
Stationary 1203.749 351 431 -0.02083332 0.1105966
Stationary 1203.765 351 431 -0.02083332 0.1105966
Stationary 1203.78 351 431 -0.02083332 0.1105966
Stationary 1203.796 351 431 -0.02083332 0.1105966
Moved 1203.811 351 445.4322 -0.02083332 0.1477165
Moved 1203.828 376.5832 500.1664 0.03838698 0.2884937
Moved 1203.843 396.4493 565.3479 0.08437335 0.4561416
Moved 1203.858 410.3145 613.1794 0.1164688 0.579165
Moved 1203.876 423.3031 648.9531 0.146535 0.6711755
Ended 1203.891 440 680.5 0.1851852 0.7523148
Accept 1203.932 0 those
Began 1204.286 370 444 0.02314816 0.1440329
Stationary 1204.306 370 444 0.02314816 0.1440329
Stationary 1204.325 370 444 0.02314816 0.1440329
Stationary 1204.336 370 444 0.02314816 0.1440329
Moved 1204.35 357.6475 457.3819 -0.005445679 0.1784513
Moved 1204.368 346.8481 471.1823 -0.03044417 0.213946
Moved 1204.382 334.3467 488.4799 -0.05938261 0.2584359
Moved 1204.398 325.8703 499.1621 -0.07900392 0.2859106
Moved 1204.415 311.8267 515.1006 -0.1115123 0.3269048
Moved 1204.429 299.7974 526.402 -0.1393579 0.3559721
Moved 1204.444 285.5765 541.7658 -0.1722765 0.3954881
Moved 1204.46 274.186 551.0325 -0.1986435 0.4193223
Moved 1204.475 262.2764 560.2927 -0.226212 0.4431394
Moved 1204.489 248.762 571.2737 -0.2574954 0.4713829
Moved 1204.506 240.2219 576.3018 -0.2772642 0.4843152
Moved 1204.52 229.3122 583.0549 -0.3025182 0.5016842
Moved 1204.543 219.7465 589.169 -0.3246608 0.5174099
Stationary 1204.553 219.7465 589.169 -0.3246608 0.5174099
Moved 1204.568 216.9412 591.0588 -0.3311547 0.5222706
Moved 1204.583 214.0637 592.9681 -0.3378156 0.5271813
Moved 1204.599 212.5971 593 -0.3412105 0.5272633
Moved 1204.613 212.3759 594.6241 -0.3417225 0.5314405
Moved 1204.63 212 595.9285 -0.3425926 0.5347955
Moved 1204.645 212 596.5 -0.3425926 0.5362654
Moved 1204.661 212 599.6254 -0.3425926 0.5443038
Moved 1204.675 234.4912 603.7485 -0.2905297 0.5549087
Moved 1204.691 276.4557 606.6899 -0.1933897 0.5624738
Moved 1204.707 328.8462 607 -0.07211521 0.5632715
Moved 1204.722 385.5 607 0.05902777 0.5632715
Moved 1204.737 427.8661 599.1849 0.1570974 0.543171
Moved 1204.756 455.2031 591.4125 0.2203775 0.5231803
