do you prefer a window seat
do you prefer a window seat
FixStart
0.6 0.6
432 388.8
Stationary 1316.261 419 256 0.1365741 -0.3395062
Stationary 1316.273 419 256 0.1365741 -0.3395062
Stationary 1316.284 419 256 0.1365741 -0.3395062
Stationary 1316.3 419 256 0.1365741 -0.3395062
Stationary 1316.315 419 256 0.1365741 -0.3395062
Stationary 1316.329 419 256 0.1365741 -0.3395062
Stationary 1316.344 419 256 0.1365741 -0.3395062
Moved 1316.361 419 267.2944 0.1365741 -0.3104568
Moved 1316.378 419 269.7657 0.1365741 -0.3041005
Moved 1316.393 419 272.0329 0.1365741 -0.2982694
Moved 1316.408 419 274.9544 0.1365741 -0.2907551
Moved 1316.424 419 277.5815 0.1365741 -0.2839982
Moved 1316.439 419 280.0515 0.1365741 -0.2776453
Moved 1316.454 419 282.9401 0.1365741 -0.2702157
Moved 1316.469 426 283.9117 0.1527777 -0.2677168
Moved 1316.485 427.3519 285.3519 0.1559071 -0.2640128
Moved 1316.502 427 286.7977 0.1550926 -0.260294
Stationary 1316.516 427 287 0.1550926 -0.2597736
Moved 1316.535 427 288.2318 0.1550926 -0.2566057
Moved 1316.546 428.5 288 0.1585648 -0.2572017
Moved 1316.563 428 289.0803 0.1574074 -0.2544232
Stationary 1316.577 428 289.0803 0.1574074 -0.2544232
Stationary 1316.593 428 289 0.1574074 -0.2546296
Moved 1316.608 429.482 289 0.1608379 -0.2546296
Stationary 1316.623 429.482 289 0.1608379 -0.2546296
Moved 1316.638 430.0131 289 0.1620673 -0.2546296
Stationary 1316.654 430.0131 289 0.1620673 -0.2546296
Moved 1316.669 431.926 289 0.1664954 -0.2546296
Moved 1316.686 432.5 289 0.167824 -0.2546296
Moved 1316.701 433.8091 289 0.1708544 -0.2546296
Moved 1316.717 435.2484 289 0.174186 -0.2546296
Stationary 1316.731 435.2484 289 0.174186 -0.2546296
Moved 1316.747 436 289 0.1759259 -0.2546296
Moved 1316.762 437.2164 289 0.1787417 -0.2546296
Stationary 1316.777 437.2164 289 0.1787417 -0.2546296
Moved 1316.793 438 289 0.1805556 -0.2546296
Stationary 1316.812 438 289 0.1805556 -0.2546296
Moved 1316.823 439.374 289 0.183736 -0.2546296
Stationary 1316.839 439.374 289 0.183736 -0.2546296
Moved 1316.854 440.2497 289 0.1857632 -0.2546296
Moved 1316.87 440 281.9638 0.1851852 -0.2727268
Moved 1316.886 441.4548 282 0.1885528 -0.2726338
Stationary 1316.901 441.4548 282 0.1885528 -0.2726338
Moved 1316.915 442.3492 279.6508 0.1906232 -0.278676
Moved 1316.931 442 277.4352 0.1898148 -0.2843744
Moved 1316.948 442 274.5603 0.1898148 -0.2917688
Moved 1316.963 442 264.5 0.1898148 -0.3176441
Moved 1316.979 442 256.09 0.1898148 -0.3392747
Moved 1316.993 442 246.7281 0.1898148 -0.3633536
Moved 1317.009 433.6885 234.4097 0.1705752 -0.3950369
Moved 1317.024 430.8047 218.8282 0.1638999 -0.4351126
Moved 1317.04 428.4639 207.6389 0.1584812 -0.4638916
Moved 1317.055 427.0167 196.1168 0.1551312 -0.4935266
Moved 1317.074 425.5779 186.0449 0.1518006 -0.5194318
Moved 1317.087 424.6393 178.1141 0.1496279 -0.53983
Moved 1317.103 425 165.5867 0.150463 -0.5720509
Moved 1317.117 425 155.3561 0.150463 -0.5983641
Moved 1317.132 425 148.9091 0.150463 -0.6149459
Moved 1317.148 425 141.6973 0.150463 -0.6334947
Moved 1317.163 425 136.901 0.150463 -0.6458306
Moved 1317.178 425 132.5698 0.150463 -0.6569706
Moved 1317.194 425 131.806 0.150463 -0.6589351
Moved 1317.209 425 128.6018 0.150463 -0.6671764
Moved 1317.224 425 126.8624 0.150463 -0.6716502
Moved 1317.24 425 124.4109 0.150463 -0.6779556
Moved 1317.256 425 122.9825 0.150463 -0.6816292
Stationary 1317.27 425 122.9825 0.150463 -0.6816292
Moved 1317.285 425 121.1012 0.150463 -0.6864682
Moved 1317.303 425 120.0039 0.150463 -0.6892904
