travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Stationary 559.2769 449 293 0.2060185 -0.2443416
Ended 559.2917 450 293 0.2083333 -0.2443416
Candidates 559.4597 12 happen shown speed supported superb spotted spread speak sperm appeared showed speech
Began 560.7383 384 331 0.0555556 -0.146605
Stationary 560.7567 384 331 0.0555556 -0.146605
Stationary 560.7711 384 331 0.0555556 -0.146605
Moved 560.7885 413.9695 331 0.1249295 -0.146605
Moved 560.8015 452.8306 331 0.2148857 -0.146605
Ended 560.819 515.5 346 0.3599537 -0.1080248
Accept 560.8767 2 speed
Began 561.7841 329 298 -0.07175927 -0.2314816
Stationary 561.8046 329 298 -0.07175927 -0.2314816
Stationary 561.8201 329 298 -0.07175927 -0.2314816
