this is a very good idea
this is a very good idea
FixStart
0.6 0.6
432 388.8
Stationary 991.7825 396 426 0.08333336 0.09773654
Moved 991.7992 396 447.7308 0.08333336 0.1536286
Moved 991.8148 396 494.2554 0.08333336 0.2732905
Ended 991.8309 396 574 0.08333336 0.478395
Accept 991.873 0 very
Began 992.4265 374 479 0.03240744 0.2340534
Stationary 992.4473 374 479 0.03240744 0.2340534
Stationary 992.4619 374 479 0.03240744 0.2340534
Stationary 992.4807 374 479 0.03240744 0.2340534
Stationary 992.4913 374 479 0.03240744 0.2340534
Stationary 992.5072 374 479 0.03240744 0.2340534
Stationary 992.535 374 479 0.03240744 0.2340534
Stationary 992.5466 374 479 0.03240744 0.2340534
Stationary 992.5574 374 479 0.03240744 0.2340534
Stationary 992.5687 374 479 0.03240744 0.2340534
Stationary 992.586 374 479 0.03240744 0.2340534
Moved 992.6011 361.6391 479 0.003794233 0.2340534
Stationary 992.6163 361.6391 479 0.003794233 0.2340534
Stationary 992.6307 361.6391 479 0.003794233 0.2340534
Stationary 992.6465 361.6391 479 0.003794233 0.2340534
Moved 992.6619 365 479 0.01157403 0.2340534
Stationary 992.6764 365 479 0.01157403 0.2340534
Stationary 992.6919 365 479 0.01157403 0.2340534
Stationary 992.7083 365 479 0.01157403 0.2340534
Stationary 992.7241 365 479 0.01157403 0.2340534
Stationary 992.7394 365 479 0.01157403 0.2340534
Moved 992.7541 380 494 0.04629632 0.2726337
Moved 992.7703 384.596 498.6633 0.05693525 0.2846278
Moved 992.7859 391.8669 504.4935 0.07376591 0.2996232
Moved 992.8032 402.6313 511.2179 0.09868343 0.3169183
Moved 992.8239 431.0686 527.7067 0.1645106 0.3593278
Stationary 992.8347 431.0686 527.7067 0.1645106 0.3593278
Moved 992.8481 449.3746 539.9517 0.2068856 0.3908221
Moved 992.8631 472 554 0.2592593 0.4269547
Moved 992.8784 482.4178 562.8506 0.2833744 0.4497186
Moved 992.8966 496.6524 572.4567 0.3163249 0.4744255
Moved 992.9092 506.0106 580.0071 0.3379876 0.4938453
Moved 992.9252 514.6722 586.7269 0.3580375 0.5111287
Moved 992.9404 520.5099 591.1324 0.3715506 0.5224597
Moved 992.9555 526.0708 595.2567 0.3844231 0.5330675
Moved 992.9707 530.7598 599.7598 0.3952772 0.5446495
Moved 992.9862 533.9094 602.9094 0.402568 0.5527503
Moved 993.004 537.6604 608.3208 0.4112509 0.5666686
Moved 993.0176 540.5333 611.5333 0.4179011 0.5749311
Moved 993.0328 541.7051 614.4103 0.4206138 0.5823309
Moved 993.0484 543.1604 615 0.4239824 0.5838476
Moved 993.0638 543 616.582 0.4236111 0.5879164
Moved 993.0795 544.0262 617 0.4259866 0.5889916
Moved 993.1055 544 619.5616 0.4259259 0.5955801
Moved 993.1171 544 620.5 0.4259259 0.5979937
Stationary 993.1284 544 620.5 0.4259259 0.5979937
Moved 993.1463 544 621 0.4259259 0.5992797
Stationary 993.1569 544 621 0.4259259 0.5992797
Stationary 993.1701 544 621 0.4259259 0.5992797
Stationary 993.1852 544 621 0.4259259 0.5992797
Stationary 993.2007 544 621 0.4259259 0.5992797
Moved 993.2161 523.1785 612.1785 0.3777279 0.5765906
Moved 993.231 509.4061 606.8578 0.3458474 0.5629058
Moved 993.2498 496.9806 600.4903 0.3170847 0.5465285
Moved 993.2632 476.0615 590.4637 0.268661 0.52074
Moved 993.2782 453.9832 577.9905 0.2175538 0.4886587
Moved 993.2952 425.1028 556.3271 0.150701 0.4329401
Moved 993.3094 400.3104 542.319 0.09331118 0.396911
Moved 993.3245 380.028 528.0206 0.04636119 0.3601351
Moved 993.3402 361.3632 513.664 0.003155569 0.3232099
Moved 993.3552 345.2751 502.0201 -0.03408531 0.2932616
Moved 993.3712 330.8492 493.1096 -0.06747861 0.2703434
Moved 993.3866 324.2375 488.7425 -0.08278345 0.2591113
Moved 993.4019 317.0464 483.2371 -0.09942973 0.2449513
Moved 993.4223 313.5 482.5 -0.1076389 0.2430555
Moved 993.4334 309.1638 480.291 -0.1176763 0.2373738
Moved 993.4489 303.4214 478.8553 -0.1309689 0.2336814
Moved 993.4639 300.2544 478 -0.1383 0.2314814
Moved 993.4788 297.9843 478 -0.1435549 0.2314814
Moved 993.4959 295.0889 478 -0.1502572 0.2314814
Moved 993.5104 294.1103 478 -0.1525225 0.2314814
Moved 993.5252 292.6671 478 -0.1558632 0.2314814
Stationary 993.5408 292.6671 478 -0.1558632 0.2314814
Moved 993.5563 291.676 478 -0.1581575 0.2314814
Moved 993.571 290.8286 478 -0.160119 0.2314814
Stationary 993.5862 290.8286 478 -0.160119 0.2314814
Moved 993.6023 289.6266 478 -0.1629014 0.2314814
Stationary 993.6204 289.6266 478 -0.1629014 0.2314814
Moved 993.6323 288.9767 478 -0.1644057 0.2314814
Stationary 993.6496 288.9767 478 -0.1644057 0.2314814
Stationary 993.6645 288.9767 478 -0.1644057 0.2314814
Stationary 993.6801 288.9767 478 -0.1644057 0.2314814
Stationary 993.6946 289 478 -0.1643519 0.2314814
Ended 993.7109 289 488 -0.1643519 0.2572016
Candidates 993.9101 12 of good off god if odd goods is food odds gods his
Began 994.4316 375 426 0.03472219 0.09773654
Stationary 994.4539 375 426 0.03472219 0.09773654
Stationary 994.4656 375 426 0.03472219 0.09773654
Moved 994.4815 363.7563 426 0.008695126 0.09773654
Moved 994.4983 357.0789 426 -0.0067617 0.09773654
Moved 994.5127 344.7276 426 -0.03535276 0.09773654
Moved 994.5276 328.1605 426 -0.07370248 0.09773654
Moved 994.5462 287.1443 426 -0.1686475 0.09773654
Moved 994.5604 228.6946 426 -0.3039477 0.09773654
Ended 994.5756 198.9806 417.9896 -0.3727301 0.07713372
Accept 994.6028 1 good
Began 994.9297 411 446 0.1180555 0.1491768
Stationary 994.9449 411 446 0.1180555 0.1491768
Stationary 994.96 411 446 0.1180555 0.1491768
Stationary 994.9752 411 446 0.1180555 0.1491768
Stationary 994.991 411 446 0.1180555 0.1491768
Moved 995.0062 417.5901 460.1937 0.1333103 0.1856833
Moved 995.0294 464.545 515.9691 0.2420023 0.3291386
Stationary 995.0409 464.545 515.9691 0.2420023 0.3291386
Moved 995.0531 485.5567 544.3006 0.2906406 0.4020076
Moved 995.0685 497.098 559.1307 0.3173565 0.4401508
Moved 995.0833 504.3648 567.8378 0.3341778 0.4625456
Moved 995.0997 509.5877 572.6908 0.3462679 0.4750277
Moved 995.114 512.6559 578.3118 0.3533701 0.4894849
Moved 995.1296 515.5388 581.3082 0.3600436 0.4971918
Moved 995.1462 518.4183 584.4183 0.3667089 0.5051909
Moved 995.1605 519.2209 586.4418 0.3685669 0.5103954
Moved 995.1759 521.4677 589.4677 0.3737677 0.518178
Moved 995.191 523.1719 591.1719 0.3777129 0.5225615
Moved 995.2066 524 593.6162 0.3796296 0.5288482
Moved 995.2219 525.048 596.0961 0.3820556 0.5352265
Moved 995.2401 526.4881 598.9762 0.3853891 0.5426342
Moved 995.255 527 600.8608 0.3865741 0.5474814
Moved 995.2686 527 602.0501 0.3865741 0.5505403
Moved 995.285 527 603.5079 0.3865741 0.5542898
Moved 995.3058 527 606.3873 0.3865741 0.5616955
Stationary 995.3173 527 606.3873 0.3865741 0.5616955
Moved 995.3293 527 607.5 0.3865741 0.5645576
Stationary 995.346 527 607.5 0.3865741 0.5645576
Moved 995.3603 514.4885 607 0.3576124 0.5632715
Moved 995.377 508.7423 607 0.344311 0.5632715
Moved 995.3919 499.3135 597.0726 0.322485 0.537738
Moved 995.4079 488.1964 593.2551 0.2967511 0.5279195
Moved 995.4232 479.2638 588.6319 0.2760737 0.5160285
Moved 995.4388 469.4853 583.7427 0.2534383 0.5034533
Moved 995.4537 460.9736 579.9894 0.2337352 0.4937999
Moved 995.4689 452.3549 575.6774 0.2137844 0.4827093
Moved 995.4846 448.0656 573.3552 0.2038556 0.4767366
Moved 995.5009 442.2443 570.1465 0.1903803 0.4684839
Moved 995.5155 437.8278 568.6093 0.1801568 0.4645299
Moved 995.5305 431.6879 565.344 0.1659443 0.4561316
Moved 995.5474 427.1985 563.7328 0.1555521 0.4519877
Moved 995.5679 415.4252 556.5689 0.128299 0.4335619
Stationary 995.5793 415.4252 556.5689 0.128299 0.4335619
Moved 995.592 407 554 0.1087963 0.4269547
Moved 995.608 400.5232 549.9139 0.0938038 0.4164452
Moved 995.6238 393.3409 545.6046 0.07717808 0.4053614
Moved 995.6392 387.6898 540.6898 0.06409685 0.3927206
Moved 995.654 381.9312 535.9484 0.05076657 0.3805256
Moved 995.6699 376.634 529.1786 0.0385046 0.3631136
Moved 995.6855 372.3256 522.5427 0.02853145 0.3460459
Moved 995.7007 367.997 516.6627 0.01851161 0.3309225
Moved 995.7166 365.0695 511.4492 0.01173496 0.3175132
Moved 995.7308 359.4217 502.8434 -0.001338671 0.295379
Moved 995.7485 355.1248 495.5414 -0.0112851 0.2765983
Moved 995.762 350.5366 487.3414 -0.0219061 0.2555076
Moved 995.7772 346.4905 481.3207 -0.03127187 0.2400224
Moved 995.7934 342.163 473.9384 -0.04128938 0.2210348
Moved 995.809 338.89 468.835 -0.04886577 0.2079087
Moved 995.8306 335.3735 463.3735 -0.05700578 0.1938619
Stationary 995.842 335.3735 463.3735 -0.05700578 0.1938619
Moved 995.8543 333.9398 461.9398 -0.06032447 0.1901743
Moved 995.8693 332.5 460.5 -0.06365741 0.1864711
Stationary 995.8851 332.5 460.5 -0.06365741 0.1864711
Moved 995.9016 332 461 -0.06481484 0.1877571
