a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Moved 2134.819 258.626 512 -0.234662 0.31893
Stationary 2134.834 258.626 512 -0.234662 0.31893
Moved 2134.855 257.7604 512 -0.2366658 0.31893
Moved 2134.866 256.9264 512 -0.2385964 0.31893
Moved 2134.88 256.4135 512 -0.2397835 0.31893
Moved 2134.897 255.2114 505.6909 -0.2425663 0.3027029
Moved 2134.914 252.6761 499.3521 -0.248435 0.2863994
Moved 2134.927 250.7872 492.3616 -0.2528074 0.2684198
Moved 2134.942 247.9155 484.7888 -0.2594548 0.2489422
Moved 2134.96 245.5204 476.6021 -0.264999 0.2278859
Moved 2134.973 242.2647 468.5295 -0.2725354 0.2071231
Moved 2134.989 240.649 462.5959 -0.2762755 0.1918619
Moved 2135.004 236.8169 457.0423 -0.285146 0.1775779
Moved 2135.02 231.5309 448.7433 -0.2973822 0.1562326
Moved 2135.035 225.6646 435.9954 -0.3109615 0.1234449
Moved 2135.051 218.1307 425.0353 -0.3284011 0.09525526
Moved 2135.066 212.1859 415.7789 -0.3421622 0.07144774
Moved 2135.081 208.0697 407.1395 -0.3516904 0.04922702
Moved 2135.098 203.7528 399.588 -0.3616834 0.02980432
Moved 2135.113 199.5 394 -0.3715278 0.01543206
Moved 2135.128 196.6246 386.8431 -0.3781838 -0.002975738
Moved 2135.143 191.9074 378.8456 -0.3891034 -0.02354524
Moved 2135.16 188.4691 372.8762 -0.3970623 -0.03889868
Moved 2135.176 185.0953 367.127 -0.4048721 -0.05368582
Moved 2135.191 183.5919 364.1839 -0.408352 -0.06125548
Moved 2135.206 181.1547 359.4641 -0.4139937 -0.07339485
Moved 2135.221 179.7184 356.4368 -0.4173186 -0.081181
Moved 2135.241 178 353.1686 -0.4212963 -0.08958706
Stationary 2135.253 178 353.1686 -0.4212963 -0.08958706
Moved 2135.266 176.729 353 -0.4242383 -0.09002065
Moved 2135.282 177 351.5 -0.4236111 -0.0938786
Moved 2135.298 175.9275 350.9275 -0.4260938 -0.09535118
Moved 2135.314 176 350 -0.4259259 -0.09773669
Moved 2135.327 174.9776 350 -0.4282924 -0.09773669
Moved 2135.343 175 348.9224 -0.4282407 -0.1005082
Stationary 2135.36 175 348.9224 -0.4282407 -0.1005082
Stationary 2135.375 175 348.9224 -0.4282407 -0.1005082
Stationary 2135.389 175 348.9224 -0.4282407 -0.1005082
Stationary 2135.404 175 349 -0.4282407 -0.1003086
Stationary 2135.422 175 349 -0.4282407 -0.1003086
Stationary 2135.435 175 349 -0.4282407 -0.1003086
Stationary 2135.451 175 349 -0.4282407 -0.1003086
Moved 2135.467 184.0577 349 -0.4072738 -0.1003086
Moved 2135.481 189.7263 349 -0.3941521 -0.1003086
Moved 2135.497 195.7274 349 -0.3802607 -0.1003086
Moved 2135.514 203.112 349 -0.3631667 -0.1003086
Moved 2135.528 209.5146 349 -0.3483457 -0.1003086
Moved 2135.543 216.8516 349 -0.3313621 -0.1003086
Moved 2135.558 222.7839 349 -0.3176299 -0.1003086
Moved 2135.579 229.5725 356.8015 -0.3019155 -0.08024325
Moved 2135.592 235.7659 356 -0.2875789 -0.0823046
Moved 2135.606 241.9791 356.9948 -0.2731966 -0.07974608
Moved 2135.621 247.7345 358.4336 -0.2598739 -0.07604528
Moved 2135.636 252.4708 358 -0.2489101 -0.07716057
Moved 2135.651 258.2516 358 -0.2355288 -0.07716057
Moved 2135.667 261.5 358 -0.2280093 -0.07716057
Moved 2135.682 264.6515 358 -0.2207142 -0.07716057
Moved 2135.698 268.8073 358 -0.2110941 -0.07716057
Moved 2135.713 271.4198 358 -0.2050468 -0.07716057
Moved 2135.729 273.1486 358 -0.2010449 -0.07716057
Moved 2135.743 276.1839 358 -0.1940188 -0.07716057
Moved 2135.76 278.026 358 -0.1897547 -0.07716057
Moved 2135.775 279.4734 358 -0.1864043 -0.07716057
Moved 2135.791 280.5879 358 -0.1838243 -0.07716057
Moved 2135.806 282.029 358 -0.1804884 -0.07716057
Moved 2135.822 283.4719 358 -0.1771485 -0.07716057
Moved 2135.836 284.9042 358 -0.1738329 -0.07716057
Moved 2135.852 285.5 358 -0.1724537 -0.07716057
Moved 2135.871 286.375 358 -0.1704281 -0.07716057
Moved 2135.883 287.1142 358 -0.1687171 -0.07716057
Moved 2135.906 288.5 359.5 -0.1655093 -0.07330247
Stationary 2135.917 288.5 359.5 -0.1655093 -0.07330247
Moved 2135.929 288 360.1 -0.1666667 -0.07175932
Moved 2135.945 289 360.6348 -0.1643519 -0.07038367
Moved 2135.961 290.0839 361 -0.1618429 -0.06944452
Moved 2135.976 290 362.5 -0.162037 -0.06558649
Moved 2135.991 291 364.9269 -0.1597222 -0.05934452
Moved 2136.005 292.0793 367.1586 -0.1572238 -0.05360442
Moved 2136.023 293.5 373 -0.1539352 -0.03858032
Moved 2136.037 294.9834 379.9338 -0.1505013 -0.02074654
Moved 2136.052 297.8443 387.1107 -0.143879 -0.002287327
Moved 2136.07 298.8613 395.3066 -0.1415247 0.01879268
Moved 2136.083 301.5918 407.663 -0.1352042 0.05057362
Moved 2136.098 305.213 420.3768 -0.1268217 0.0832735
Moved 2136.115 307.7695 430.9628 -0.1209039 0.1105008
Moved 2136.131 309.2854 440.9976 -0.117395 0.1363107
Moved 2136.146 311.7246 451.0722 -0.1117486 0.1622227
Moved 2136.16 313.1658 458.8289 -0.1084125 0.1821731
Moved 2136.176 317.8187 471.2435 -0.097642 0.2141036
Moved 2136.191 321.0982 480.2946 -0.09005044 0.2373831
Moved 2136.215 325.676 495.704 -0.07945363 0.2770165
Stationary 2136.226 325.676 495.704 -0.07945363 0.2770165
Moved 2136.238 327.0005 500.0016 -0.07638767 0.2880699
Moved 2136.253 328.4392 504.3177 -0.07305736 0.2991709
Moved 2136.269 329.8808 506.7617 -0.0697203 0.3054569
