if you were not so stupid
if you were not so stupid
FixStart
0.6 0.6
432 388.8
Moved 1250.225 278.3584 363 -0.1889852 -0.06430049
Moved 1250.241 272.7516 363 -0.201964 -0.06430049
Moved 1250.257 267.7399 363 -0.213565 -0.06430049
Moved 1250.272 264.6241 363 -0.2207775 -0.06430049
Moved 1250.287 261.3745 363 -0.2282998 -0.06430049
Moved 1250.303 258.8798 363 -0.2340746 -0.06430049
Moved 1250.319 257.8781 363 -0.2363934 -0.06430049
Moved 1250.333 256.4001 363 -0.2398147 -0.06430049
Moved 1250.348 254.9654 363 -0.2431357 -0.06430049
Stationary 1250.364 255 363 -0.2430556 -0.06430049
Moved 1250.381 253.5 363 -0.2465278 -0.06430049
Moved 1250.398 252.8333 363 -0.2480711 -0.06430049
Stationary 1250.413 252.8333 363 -0.2480711 -0.06430049
Stationary 1250.428 252.8333 363 -0.2480711 -0.06430049
Moved 1250.441 251.7175 363 -0.250654 -0.06430049
Stationary 1250.457 251.7175 363 -0.250654 -0.06430049
Stationary 1250.472 252 363 -0.25 -0.06430049
Stationary 1250.489 252 363 -0.25 -0.06430049
Stationary 1250.501 252 363 -0.25 -0.06430049
Moved 1250.518 252 371.4378 -0.25 -0.04259831
Moved 1250.534 256.8141 376.4387 -0.2388563 -0.02973603
Moved 1250.549 264.131 385.1834 -0.221919 -0.007244353
Moved 1250.564 272.7392 396.6523 -0.2019925 0.02225381
Moved 1250.58 282.4015 408.3018 -0.1796262 0.05221641
Moved 1250.596 293.7162 422.3953 -0.1534347 0.08846506
Moved 1250.611 303.4526 434.7894 -0.1308968 0.1203431
Moved 1250.627 313.5431 446.7635 -0.1075391 0.1511407
Moved 1250.641 321 455.5 -0.09027779 0.173611
Moved 1250.657 330.2085 465.2085 -0.06896173 0.1985815
Moved 1250.676 339.0768 474.0768 -0.04843324 0.221391
Moved 1250.688 348.0762 485.0762 -0.02760147 0.2496815
Moved 1250.703 357.4046 495.4624 -0.00600785 0.276395
Moved 1250.718 364.9792 502.9792 0.01152595 0.2957284
Moved 1250.734 371.6355 509.6355 0.02693395 0.3128484
Moved 1250.75 377.4449 514.0837 0.04038185 0.3242894
Moved 1250.764 384.0116 519.5058 0.05558232 0.338235
Moved 1250.78 391.7303 523.8382 0.07344981 0.349378
Moved 1250.796 403.1128 529.5564 0.09979805 0.3640853
Moved 1250.811 409.9432 531.8239 0.1156093 0.3699172
Moved 1250.827 416.0503 534.5251 0.129746 0.376865
Moved 1250.843 421.8169 535.7042 0.1430947 0.3798976
Moved 1250.858 427.5329 536 0.1563262 0.3806583
Moved 1250.872 431.7397 536 0.1660641 0.3806583
Moved 1250.889 442.0948 537 0.1900341 0.3832304
Moved 1250.91 459.3555 537 0.2299895 0.3832304
Stationary 1250.92 459.3555 537 0.2299895 0.3832304
Moved 1250.933 467.0311 537 0.2477572 0.3832304
Moved 1250.949 471.3347 537 0.2577192 0.3832304
Moved 1250.964 477.5063 537 0.2720054 0.3832304
Moved 1250.982 480.9066 537 0.2798763 0.3832304
Moved 1250.997 486.5229 537 0.2928771 0.3832304
Moved 1251.011 491.493 537 0.3043819 0.3832304
Moved 1251.028 497.013 538.2532 0.3171597 0.3864537
Moved 1251.043 501.8203 538 0.3282878 0.3858024
Moved 1251.058 507.5203 538 0.3414823 0.3858024
Moved 1251.073 512.2877 538 0.3525179 0.3858024
Moved 1251.089 517.0751 538 0.3635999 0.3858024
Moved 1251.105 522.5375 538 0.3762443 0.3858024
Moved 1251.12 528.8391 538 0.3908312 0.3858024
Moved 1251.141 542.1883 538 0.4217322 0.3858024
Stationary 1251.152 542.1883 538 0.4217322 0.3858024
Moved 1251.165 548.2338 539 0.4357263 0.3883744
Moved 1251.181 555.5366 539 0.4526311 0.3883744
Moved 1251.196 561.5 539 0.4664352 0.3883744
Moved 1251.212 567.0226 539 0.479219 0.3883744
Moved 1251.227 573.0963 539 0.4932784 0.3883744
Moved 1251.243 577.8639 539 0.5043146 0.3883744
Moved 1251.259 583.6191 539 0.5176369 0.3883744
Moved 1251.273 588.1738 539 0.52818 0.3883744
Moved 1251.29 592.0786 539 0.537219 0.3883744
Moved 1251.306 596.3945 539 0.5472096 0.3883744
Moved 1251.319 598.7999 539 0.5527774 0.3883744
Moved 1251.335 604.1622 530.6756 0.5651902 0.3669639
Moved 1251.355 608.9161 527.563 0.5761946 0.3589582
Moved 1251.367 612.8363 525.0818 0.5852693 0.3525767
Moved 1251.381 617.0699 520.9301 0.5950691 0.3418983
