want to join us for lunch
want to join us for lunch
Basic
0.6 0.6
432 388.8
Began 464.7082 389 338 0.06712963 -0.1286009
Stationary 464.723 389 338 0.06712963 -0.1286009
Stationary 464.7379 389 338 0.06712963 -0.1286009
Stationary 464.7536 389 338 0.06712963 -0.1286009
Stationary 464.7693 389 338 0.06712963 -0.1286009
Stationary 464.7896 389 338 0.06712963 -0.1286009
Moved 464.8004 395.218 352.1453 0.08152306 -0.09221889
Moved 464.8161 403.6116 364.101 0.1009529 -0.06146882
Moved 464.8317 408.8318 376.9964 0.1130367 -0.0283016
Moved 464.847 414.3229 388.3073 0.1257474 0.0007902545
Moved 464.8617 416.0566 394.2265 0.1297607 0.01601459
Moved 464.8776 417.5 398.5 0.1331019 0.02700609
Moved 464.8932 418.9464 400.8928 0.13645 0.03316051
Moved 464.9082 419 402.389 0.1365741 0.0370088
Moved 464.9241 419 404.8348 0.1365741 0.0432994
Moved 464.9396 419.9742 405 0.1388292 0.04372424
Moved 464.9541 420 406.4091 0.1388889 0.04734847
Stationary 464.969 420 406.4091 0.1388889 0.04734847
Moved 464.9845 420 407.3713 0.1388889 0.0498232
Stationary 465.0009 420 407.3713 0.1388889 0.0498232
Moved 465.0221 412.752 402.772 0.1221112 0.03799387
Stationary 465.0324 412.752 402.772 0.1221112 0.03799387
Moved 465.0469 400.1544 395.2927 0.09295007 0.01875681
Moved 465.0621 381.8331 387.0714 0.05053957 -0.002388581
Moved 465.0777 366.3731 380.0666 0.01475265 -0.02040486
Moved 465.0937 347.6226 372.8549 -0.02865136 -0.03895363
Moved 465.1085 328.9195 365.6614 -0.07194554 -0.05745538
Moved 465.1256 313.9322 360.2797 -0.1066385 -0.07129724
Moved 465.14 299.5477 354.6191 -0.1399358 -0.08585636
Moved 465.1559 292.5 351.5 -0.15625 -0.0938786
Moved 465.1712 283.6812 348.2725 -0.176664 -0.10218
Moved 465.1862 277.7749 345.3875 -0.1903358 -0.1096002
Moved 465.2016 272.015 342.5075 -0.2036689 -0.1170075
Moved 465.2166 267.4326 339.6218 -0.2142763 -0.1244297
Moved 465.2355 263.7418 337.3709 -0.2228199 -0.1302189
Moved 465.2472 260.8682 335.9341 -0.2294717 -0.1339142
Moved 465.2619 259.5 334.5 -0.2326389 -0.1376029
Moved 465.2769 258.3738 334.3738 -0.2352458 -0.1379276
Moved 465.2949 256.934 332.934 -0.2385787 -0.1416306
Moved 465.3082 255.5 331.5 -0.2418981 -0.145319
Moved 465.3239 254.0424 331.0424 -0.2452723 -0.146496
Ended 465.3413 254 331 -0.2453704 -0.146605
Accept 465.3826 1 lunch
PhraseEnd 466.0769
