this is a very good idea
this is very good idea
Basic
0.6 0.6
432 388.8
Ended 1993.864 180 359 -0.4166667 -0.07458848
Candidates 1994.016 12 idea ideas uses used orders users ordered possess poses posted ita pissed
Began 1994.541 333 286 -0.06249999 -0.2623458
Stationary 1994.56 333 286 -0.06249999 -0.2623458
Stationary 1994.574 333 286 -0.06249999 -0.2623458
Stationary 1994.589 333 286 -0.06249999 -0.2623458
Moved 1994.604 333 298.4326 -0.06249999 -0.2303688
Moved 1994.62 333 316.6376 -0.06249999 -0.1835454
Moved 1994.636 333 336.9941 -0.06249999 -0.1311881
Moved 1994.652 333 363.9672 -0.06249999 -0.06181277
Moved 1994.666 333 381.4902 -0.06249999 -0.01674322
Moved 1994.681 333 403.5283 -0.06249999 0.03993886
Moved 1994.697 333 423.6585 -0.06249999 0.09171427
Moved 1994.712 333 438.5138 -0.06249999 0.1299222
Moved 1994.727 342.0115 464.4598 -0.0416401 0.1966557
Ended 1994.742 342.0115 464.4598 -0.0416401 0.1966557
Accept 1994.771 0 idea
PhraseEnd 1995.511
