id,scale,size,word,algorithm,sampleNum,coor,distance,firstKeyDistance,lastKeyDistance
2,1x1,0.5,time,DTW,16,keyWidth,0.571436,0.518524,0.533677,
2,1x1,0.5,time,Standard,32,pixel,17.0821,14.9335,15.3699,
2,1x1,0.5,time,Standard,32,keyWidth,0.593129,0.518524,0.533677,
2,1x1,0.5,time,DTW,32,pixel,15.1303,14.9335,15.3699,
2,1x1,0.5,time,DTW,32,keyWidth,0.525357,0.518524,0.533677,
2,1x1,0.5,time,Standard,64,pixel,17.1692,14.9335,15.3699,
2,1x1,0.5,time,Standard,64,keyWidth,0.596152,0.518524,0.533677,
2,1x1,0.5,time,DTW,64,pixel,14.872,14.9335,15.3699,
2,1x1,0.5,time,DTW,64,keyWidth,0.51639,0.518524,0.533677,
2,1x1,0.5,time,Standard,128,pixel,17.1767,14.9335,15.3699,
2,1x1,0.5,time,Standard,128,keyWidth,0.596414,0.518524,0.533677,
2,1x1,0.5,time,DTW,128,pixel,14.7293,14.9335,15.3699,
2,1x1,0.5,time,DTW,128,keyWidth,0.511435,0.518524,0.533677,
2,1x1,0.5,time,Standard,256,pixel,17.1868,14.9335,15.3699,
2,1x1,0.5,time,Standard,256,keyWidth,0.596763,0.518524,0.533677,
2,1x1,0.5,time,DTW,256,pixel,14.6837,14.9335,15.3699,
2,1x1,0.5,time,DTW,256,keyWidth,0.50985,0.518524,0.533677,
2,1x1,0.5,to,Standard,16,pixel,23.9838,32.1145,10.7556,
2,1x1,0.5,to,Standard,16,keyWidth,0.832769,1.11509,0.373457,
2,1x1,0.5,to,DTW,16,pixel,23.9838,32.1145,10.7556,
2,1x1,0.5,to,DTW,16,keyWidth,0.832769,1.11509,0.373457,
2,1x1,0.5,to,Standard,32,pixel,24.0606,32.1145,10.7556,
2,1x1,0.5,to,Standard,32,keyWidth,0.835438,1.11509,0.373457,
2,1x1,0.5,to,DTW,32,pixel,23.7527,32.1145,10.7556,
2,1x1,0.5,to,DTW,32,keyWidth,0.824747,1.11509,0.373457,
2,1x1,0.5,to,Standard,64,pixel,24.11,32.1145,10.7556,
2,1x1,0.5,to,Standard,64,keyWidth,0.837152,1.11509,0.373457,
2,1x1,0.5,to,DTW,64,pixel,23.7932,32.1145,10.7556,
2,1x1,0.5,to,DTW,64,keyWidth,0.826154,1.11509,0.373457,
2,1x1,0.5,to,Standard,128,pixel,24.1392,32.1145,10.7556,
2,1x1,0.5,to,Standard,128,keyWidth,0.838166,1.11509,0.373457,
2,1x1,0.5,to,DTW,128,pixel,23.8205,32.1145,10.7556,
2,1x1,0.5,to,DTW,128,keyWidth,0.8271,1.11509,0.373457,
2,1x1,0.5,to,Standard,256,pixel,24.1501,32.1145,10.7556,
2,1x1,0.5,to,Standard,256,keyWidth,0.838545,1.11509,0.373457,
2,1x1,0.5,to,DTW,256,pixel,23.83,32.1145,10.7556,
2,1x1,0.5,to,DTW,256,keyWidth,0.827431,1.11509,0.373457,
2,1x1,0.5,go,Standard,16,pixel,18.8152,36.0555,4.40067,
2,1x1,0.5,go,Standard,16,keyWidth,0.653304,1.25193,0.152801,
2,1x1,0.5,go,DTW,16,pixel,14.9312,36.0555,4.40067,
2,1x1,0.5,go,DTW,16,keyWidth,0.518446,1.25193,0.152801,
2,1x1,0.5,go,Standard,32,pixel,18.7906,36.0555,4.40067,
2,1x1,0.5,go,Standard,32,keyWidth,0.652452,1.25193,0.152801,
2,1x1,0.5,go,DTW,32,pixel,14.4512,36.0555,4.40067,
2,1x1,0.5,go,DTW,32,keyWidth,0.501779,1.25193,0.152801,
2,1x1,0.5,go,Standard,64,pixel,18.766,36.0555,4.40067,
2,1x1,0.5,go,Standard,64,keyWidth,0.651597,1.25193,0.152801,
2,1x1,0.5,go,DTW,64,pixel,14.2685,36.0555,4.40067,
2,1x1,0.5,go,DTW,64,keyWidth,0.495434,1.25193,0.152801,
2,1x1,0.5,go,Standard,128,pixel,18.7537,36.0555,4.40067,
2,1x1,0.5,go,Standard,128,keyWidth,0.65117,1.25193,0.152801,
2,1x1,0.5,go,DTW,128,pixel,14.1857,36.0555,4.40067,
2,1x1,0.5,go,DTW,128,keyWidth,0.49256,1.25193,0.152801,
2,1x1,0.5,go,Standard,256,pixel,18.7478,36.0555,4.40067,
2,1x1,0.5,go,Standard,256,keyWidth,0.650965,1.25193,0.152801,
2,1x1,0.5,go,DTW,256,pixel,14.153,36.0555,4.40067,
2,1x1,0.5,go,DTW,256,keyWidth,0.491423,1.25193,0.152801,
2,1x1,0.5,shopping,Standard,16,pixel,32.1241,49.7791,7.01784,
2,1x1,0.5,shopping,Standard,16,keyWidth,1.11542,1.72844,0.243675,
2,1x1,0.5,shopping,DTW,16,pixel,24.8281,49.7791,7.01784,
2,1x1,0.5,shopping,DTW,16,keyWidth,0.862088,1.72844,0.243675,
2,1x1,0.5,shopping,Standard,32,pixel,32.3216,49.7791,7.01784,
2,1x1,0.5,shopping,Standard,32,keyWidth,1.12228,1.72844,0.243675,
2,1x1,0.5,shopping,DTW,32,pixel,22.8382,49.7791,7.01784,
2,1x1,0.5,shopping,DTW,32,keyWidth,0.792995,1.72844,0.243675,
2,1x1,0.5,shopping,Standard,64,pixel,32.3836,49.7791,7.01784,
