the bathroom is good for reading
the bathroom is good for reading
Basic
List

0.6 0.6
432 388.8
Moved 3039.041 472.737 470 0.2609652 0.2109053
Moved 3039.072 454.9151 470 0.2197109 0.2109053
Moved 3039.103 436.379 477.6602 0.1768033 0.2306073
Moved 3039.134 418.4337 480.4277 0.1352631 0.2377256
Moved 3039.164 395.5163 482 0.08221368 0.2417695
Moved 3039.195 379.3852 484 0.04487316 0.2469135
Moved 3039.226 363.183 484 0.007368127 0.2469135
Moved 3039.256 345.3203 484 -0.03398091 0.2469135
Moved 3039.287 324.1892 484 -0.08289526 0.2469135
Moved 3039.318 312.1168 484 -0.1108408 0.2469135
Moved 3039.349 306.5943 484 -0.1236243 0.2469135
Moved 3039.379 294.5292 484 -0.1515528 0.2469135
Moved 3039.41 286.33 484 -0.1705325 0.2469135
Moved 3039.441 273.7762 484 -0.199592 0.2469135
Moved 3039.472 262.8982 484 -0.2247727 0.2469135
Moved 3039.502 254.2679 484 -0.2447501 0.2469135
Moved 3039.533 246.8503 475.9501 -0.2619205 0.2262091
Moved 3039.564 238.5508 475 -0.2811324 0.2237653
Moved 3039.594 230.2471 473.4157 -0.3003538 0.2196906
Moved 3039.625 224.3137 473 -0.3140886 0.2186213
Moved 3039.656 219.4424 471.2212 -0.3253648 0.2140462
Moved 3039.687 215.453 471 -0.3345995 0.2134772
Moved 3039.718 211.3092 468.3093 -0.3441915 0.2065566
Moved 3039.748 209.4107 467.2054 -0.3485862 0.2037175
Moved 3039.779 205.0282 463.0282 -0.358731 0.1929736
Moved 3039.81 199.7436 455.2307 -0.370964 0.1729184
Moved 3039.84 192.9706 445.9412 -0.3866422 0.1490255
Moved 3039.871 185.9457 433.8915 -0.4029034 0.1180336
Moved 3039.902 174.0975 416.6462 -0.4303299 0.07367852
Moved 3039.933 161.9221 397.2034 -0.4585137 0.02367137
Moved 3039.963 157.3621 389.5432 -0.4690691 0.003969169
Moved 3039.994 156 384 -0.4722222 -0.01028807
Moved 3040.025 155 382.0972 -0.474537 -0.01518226
Moved 3040.056 155 379.3375 -0.474537 -0.02228026
Moved 3040.086 155 376.5753 -0.474537 -0.02938478
Moved 3040.117 168.5863 376 -0.4430872 -0.03086435
Moved 3040.148 187.8818 376 -0.3984218 -0.03086435
Moved 3040.178 208.9112 376 -0.3497426 -0.03086435
Moved 3040.209 228.8749 382.2124 -0.3035304 -0.01488587
Moved 3040.24 256.1868 391.4747 -0.2403083 0.008936988
Moved 3040.271 277.9675 400.4838 -0.18989 0.03210845
Moved 3040.302 303.5655 411.7115 -0.1306355 0.06098641
Moved 3040.332 324.9462 421.7479 -0.08114313 0.08679998
Moved 3040.363 349.7686 435.8457 -0.02368391 0.1230599
Moved 3040.394 376.5504 451.344 0.03831118 0.1629217
Moved 3040.425 402.4726 467.9817 0.09831607 0.2057141
Moved 3040.455 429.5066 482.8882 0.160895 0.2440539
Moved 3040.486 455.3911 500.2737 0.2208128 0.2887698
Moved 3040.517 480.5843 515.191 0.2791303 0.3271374
Moved 3040.547 505.4276 529.8207 0.3366381 0.3647652
Moved 3040.578 517.4454 537.7227 0.3644571 0.3850892
Moved 3040.609 525.2457 543.1229 0.3825131 0.3989784
