what goes up must come down
what goes up must come down
Basic
List

0.6 0.6
432 388.8
Moved 1443.932 333.7308 458.5383 -0.06080826 0.1814257
Moved 1443.963 333 464.2932 -0.06249999 0.1962273
Moved 1443.993 332 468.0164 -0.06481484 0.2058035
Moved 1444.024 331.477 470.5231 -0.06602556 0.2122506
Moved 1444.055 331 472.5 -0.06712963 0.2173353
Moved 1444.085 329.5 474.5 -0.07060184 0.2224794
Moved 1444.116 330 475.3544 -0.06944443 0.2246769
Moved 1444.147 330 476 -0.06944443 0.2263374
Moved 1444.178 329 477 -0.07175927 0.2289094
Moved 1444.208 329 478 -0.07175927 0.2314814
Moved 1444.239 328.0469 478 -0.07396548 0.2314814
Moved 1444.27 328 479.3791 -0.07407407 0.2350284
Moved 1444.3 325.6497 479 -0.07951453 0.2340534
Moved 1444.331 323.5 479 -0.08449072 0.2340534
Moved 1444.362 316.6992 480 -0.1002333 0.2366254
Moved 1444.393 310.9597 480 -0.1135193 0.2366254
Moved 1444.423 307.5 480 -0.1215278 0.2366254
Moved 1444.454 303.4586 480 -0.1308829 0.2366254
Moved 1444.485 296.4576 480 -0.147089 0.2366254
Moved 1444.515 288.8947 480 -0.1645956 0.2366254
Moved 1444.546 281.216 480 -0.1823703 0.2366254
Moved 1444.577 276.1703 480 -0.1940503 0.2366254
Moved 1444.608 271.7126 480 -0.2043689 0.2366254
Moved 1444.638 268 480 -0.212963 0.2366254
Moved 1444.669 266.2324 480 -0.2170547 0.2366254
Moved 1444.7 265 480 -0.2199074 0.2366254
Moved 1444.73 263.7669 481.233 -0.2227617 0.2397968
Moved 1444.761 264 482.1074 -0.2222222 0.2420458
Moved 1444.792 264 485.7007 -0.2222222 0.2512879
Moved 1444.823 264 491.1446 -0.2222222 0.2652895
Moved 1444.853 264 497.1768 -0.2222222 0.2808043
Moved 1444.884 264 502.9618 -0.2222222 0.2956836
Moved 1444.915 264 506.0145 -0.2222222 0.3035351
Moved 1444.945 264 508.8784 -0.2222222 0.3109011
Moved 1444.976 264 510 -0.2222222 0.3137859
Moved 1445.007 264 512 -0.2222222 0.31893
Moved 1445.038 271 515.2346 -0.2060186 0.3272493
Moved 1445.068 272.9548 517.9096 -0.2014935 0.3341296
Moved 1445.099 274.796 521.796 -0.1972314 0.3441255
Moved 1445.13 275 523 -0.1967592 0.3472221
Moved 1445.16 276 525 -0.1944444 0.3523662
Moved 1445.191 277 528.0129 -0.1921296 0.3601153
Moved 1445.222 278 529 -0.1898148 0.3626543
Ended 1445.253 280 530 -0.1851852 0.3652262
Accept 1445.375 0 must
Candidates 1445.375 13 come some done zone home fine assume crime dome summer dinner finger number
Began 1446.727 309 375 -0.1180555 -0.03343629
Stationary 1446.757 309 375 -0.1180555 -0.03343629
Stationary 1446.788 309 375 -0.1180555 -0.03343629
Stationary 1446.819 309 375 -0.1180555 -0.03343629
Moved 1446.849 316.742 383.6022 -0.1001343 -0.01131136
Moved 1446.88 342.3924 401.4354 -0.04075826 0.03455605
Moved 1446.911 367.3274 415.4728 0.0169616 0.0706604
Moved 1446.942 391.377 429.4317 0.07263194 0.1065629
Moved 1446.972 418.1433 445.0955 0.134591 0.1468505
Moved 1447.003 442.1981 457.5991 0.1902733 0.1790098
Moved 1447.034 465.1735 467.3151 0.2434571 0.2039996
Moved 1447.064 486.6005 476.6002 0.2930568 0.2278812
Moved 1447.095 507.8105 485.4053 0.342154 0.2505279
Moved 1447.126 524.045 496.027 0.3797339 0.2778472
Moved 1447.157 537.4423 503.7769 0.4107461 0.2977801
Moved 1447.187 547.775 508.8875 0.4346644 0.3109246
Moved 1447.218 555.6323 513.3162 0.4528525 0.3223151
Moved 1447.249 559.1803 515 0.4610655 0.326646
Moved 1447.279 560.7821 517.7821 0.4647734 0.3338016
Moved 1447.31 561 520.5 0.4652777 0.3407921
Moved 1447.341 561 523.4446 0.4652777 0.3483656
Moved 1447.372 534.9536 532.2451 0.4049852 0.3710006
Moved 1447.402 485.5674 533 0.2906654 0.3729423
Moved 1447.433 450.2352 526.9868 0.2088778 0.3574763
Moved 1447.464 414.5754 518.7626 0.1263319 0.3363234
Moved 1447.495 379.0672 509.5168 0.04413714 0.3125431
Moved 1447.525 351.7081 501.9027 -0.01919423 0.2929595
Moved 1447.556 325.6533 495.1866 -0.07950634 0.2756858
Moved 1447.587 303.5613 489.4461 -0.130645 0.260921
Moved 1447.617 286.5532 484.5866 -0.1700158 0.2484223
Moved 1447.648 270.2019 480.8404 -0.2078659 0.2387869
Moved 1447.679 263.5 478 -0.2233796 0.2314814
Moved 1447.709 248.5 475.5 -0.2581019 0.2250513
Moved 1447.74 245.1809 475 -0.2657849 0.2237653
Moved 1447.771 239.7962 474 -0.2782495 0.2211934
Moved 1447.802 235.9242 474 -0.2872125 0.2211934
Moved 1447.832 233.2944 474 -0.2933001 0.2211934
Moved 1447.863 231.5218 474 -0.2974033 0.2211934
Stationary 1447.894 232 474 -0.2962963 0.2211934
Moved 1447.924 230.5 474 -0.2997685 0.2211934
Stationary 1447.955 230.5 474 -0.2997685 0.2211934
Moved 1447.986 231 474 -0.2986111 0.2211934
Stationary 1448.016 231 474 -0.2986111 0.2211934
Moved 1448.047 241.5 474 -0.2743055 0.2211934
Moved 1448.078 258.6866 456.3134 -0.2345217 0.175703
Moved 1448.109 292.4927 419.5797 -0.1562668 0.08122341
Moved 1448.139 325.1272 383.185 -0.08072416 -0.01238426
Moved 1448.17 347.788 355.7012 -0.02826855 -0.08307312
Moved 1448.201 374.49 319.4457 0.03354162 -0.1763228
Moved 1448.232 394.6339 292.0945 0.08017103 -0.2466705
Moved 1448.262 410.7744 271.361 0.1175333 -0.2999975
Moved 1448.293 422 254.5 0.1435185 -0.3433642
Moved 1448.324 436.9417 234.6699 0.1781058 -0.3943675
Moved 1448.354 445.7763 221.9648 0.1985564 -0.4270452
Moved 1448.385 451.4876 212.6832 0.2117768 -0.4509177
Moved 1448.416 455.6431 205.7137 0.2213961 -0.4688433
Moved 1448.447 458 201.4843 0.2268519 -0.4797216
Moved 1448.477 459 198.6118 0.2291666 -0.4871095
Moved 1448.508 460 198 0.2314815 -0.4886832
Moved 1448.539 461 196.1644 0.2337964 -0.4934042
Moved 1448.569 462 194.2935 0.2361111 -0.4982165
Moved 1448.6 462 192.7095 0.2361111 -0.5022905
Moved 1448.631 462 191.882 0.2361111 -0.5044188
Ended 1448.661 462 191.882 0.2361111 -0.5044188
Accept 1448.754 0 come
Candidates 1448.754 13 down shown form gotten town firm horn sperm spam grown southern born doesn
Began 1449.337 626 430 0.6157407 0.1080246
Stationary 1449.368 626 430 0.6157407 0.1080246
Stationary 1449.399 626 430 0.6157407 0.1080246
Ended 1449.429 626 430 0.6157407 0.1080246
Accept 1449.521 0 down
PhraseEnd 1449.521
