the union will go on strike
the union will go on strike
FixStart
List

0.6 0.6
432 388.8
Moved 3597.131 499.0072 548.9785 0.3217759 0.4140391
Moved 3597.162 504.2703 531.6487 0.333959 0.3694668
Moved 3597.193 509.0383 512.7701 0.344996 0.3209108
Moved 3597.223 512.3581 501.2095 0.3526808 0.2911767
Moved 3597.254 516.232 483.3759 0.3616481 0.2453082
Moved 3597.285 520.0051 466.9744 0.3703823 0.2031234
Moved 3597.316 522 454.95 0.375 0.1721965
Moved 3597.346 523.173 446.3081 0.3777152 0.1499693
Moved 3597.377 523 440.1411 0.3773148 0.1341077
Moved 3597.408 523 432.9336 0.3773148 0.1155699
Moved 3597.438 523 427.1021 0.3773148 0.1005711
Moved 3597.469 494.319 418.1099 0.3109235 0.07744318
Moved 3597.5 450.3378 427.0706 0.2091152 0.1004902
Moved 3597.531 406.7982 456.6013 0.1083292 0.1764435
Moved 3597.561 380.1328 480.993 0.04660378 0.2391796
Moved 3597.592 357.9455 499.4753 -0.004755706 0.2867162
Moved 3597.623 339.0071 514.6608 -0.04859472 0.3257735
Moved 3597.654 323.5299 524.282 -0.08442154 0.3505196
Moved 3597.684 311.1954 531.6827 -0.1129736 0.3695543
Moved 3597.715 296.3923 540.9646 -0.14724 0.3934273
Ended 3597.746 275.1833 552.5197 -0.196335 0.4231473
Accept 3597.868 0 on
Candidates 3597.868 13 strike the woke settle sterile stroke stole worked strikes style struggle fertile strokes
Began 3598.514 218 438 -0.3287037 0.1286007
Stationary 3598.544 218 438 -0.3287037 0.1286007
Moved 3598.575 240.2064 438 -0.2772999 0.1286007
Moved 3598.606 293.2878 438 -0.1544264 0.1286007
Moved 3598.636 354.028 451.3602 -0.01382405 0.1629633
Moved 3598.667 415.9099 458.6365 0.1294211 0.1816781
Moved 3598.698 460.5065 463.6009 0.2326538 0.1944467
Moved 3598.729 485.4438 465.0634 0.2903792 0.1982082
Moved 3598.759 500.8487 465 0.3260387 0.1980452
Moved 3598.79 507.4817 465 0.3413928 0.1980452
Moved 3598.821 514.0134 465 0.3565125 0.1980452
Moved 3598.852 517.5 465 0.3645833 0.1980452
Moved 3598.882 521.2258 465 0.3732078 0.1980452
Moved 3598.913 525.9879 465 0.3842311 0.1980452
Moved 3598.944 538.8005 465 0.4138901 0.1980452
Moved 3598.974 551.8252 465 0.4440398 0.1980452
Ended 3599.005 551.8252 465 0.4440398 0.1980452
Accept 3599.097 0 strike
PhraseEnd 3599.097
