electric cars need big fuel cells
electric cars need big fuel cells
Basic
Radial

0.6 0.6
432 388.8
Moved 1493.497 344.2551 389.6276 -0.03644645 0.00418608
Moved 1493.528 341.5061 386 -0.04280994 -0.005144111
Ended 1493.559 341 384 -0.04398147 -0.01028807
Candidates 1493.682 13 big bid blood both nih bug boss cliff books mid nod clips mig
Began 1494.173 287 338 -0.1689815 -0.1286009
Stationary 1494.204 287 338 -0.1689815 -0.1286009
Stationary 1494.235 287 338 -0.1689815 -0.1286009
Moved 1494.265 308.843 349.843 -0.1184189 -0.09814038
Moved 1494.296 338.1835 358.7084 -0.05050108 -0.07533854
Moved 1494.327 359.8817 366.3948 -0.0002737343 -0.05556907
Moved 1494.358 380.2097 371.9171 0.0467818 -0.04136568
Moved 1494.388 395.0686 377.4274 0.08117735 -0.0271929
Moved 1494.419 403.9702 380.6567 0.1017829 -0.01888707
Moved 1494.45 410.8372 383.4186 0.1176787 -0.01178357
Moved 1494.48 415.3302 385.1651 0.1280793 -0.007291448
Moved 1494.511 417.6739 386 0.1335044 -0.005144111
Ended 1494.542 419.5 387.5 0.1377314 -0.001286047
Accept 1494.634 0 big
Began 1495.433 269 323 -0.2106481 -0.1671811
Stationary 1495.464 269 323 -0.2106481 -0.1671811
Stationary 1495.495 269 323 -0.2106481 -0.1671811
Stationary 1495.525 269 323 -0.2106481 -0.1671811
Stationary 1495.556 269 323 -0.2106481 -0.1671811
Moved 1495.587 282.4904 341.6539 -0.1794204 -0.1192031
Moved 1495.617 291.7723 354.6205 -0.1579345 -0.08585274
Moved 1495.648 301.6932 367.3665 -0.1349695 -0.05306966
Moved 1495.679 313.2948 384.4716 -0.108114 -0.009075094
Moved 1495.71 327.1938 401.0326 -0.07594019 0.03351996
Moved 1495.74 340.3911 412.7933 -0.04539107 0.06376863
Moved 1495.771 353.3992 424.3992 -0.01527965 0.09361922
Moved 1495.802 364.8107 435.0089 0.01113584 0.1209076
Moved 1495.833 375.6416 447.1888 0.03620744 0.1522346
Moved 1495.863 383.9091 454.9091 0.0553452 0.1720913
Moved 1495.894 391.1758 462.1172 0.07216612 0.1906305
Moved 1495.925 397.5 468.5 0.08680551 0.2070472
Moved 1495.955 405.7655 475.7655 0.1059387 0.2257342
Moved 1495.986 411.9841 481.9921 0.1203335 0.2417491
Moved 1496.017 417 488 0.1319444 0.2572016
Moved 1496.047 422.2495 494.2496 0.1440961 0.2732756
Moved 1496.078 426.7347 499.7347 0.1544785 0.2873833
Moved 1496.109 430 503.6186 0.162037 0.2973728
Moved 1496.14 432.0427 506.0427 0.1667655 0.3036076
Moved 1496.17 432 507.4339 0.1666667 0.3071858
Moved 1496.201 432 508.3606 0.1666667 0.3095693
Moved 1496.232 432 509.5 0.1666667 0.3124999
Stationary 1496.263 432 509.5 0.1666667 0.3124999
Moved 1496.293 410.1772 509 0.116151 0.3112139
Moved 1496.324 390.0239 509 0.06949981 0.3112139
Moved 1496.355 369.3564 502 0.02165834 0.2932098
Moved 1496.385 353.0239 499.5748 -0.01614839 0.2869722
