I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Moved 2682.746 179.4342 407 -0.4179763 0.04886827
Moved 2682.776 172.687 408 -0.433595 0.05144025
Moved 2682.807 166.9498 409.0251 -0.4468754 0.05407682
Moved 2682.838 164.4155 409 -0.452742 0.05401234
Moved 2682.869 162.5441 409 -0.4570739 0.05401234
Ended 2682.899 162 409 -0.4583334 0.05401234
Accept 2682.992 2 at
Began 2683.237 247 378 -0.2615741 -0.02572024
Stationary 2683.268 247 378 -0.2615741 -0.02572024
Moved 2683.299 262.6348 356.942 -0.2253823 -0.07988188
Moved 2683.33 281.8062 331.9922 -0.1810042 -0.1440529
Moved 2683.36 312.0621 285.9103 -0.1109673 -0.2625765
Moved 2683.391 330.4567 253.9779 -0.06838719 -0.3447071
Moved 2683.422 341.0394 232.9213 -0.04389038 -0.3988651
Moved 2683.452 348.7696 214.9476 -0.02599627 -0.4450936
Moved 2683.483 355.2769 199.4463 -0.01093313 -0.4849632
Moved 2683.514 357 190.9833 -0.006944438 -0.5067303
Moved 2683.545 358.6652 187.3348 -0.003089905 -0.5161142
Moved 2683.575 359 184.5724 -0.002314796 -0.5232193
Stationary 2683.606 359 185 -0.002314796 -0.5221194
Moved 2683.637 359 194.3738 -0.002314796 -0.4980098
Moved 2683.668 363.0313 219.1563 0.007016758 -0.4342689
Moved 2683.698 373.1848 259.1931 0.03052036 -0.3312936
Moved 2683.729 383.2535 296.014 0.05382757 -0.2365896
Moved 2683.76 394.1985 325.9963 0.07916311 -0.1594746
Moved 2683.791 404.4511 349.9022 0.1028961 -0.09798811
Moved 2683.821 414.1668 372.7783 0.1253862 -0.03915064
Moved 2683.852 424.4006 392.201 0.1490755 0.01080509
Moved 2683.883 432.3021 404.5034 0.1673659 0.04244694
Moved 2683.913 438.9946 415.9927 0.1828578 0.0719977
Moved 2683.944 445.7406 428.4813 0.1984737 0.1041184
Moved 2683.975 449.7395 435.479 0.2077303 0.1221167
Moved 2684.006 451.244 439.2441 0.211213 0.1318005
Moved 2684.036 451 443.1149 0.2106482 0.1417562
Moved 2684.067 451 444.9837 0.2106482 0.146563
Moved 2684.098 451 445.5 0.2106482 0.1478908
Moved 2684.128 451 446 0.2106482 0.1491768
Moved 2684.159 440.193 446 0.1856318 0.1491768
Moved 2684.19 425.0468 432.3191 0.1505712 0.1139894
Moved 2684.221 398.6596 407.3267 0.08948971 0.04970841
Moved 2684.251 364.7153 370.6583 0.010915 -0.04460307
Moved 2684.282 331.7449 331.9364 -0.06540532 -0.1441966
Moved 2684.313 305.1833 290.9722 -0.1268905 -0.2495573
Moved 2684.344 294.7786 272.2458 -0.1509754 -0.2977218
Moved 2684.374 283.8346 251.6692 -0.1763088 -0.3506451
Moved 2684.405 277.8126 237.6252 -0.1902486 -0.3867664
Moved 2684.436 274.9097 229.729 -0.1969684 -0.4070757
Moved 2684.467 272.0052 221.0155 -0.2036918 -0.4294869
Moved 2684.497 269.1414 215.2828 -0.2103209 -0.4442315
Moved 2684.528 268 211.2738 -0.212963 -0.4545428
Moved 2684.559 267 207.7684 -0.2152778 -0.4635585
Moved 2684.589 266 205.5 -0.2175926 -0.469393
Moved 2684.62 266 203.5 -0.2175926 -0.4745371
Ended 2684.651 266 203.5 -0.2175926 -0.4745371
Candidates 2684.743 13 noon mob moon non mom bloom min nov bob bomb bon boom blm
Began 2685.235 204 274 -0.3611111 -0.2932099
Stationary 2685.265 204 274 -0.3611111 -0.2932099
Stationary 2685.296 204 274 -0.3611111 -0.2932099
Moved 2685.327 209.1685 274 -0.349147 -0.2932099
Moved 2685.358 224.5604 281.6538 -0.3135176 -0.2735242
Moved 2685.388 243.97 282.995 -0.2685879 -0.2700747
Moved 2685.419 259.2697 283.8539 -0.2331719 -0.2678654
Moved 2685.45 272.9451 284 -0.201516 -0.2674897
Moved 2685.48 280.749 284 -0.1834515 -0.2674897
Moved 2685.511 286.1279 284 -0.1710002 -0.2674897
Moved 2685.542 289.0052 284 -0.1643397 -0.2674897
Ended 2685.573 289.0052 284 -0.1643397 -0.2674897
Accept 2685.665 0 noon
Began 2685.788 194 307 -0.3842593 -0.2083334
Stationary 2685.819 194 307 -0.3842593 -0.2083334
Stationary 2685.849 194 307 -0.3842593 -0.2083334
Moved 2685.88 228.7119 307 -0.3039077 -0.2083334
Moved 2685.911 265.0489 307 -0.2197943 -0.2083334
Moved 2685.941 304.4755 307 -0.128529 -0.2083334
Moved 2685.972 338.7068 307 -0.04928971 -0.2083334
Moved 2686.003 369.8991 307 0.02291451 -0.2083334
Moved 2686.034 402.0196 307 0.09726763 -0.2083334
Moved 2686.064 431.0488 307 0.1644649 -0.2083334
Moved 2686.095 451.5267 307 0.2118673 -0.2083334
Moved 2686.126 464.7051 307 0.2423729 -0.2083334
Moved 2686.156 477.2621 307 0.27144 -0.2083334
Moved 2686.187 484.8919 307 0.2891016 -0.2083334
Moved 2686.218 491.6335 307 0.3047072 -0.2083334
Moved 2686.249 495.6662 307 0.3140421 -0.2083334
Moved 2686.28 498.1872 307 0.3198777 -0.2083334
Ended 2686.31 498.1872 307 0.3198777 -0.2083334
PhraseEnd 2686.433
