I want to hold your hand
I want to hold your hand
FixStart
Radial

0.6 0.6
432 388.8
Began 560.9161 118 354 -0.5601852 -0.08744855
Stationary 560.9468 118 354 -0.5601852 -0.08744855
Moved 560.9775 161.6952 368.1086 -0.4590389 -0.05116105
Moved 561.0082 282.5133 413.8021 -0.1793674 0.0663634
Moved 561.039 386.3037 428.7032 0.06088823 0.1046893
Moved 561.0697 456.6348 433.8378 0.2236916 0.1178955
Moved 561.1004 559.538 449.3668 0.4618936 0.1578362
Moved 561.1311 606.9424 456.8942 0.571626 0.177197
Moved 561.1619 644.3797 462.3966 0.6582863 0.1913493
Moved 561.1926 670.9728 468.1351 0.7198445 0.2061086
Ended 561.2233 679.0416 469 0.7385224 0.2083333
Accept 561.2847 0 hands
Began 561.3461 709 493 0.8078703 0.2700616
Stationary 561.3768 709 493 0.8078703 0.2700616
Stationary 561.4076 709 493 0.8078703 0.2700616
Moved 561.4383 697.6844 493 0.781677 0.2700616
Moved 561.469 693.0108 493 0.7708583 0.2700616
Moved 561.4998 686.9232 493 0.7567666 0.2700616
Moved 561.5305 682.5413 493 0.7466235 0.2700616
Moved 561.5612 677.015 493 0.733831 0.2700616
Moved 561.5919 672.2752 493 0.7228593 0.2700616
Moved 561.6226 667.538 493 0.7118934 0.2700616
Moved 561.6533 661.791 493 0.6985903 0.2700616
Moved 561.684 655.6632 493 0.6844055 0.2700616
Moved 561.7147 647.0204 493 0.6643992 0.2700616
Moved 561.7455 633.6611 493 0.6334746 0.2700616
Moved 561.7762 618.5 493 0.5983797 0.2700616
Moved 561.8068 601.1805 493 0.5582883 0.2700616
Moved 561.8376 575.4451 493 0.4987155 0.2700616
Moved 561.8683 551.5518 481.9004 0.4434068 0.2415133
Moved 561.8986 522.2583 475.2516 0.3755978 0.2244126
Moved 561.9297 493.8205 467.6068 0.3097697 0.2047499
Moved 561.9604 460.0069 462.3345 0.2314975 0.1911894
Moved 561.9912 429.6013 460.8001 0.1611141 0.187243
Moved 562.0219 392.0729 461 0.07424284 0.1877571
Moved 562.0522 350.9986 461 -0.02083649 0.1877571
Moved 562.0834 308.0844 461 -0.1201749 0.1877571
Moved 562.114 268.0699 459 -0.2128012 0.1826131
Moved 562.1448 216.9254 450.2751 -0.3311911 0.1601725
Moved 562.1755 178.1768 442.5295 -0.4208871 0.1402506
Moved 562.2062 141.7435 432.5812 -0.5052234 0.1146634
Moved 562.2369 114.9008 417.145 -0.5673593 0.07496135
Moved 562.2676 98.20627 399.2578 -0.6060039 0.0289552
Moved 562.2983 94 389.4148 -0.6157407 0.003638797
Moved 562.3291 93 380.5 -0.6180555 -0.0192902
Moved 562.3598 90.73367 372.201 -0.6233017 -0.04063524
Moved 562.3905 86.62959 364.2592 -0.6328019 -0.06106192
Ended 562.4213 83 364 -0.6412038 -0.06172839
Delete 562.4827 LeftSwipe
Began 563.1584 355 377 -0.01157408 -0.02829226
Stationary 563.1891 355 377 -0.01157408 -0.02829226
Stationary 563.2198 355 377 -0.01157408 -0.02829226
Stationary 563.2505 355 377 -0.01157408 -0.02829226
Moved 563.2813 365.4877 377 0.01270294 -0.02829226
Moved 563.312 376.7781 377 0.03883819 -0.02829226
Moved 563.3428 387.2031 377 0.06297003 -0.02829226
Moved 563.3735 394.1447 377 0.07903854 -0.02829226
Moved 563.4042 400.891 377 0.09465495 -0.02829226
Moved 563.4349 405.3131 377 0.1048915 -0.02829226
Moved 563.4656 408.1833 377 0.1115353 -0.02829226
Moved 563.4964 410 369.4554 0.1157407 -0.0476969
Moved 563.527 411.5 370 0.119213 -0.04629637
Stationary 563.5578 411.5 370 0.119213 -0.04629637
Moved 563.5884 411 368.5 0.1180555 -0.0501544
Moved 563.6192 395.732 369 0.08271296 -0.04886839
Moved 563.6499 374.5157 369 0.03360122 -0.04886839
Moved 563.6806 346.0998 369 -0.03217647 -0.04886839
Moved 563.7113 312.3919 369 -0.110204 -0.04886839
Moved 563.7421 273.6069 381.0562 -0.1999841 -0.01785977
Moved 563.7728 241.9501 383.905 -0.2732635 -0.01053257
Moved 563.8035 222.5 385 -0.318287 -0.007716127
Moved 563.8342 210.0943 386 -0.3470039 -0.005144111
Moved 563.8649 200.3934 386 -0.3694596 -0.005144111
Moved 563.8956 198.5231 386 -0.3737891 -0.005144111
Stationary 563.9264 198.5231 386 -0.3737891 -0.005144111
Stationary 563.9571 199 386 -0.3726852 -0.005144111
Moved 563.9878 199 377.412 -0.3726852 -0.02723246
Moved 564.0185 227.3777 366.2346 -0.306996 -0.055981
Moved 564.0492 254.3981 351.5008 -0.2444488 -0.09387664
Moved 564.08 283.2884 338.7133 -0.1775731 -0.1267662
Moved 564.1107 319.7698 327.6685 -0.0931255 -0.1551736
