this is a very good idea
this is a very good idea
FixStart
Radial

0.6 0.6
432 388.8
Moved 370.711 543.7084 628.1458 0.4252508 0.6176589
Moved 370.7418 545.2853 626.7147 0.4289013 0.613978
Moved 370.7724 547.8346 625 0.4348023 0.6095678
Stationary 370.8032 548 625 0.4351853 0.6095678
Moved 370.834 542.4688 625 0.4223815 0.6095678
Moved 370.8647 529.6442 624 0.3926949 0.6069958
Moved 370.8954 512.0692 623.0115 0.3520121 0.6044534
Moved 370.9261 492.9168 617.262 0.3076778 0.5896654
Moved 370.9568 470.5516 610.0206 0.2559065 0.5710406
Moved 370.9875 444.5369 597.111 0.1956872 0.5378369
Moved 371.0183 418.3891 584.105 0.1351599 0.5043853
Moved 371.049 388.5089 564.6931 0.06599287 0.4544575
Moved 371.0797 366.4175 548.8131 0.01485527 0.4136138
Moved 371.1104 344.7102 532.1802 -0.03539313 0.3708337
Moved 371.1412 327.2829 518.9697 -0.07573401 0.3368562
Moved 371.1719 312.9129 509.5652 -0.1089979 0.3126676
Moved 371.2026 304.1236 501.8427 -0.1293436 0.2928051
Moved 371.2333 296.8123 495.8123 -0.1462679 0.2772948
Moved 371.2641 291.068 491.534 -0.1595649 0.2662911
Ended 371.2948 287 489 -0.1689815 0.2597736
Candidates 371.4175 13 strong stupid solid serious sold stood did would sox dogs stops fails dog
Began 372.4008 422 567 0.1435185 0.4603909
Stationary 372.4315 422 567 0.1435185 0.4603909
Moved 372.4623 404.7185 558.6783 0.1035151 0.4389873
Moved 372.4929 368.3682 545.4276 0.01937071 0.4049062
Moved 372.5237 339.5078 537.0476 -0.04743556 0.3833528
Moved 372.5544 314.2041 528.0681 -0.1060091 0.3602572
Ended 372.5851 264.5 502 -0.2210648 0.2932098
Cancel 372.6465
Began 373.3532 364 516 0.009259283 0.329218
Stationary 373.3839 364 516 0.009259283 0.329218
Moved 373.4146 370.7422 521.5164 0.02486626 0.3434062
Moved 373.4453 386.4756 535.4755 0.06128599 0.3793095
Moved 373.4761 408.628 550.4396 0.1125649 0.4177974
Moved 373.5068 433.5203 570.5888 0.1701857 0.4696213
Moved 373.5375 452.8234 586.0195 0.2148691 0.5093094
Moved 373.5682 466.5 599.5 0.2465278 0.5439814
Moved 373.5989 477.8649 611.0811 0.2728355 0.5737683
Moved 373.6296 485.1656 619.1656 0.2897353 0.5945618
Moved 373.6604 489.9494 624.8987 0.3008087 0.6093074
Moved 373.6911 493.3301 630.6603 0.3086345 0.6241261
Moved 373.7218 495.3277 635.6555 0.3132586 0.6369737
Moved 373.7525 495 637.2015 0.3125 0.6409501
Moved 373.7832 495 638 0.3125 0.643004
Moved 373.814 488.7732 638 0.2980862 0.643004
Moved 373.8447 475 638 0.2662037 0.643004
Moved 373.8754 457.3666 618.119 0.2253856 0.5918698
Moved 373.9062 437.8589 600.7028 0.1802289 0.5470749
Moved 373.9368 400.1049 566.1049 0.09283532 0.4580885
Moved 373.9676 377.5211 545.8008 0.04055808 0.4058661
Moved 373.9983 360.4576 532.4745 0.001059174 0.3715908
Moved 374.029 347.5826 522.6661 -0.02874395 0.3463633
Moved 374.0598 337.1341 515.0894 -0.05293027 0.326876
Moved 374.0905 328.5141 511.1714 -0.07288401 0.3167987
Moved 374.1212 323 508.5 -0.08564815 0.3099279
Moved 374.1519 316.5164 505.7582 -0.1006565 0.3028761
Moved 374.1826 311.7711 503.8855 -0.1116411 0.2980593
Moved 374.2133 308.0149 503 -0.1203359 0.2957818
Moved 374.2441 304.6393 501.6393 -0.1281499 0.292282
Moved 374.2748 303 500.634 -0.1319445 0.2896963
Moved 374.3055 299.7606 499.7606 -0.1394431 0.2874499
Moved 374.3363 298 498.8873 -0.1435185 0.2852038
Moved 374.3669 295.3376 499 -0.1496815 0.2854938
Moved 374.3977 293.9063 499 -0.1529948 0.2854938
Moved 374.4284 290.5876 499 -0.1606769 0.2854938
Moved 374.4591 289.0524 499 -0.1642306 0.2854938
Moved 374.4899 286.5 499 -0.1701389 0.2854938
Moved 374.5206 284.5 499 -0.1747685 0.2854938
Moved 374.5513 282.5 499 -0.1793981 0.2854938
Moved 374.582 283 499 -0.1782407 0.2854938
Moved 374.6128 283 507.9865 -0.1782407 0.308607
Ended 374.6435 283 508 -0.1782407 0.3086419
Candidates 374.7356 13 good high odd if is god goods his of off id odds food
Began 375.3501 350 541 -0.02314816 0.3935184
Stationary 375.3808 350 541 -0.02314816 0.3935184
Moved 375.4115 379.0884 541 0.04418601 0.3935184
Moved 375.4422 432.0537 546.4946 0.166791 0.4076507
Moved 375.4729 491.8611 550 0.305234 0.4166666
Ended 375.5037 556.6567 553.4049 0.4552238 0.4254241
Accept 375.5651 0 good
Began 376.0874 344 517 -0.03703703 0.33179
Moved 376.1181 355.6029 536.8178 -0.01017844 0.3827618
Moved 376.1488 377.326 564.8477 0.04010637 0.4548549
Moved 376.1795 405.6202 597.6202 0.1056024 0.5391466
Moved 376.2103 423.8385 614.2708 0.1477742 0.581972
Moved 376.241 436.7468 626.7468 0.1776547 0.6140606
Moved 376.2717 446.9435 634.9434 0.201258 0.6351424
Moved 376.3025 448.6274 636.6274 0.205156 0.6394736
Moved 376.3331 455.5713 642.2856 0.2212299 0.6540267
Moved 376.3638 460.3217 646.1608 0.2322262 0.6639937
Moved 376.3945 464.0357 651.0714 0.2408233 0.6766236
Moved 376.4252 468.1246 654.1246 0.2502883 0.6844768
Moved 376.456 473.8388 658.4194 0.2635158 0.695523
Moved 376.4867 478.6261 664.6261 0.2745975 0.7114867
Moved 376.5175 481.9039 667.9039 0.282185 0.7199173
Moved 376.5482 484.745 670 0.2887616 0.7253085
Moved 376.5789 485 672.5 0.2893518 0.7317386
Moved 376.6096 485 673 0.2893518 0.7330247
Moved 376.6404 477.7241 674 0.2725095 0.7355967
Moved 376.6711 462.6029 657.6029 0.2375067 0.6934231
Moved 376.7018 437.1384 633.9246 0.1785612 0.6325219
Moved 376.7325 408 601 0.1111111 0.5478393
Moved 376.7633 379.5331 571.5331 0.04521548 0.47205
Moved 376.7939 355.7817 545.7505 -0.009764483 0.4057369
Moved 376.8247 335.5509 527.459 -0.05659521 0.3586908
Moved 376.8554 323.2776 517.6221 -0.08500545 0.3333902
Moved 376.8862 310.3391 510.0034 -0.1149559 0.3137948
Moved 376.9169 302.4075 505.605 -0.1333159 0.3024821
Moved 376.9476 295.8497 500.9249 -0.148496 0.2904445
Moved 376.9782 290.8101 499 -0.1601619 0.2854938
Moved 377.0091 285.0619 496.5309 -0.1734678 0.2791433
Moved 377.0397 280.3126 495.6563 -0.1844616 0.2768938
Moved 377.0705 277.0627 496 -0.1919846 0.2777777
Moved 377.1011 274.2099 496 -0.1985882 0.2777777
Moved 377.1319 270.3393 496 -0.207548 0.2777777
Moved 377.1627 267.4699 496 -0.21419 0.2777777
Moved 377.1932 263.925 496 -0.2223959 0.2777777
Moved 377.2241 260.1054 496 -0.2312374 0.2777777
Moved 377.2548 256.368 505.632 -0.2398889 0.3025514
Moved 377.2856 253.5 510 -0.2465278 0.3137859
Moved 377.3163 253 519.7996 -0.2476852 0.3389906
Moved 377.347 253 530.3004 -0.2476852 0.3659988
Moved 377.3777 253 543.7897 -0.2476852 0.4006937
Moved 377.4084 261.3755 553.8775 -0.2282975 0.4266395
Moved 377.4391 268.7112 568.7781 -0.2113165 0.4649641
Moved 377.4698 272.2361 582.1804 -0.2031573 0.499435
Moved 377.5006 278.1367 600.41 -0.1894985 0.546322
Moved 377.5313 279.6244 606.4976 -0.1860546 0.5619794
Moved 377.562 280 612.9841 -0.1851852 0.5786627
Moved 377.5928 280 616.3683 -0.1851852 0.5873669
Moved 377.6235 280 618 -0.1851852 0.5915637
Moved 377.6542 269.3834 619 -0.2097606 0.5941358
Moved 377.6849 264.6363 619 -0.2207493 0.5941358
Moved 377.7157 259.4439 619 -0.2327687 0.5941358
Moved 377.7464 255.9104 619 -0.2409481 0.5941358
Moved 377.7771 252.0329 619 -0.2499239 0.5941358
Moved 377.8078 248.1607 609.3215 -0.2588872 0.5692424
Moved 377.8385 243 601.5 -0.2708333 0.5491254
Moved 377.8692 238.5776 592.1552 -0.2810705 0.5250903
Moved 377.9 233.9093 580.6373 -0.2918765 0.4954663
Moved 377.9307 229.0356 565.2139 -0.3031582 0.4557968
Moved 377.9614 226.4878 553.4148 -0.309056 0.4254495
Moved 377.9922 224.5955 539.9775 -0.3134363 0.3908885
Moved 378.0229 224 526.9612 -0.3148148 0.3574103
Moved 378.0536 224 516.475 -0.3148148 0.3304397
Moved 378.0843 224 510.0449 -0.3148148 0.3139013
Moved 378.1151 224 503.9527 -0.3148148 0.2982322
Moved 378.1458 224 499.2026 -0.3148148 0.2860149
Moved 378.1765 224 497.0236 -0.3148148 0.2804105
Moved 378.2072 224 494.5 -0.3148148 0.2739197
Ended 378.2379 224 494 -0.3148148 0.2726337
Candidates 378.3301 13 idea offers ideas guides offered posted gifts updated updates goddess guided pages is
Began 378.8831 308 532 -0.1203704 0.3703703
Stationary 378.9138 308 532 -0.1203704 0.3703703
Moved 378.9445 340.2083 532 -0.04581417 0.3703703
Moved 378.9752 403.0384 532 0.09962598 0.3703703
Moved 379.006 460.5032 532 0.2326463 0.3703703
Ended 379.0367 559.6528 543.7599 0.4621593 0.4006169
Accept 379.0981 0 idea
Began 379.5283 308 505 -0.1203704 0.3009258
Moved 379.559 324.011 505 -0.08330783 0.3009258
Moved 379.5898 401.5024 505 0.09607036 0.3009258
Moved 379.6204 515.0368 513.0565 0.3588814 0.3216472
Moved 379.6512 596.7255 516.6552 0.5479758 0.3309032
Moved 379.6819 659.8212 520.9801 0.6940305 0.3420269
Ended 379.7126 669 522 0.7152778 0.3446501
PhraseEnd 379.8354
