the bathroom is good for reading
the bathroom is good for reading
FixStart
List

0.6 0.6
432 388.8
Stationary 3876.249 369.7184 368 0.02249618 -0.05144041
Moved 3876.279 370 375.6075 0.02314816 -0.03187368
Moved 3876.31 380.1988 390.666 0.04675647 0.006856957
Moved 3876.341 399.069 409.1854 0.09043753 0.05448902
Moved 3876.371 422.5 427.5 0.144676 0.1015946
Moved 3876.402 446.6237 443.4158 0.200518 0.1425304
Moved 3876.433 469.6678 457.1674 0.2538605 0.1778995
Moved 3876.463 491.6978 467.3489 0.3048561 0.2040867
Moved 3876.494 512.2484 475.0828 0.3524269 0.2239784
Moved 3876.525 536.43 482.6075 0.4084028 0.243332
Moved 3876.555 558.5437 488.7039 0.459592 0.259012
Moved 3876.586 578.2867 493.3267 0.5052932 0.2709018
Moved 3876.617 592.8341 498.5336 0.5389678 0.2842942
Moved 3876.647 603.5573 501.5191 0.56379 0.2919729
Moved 3876.678 610.5694 503 0.5800217 0.2957818
Moved 3876.709 614.0521 505.0521 0.5880837 0.3010599
Moved 3876.74 616.4609 505 0.5936595 0.3009258
Moved 3876.771 618 505 0.5972223 0.3009258
Moved 3876.801 619 506 0.599537 0.3034978
Stationary 3876.832 619 506 0.599537 0.3034978
Moved 3876.863 608.1285 506 0.5743716 0.3034978
Moved 3876.893 589.3177 506 0.5308279 0.3034978
Moved 3876.924 548.7797 506 0.4369901 0.3034978
Moved 3876.955 536.5785 506 0.4087465 0.3034978
Moved 3876.985 506.665 506 0.3395023 0.3034978
Moved 3877.016 468.3105 510.0766 0.2507189 0.3139829
Moved 3877.047 455.836 511.4626 0.2218426 0.3175478
Moved 3877.078 432.6566 514.8687 0.1681867 0.3263082
Moved 3877.108 410.2238 517.6823 0.1162587 0.3335449
Moved 3877.139 392.4294 519 0.07506808 0.3369341
Moved 3877.17 373.2934 522.1766 0.03077169 0.3451044
Moved 3877.2 367.1492 523 0.01654913 0.3472221
Moved 3877.231 359.2705 524 -0.001688699 0.3497942
Moved 3877.262 353.8843 525 -0.01415675 0.3523662
Moved 3877.292 351.3598 525.6402 -0.02000044 0.3540128
Moved 3877.323 351 527.1438 -0.02083332 0.35788
Ended 3877.354 351 527.1438 -0.02083332 0.35788
Accept 3877.446 0 good
Candidates 3877.446 13 for super door support tour fit sport your sort or route it foot
Began 3877.907 454 377 0.2175926 -0.02829226
Stationary 3877.938 454 377 0.2175926 -0.02829226
Stationary 3877.968 454 377 0.2175926 -0.02829226
Stationary 3877.999 454 377 0.2175926 -0.02829226
Moved 3878.03 440.1169 404.6884 0.1854557 0.0429228
Moved 3878.06 429.8652 430.1161 0.161725 0.1083231
Moved 3878.091 421.6013 452.7298 0.1425957 0.166486
Moved 3878.122 413.3434 474.7509 0.1234802 0.2231247
Moved 3878.152 406.1005 494.4322 0.1067141 0.2737453
Moved 3878.183 399.2096 510.976 0.09076297 0.3162963
Moved 3878.214 393.8557 520.4328 0.07836968 0.3406193
Moved 3878.244 389.0847 528.7457 0.06732583 0.3620002
Moved 3878.275 385.2101 533.7899 0.05835682 0.3749738
Moved 3878.306 382.8503 538.1497 0.05289425 0.3861875
Moved 3878.337 380.1069 540.8931 0.04654368 0.3932436
Moved 3878.367 378.5 542 0.04282405 0.3960905
Moved 3878.398 375.9377 544.0623 0.03689289 0.4013947
Moved 3878.429 372.3834 544 0.02866517 0.4012345
Moved 3878.459 367.3411 544 0.01699319 0.4012345
Moved 3878.49 360.1375 544 0.0003183882 0.4012345
Moved 3878.521 349.8982 538.3951 -0.02338379 0.3868187
Moved 3878.552 340.6463 529.6463 -0.04480024 0.3643165
Moved 3878.582 332.616 522.424 -0.06338889 0.3457407
Moved 3878.613 324.1193 513.4924 -0.08305719 0.3227685
Moved 3878.644 317.218 501.436 -0.09903241 0.2917591
Moved 3878.674 308.5635 487.127 -0.1190659 0.2549562
Moved 3878.705 298.5396 467.9713 -0.1422694 0.2056874
Moved 3878.736 287.8073 450.9127 -0.1671128 0.1618124
Moved 3878.767 275.7538 431.5692 -0.1950143 0.1120607
Moved 3878.797 261.4619 409.1031 -0.2280975 0.05427745
Moved 3878.828 259 404 -0.2337963 0.04115226
Moved 3878.859 252.9664 395.9328 -0.2477629 0.02040325
Moved 3878.889 250 391.2224 -0.2546296 0.008287822
Moved 3878.92 248.4624 388.4625 -0.2581888 0.001189385
Moved 3878.951 248 387.0168 -0.2592593 -0.002528807
Moved 3878.981 248 385.6389 -0.2592593 -0.006072786
Moved 3879.012 253.0757 384 -0.24751 -0.01028807
Moved 3879.043 271.8607 381.7342 -0.2040262 -0.01611576
Moved 3879.073 291.2903 380 -0.1590503 -0.02057613
Moved 3879.104 309.5142 379 -0.1168652 -0.02314815
Moved 3879.135 327.9576 378 -0.07417212 -0.02572024
Moved 3879.166 342.5205 378 -0.04046177 -0.02572024
Moved 3879.197 351.3552 378 -0.02001122 -0.02572024
Moved 3879.227 357.1879 378 -0.006509522 -0.02572024
Moved 3879.258 362.7213 378 0.006299218 -0.02572024
Moved 3879.289 368 378 0.01851857 -0.02572024
Moved 3879.319 378.1822 390.1093 0.04208833 0.00542519
Moved 3879.35 390.9157 400.1326 0.07156422 0.03120532
Moved 3879.381 405.6814 410.6088 0.1057439 0.05815019
Moved 3879.411 419.9871 420.9914 0.1388591 0.08485436
Moved 3879.442 433.8186 433.0549 0.1708764 0.1158819
Moved 3879.473 443.5861 442.5861 0.1934864 0.1403964
Moved 3879.503 451.8837 450.8837 0.2126937 0.1617377
Moved 3879.534 459.9344 459.9344 0.2313297 0.1850165
Moved 3879.565 470.9531 469.4648 0.2568358 0.2095287
Moved 3879.596 484.0243 483.0243 0.2870932 0.244404
Moved 3879.626 501.1017 498.0847 0.3266242 0.2831396
Moved 3879.657 514.5718 508.7145 0.357805 0.3104796
Moved 3879.688 531.2078 519.6902 0.3963142 0.3387092
Moved 3879.719 545.6208 527.7725 0.4296778 0.359497
Moved 3879.749 556 533 0.4537037 0.3729423
Moved 3879.78 564.4019 536.134 0.4731524 0.3810029
Moved 3879.811 569.8987 538 0.4858767 0.3858024
Moved 3879.841 573.6578 539 0.4945782 0.3883744
Moved 3879.872 575.04 540.04 0.4977778 0.3910492
Moved 3879.903 576.1954 540 0.5004522 0.3909464
Moved 3879.933 577.0801 540 0.5025003 0.3909464
Stationary 3879.964 577 540 0.5023147 0.3909464
Stationary 3879.995 577 540 0.5023147 0.3909464
Moved 3880.026 577 526.616 0.5023147 0.3565226
Moved 3880.056 577 515.5601 0.5023147 0.3280865
Moved 3880.087 566.7809 502.5618 0.4786595 0.2946546
Moved 3880.118 562.3389 484.4629 0.468377 0.2481041
Moved 3880.148 556.3614 459.807 0.4545403 0.1846887
Moved 3880.179 549.7826 438.2754 0.4393116 0.129309
Moved 3880.21 543.5 412.5 0.4247685 0.06301432
Moved 3880.24 536.2794 383.3578 0.4080542 -0.01193977
Moved 3880.271 529.9882 354.9408 0.3934911 -0.08502889
Moved 3880.302 520.9686 318.6321 0.3726124 -0.1784153
Moved 3880.333 516.679 293.395 0.3626829 -0.2433257
Moved 3880.363 512.0309 262.2784 0.3519235 -0.3233579
Moved 3880.394 510 242.6921 0.3472221 -0.3737343
Moved 3880.425 508.532 231.1281 0.3438241 -0.4034773
Moved 3880.455 509 224.3667 0.3449074 -0.4208676
Moved 3880.486 508.3683 219.7367 0.3434451 -0.4327759
Moved 3880.517 508 216.6029 0.3425926 -0.4408362
Moved 3880.548 508 213.8403 0.3425926 -0.4479416
Moved 3880.578 508 212.8107 0.3425926 -0.4505899
Moved 3880.609 508 210.5 0.3425926 -0.456533
Moved 3880.64 506.9696 211 0.3402075 -0.455247
Moved 3880.67 502.0368 211 0.3287888 -0.455247
Moved 3880.701 490.7517 238.4967 0.3026659 -0.384525
Moved 3880.732 478.6754 269.844 0.2747115 -0.3038993
Moved 3880.762 469.5161 296.4515 0.2535096 -0.2354642
Moved 3880.793 461.4655 322.1381 0.2348738 -0.1693978
Moved 3880.824 453.9926 347.0295 0.2175755 -0.1053768
