the union will go on strike
the union will go on strike
FixStart
Radial

0.6 0.6
432 388.8
Moved 2333.302 384.2307 381.0383 0.05608946 -0.01790561
Moved 2333.333 389.7725 387.9656 0.06891787 -8.84994E-05
Moved 2333.364 394.0498 395.0995 0.0788189 0.01826015
Moved 2333.395 396.9211 397.9211 0.08546561 0.02551726
Moved 2333.426 398 399.6145 0.08796295 0.02987257
Ended 2333.456 398 400.5 0.08796295 0.03215016
Accept 2333.518 1 go
Began 2333.825 365 233 0.01157403 -0.3986626
Stationary 2333.855 365 233 0.01157403 -0.3986626
Stationary 2333.886 365 233 0.01157403 -0.3986626
Stationary 2333.917 365 233 0.01157403 -0.3986626
Stationary 2333.948 365 233 0.01157403 -0.3986626
Stationary 2333.979 365 233 0.01157403 -0.3986626
Moved 2334.009 373.3896 242.4384 0.03099452 -0.374387
Moved 2334.04 377.6504 246.6504 0.04085729 -0.3635535
Moved 2334.071 385.7728 258.1592 0.05965928 -0.3339525
Moved 2334.101 397.8787 278.6059 0.0876822 -0.2813635
Moved 2334.132 411.2219 301.9994 0.1185691 -0.221195
Moved 2334.163 424.9191 323.8651 0.1502756 -0.164956
Moved 2334.194 436.4541 343.0447 0.1769771 -0.1156257
Moved 2334.224 445.1994 356.6656 0.1972207 -0.08059254
Moved 2334.255 452.5548 366.7398 0.2142473 -0.05468164
Moved 2334.286 463.3427 381.5712 0.2392193 -0.01653514
Moved 2334.316 472.9854 392.9756 0.2615402 0.01279717
Moved 2334.347 480.5787 399.7192 0.2791174 0.03014184
Moved 2334.378 486.3145 404.8763 0.2923948 0.04340615
Moved 2334.409 488 407.2928 0.2962963 0.04962128
Moved 2334.439 490.078 407 0.3011064 0.04886827
Moved 2334.47 490 394.5947 0.300926 0.01696151
Moved 2334.501 446.5394 272.0676 0.2003228 -0.29818
Moved 2334.531 426.1104 207.2179 0.1530334 -0.4649745
Moved 2334.562 423.6956 180.9562 0.1474435 -0.53252
Moved 2334.593 422 155.641 0.1435185 -0.5976313
Moved 2334.624 421 136.2571 0.1412037 -0.6474868
Moved 2334.655 421 125.3586 0.1412037 -0.6755179
Moved 2334.685 421 117.1583 0.1412037 -0.6966093
Moved 2334.716 421 111.067 0.1412037 -0.7122763
Moved 2334.747 421 108.156 0.1412037 -0.7197634
Moved 2334.777 421 105.2933 0.1412037 -0.7271262
