where can my little dog be
where can my little dog be
Basic
Radial

0.6 0.6
432 388.8
Moved 1610.334 424.028 483 0.148213 0.2443414
Moved 1610.365 441.3353 475.1329 0.1882761 0.2241073
Moved 1610.396 450.2055 474 0.2088091 0.2211934
Moved 1610.426 456 473 0.2222222 0.2186213
Moved 1610.457 459.1485 472 0.2295105 0.2160493
Moved 1610.488 462.0222 470.9777 0.2361626 0.2134199
Moved 1610.518 463.374 471 0.2392916 0.2134772
Moved 1610.549 464.1646 471 0.2411218 0.2134772
Moved 1610.58 465 470 0.2430555 0.2109053
Ended 1610.61 466 470 0.2453704 0.2109053
Accept 1610.672 0 little
Began 1611.133 272 409 -0.2037037 0.05401234
Stationary 1611.163 272 409 -0.2037037 0.05401234
Stationary 1611.194 272 409 -0.2037037 0.05401234
Stationary 1611.225 272 409 -0.2037037 0.05401234
Stationary 1611.255 272 409 -0.2037037 0.05401234
Stationary 1611.286 272 409 -0.2037037 0.05401234
Stationary 1611.317 272 409 -0.2037037 0.05401234
Stationary 1611.348 272 409 -0.2037037 0.05401234
Stationary 1611.378 272 409 -0.2037037 0.05401234
Stationary 1611.409 272 409 -0.2037037 0.05401234
Stationary 1611.44 272 409 -0.2037037 0.05401234
Stationary 1611.47 272 409 -0.2037037 0.05401234
Stationary 1611.501 272 409 -0.2037037 0.05401234
Moved 1611.532 318.7905 431.9022 -0.09539236 0.1129172
Moved 1611.563 362.3396 452.6698 0.005415678 0.1663317
Moved 1611.593 405.8819 469.4289 0.1062081 0.2094364
Moved 1611.624 432.6696 479.0678 0.1682165 0.2342278
Moved 1611.655 451.8432 484.6695 0.2126 0.2486354
Moved 1611.685 473.5144 491.2899 0.2627648 0.2656632
Moved 1611.716 489.5866 496.5173 0.299969 0.2791083
Moved 1611.747 497.7851 498 0.3189469 0.2829217
Moved 1611.777 500.9381 499 0.3262456 0.2854938
Moved 1611.808 503.8118 500 0.3328977 0.2880658
Moved 1611.839 505 500.6857 0.3356481 0.2898293
Moved 1611.87 506.1217 501 0.3382446 0.2906378
Moved 1611.9 507.2233 501 0.3407946 0.2906378
Stationary 1611.931 507 501 0.3402778 0.2906378
Stationary 1611.962 507 501 0.3402778 0.2906378
Stationary 1611.993 507 501 0.3402778 0.2906378
Moved 1612.023 491.6671 488.9337 0.3047849 0.2596029
Moved 1612.054 460.4002 464.6911 0.232408 0.1972506
Moved 1612.085 433.8618 441.8963 0.1709763 0.138622
Moved 1612.115 414.1214 424.1215 0.1252811 0.09290495
Moved 1612.146 397.8446 408.2756 0.08760313 0.05214923
Moved 1612.177 388.0556 398.0557 0.06494363 0.02586325
Moved 1612.208 380.2694 391.2695 0.04691998 0.008409013
Moved 1612.238 371.949 384.6326 0.02765964 -0.008660971
Moved 1612.269 365.8848 378.8848 0.01362215 -0.02344453
Moved 1612.3 360.1409 374.1409 0.0003260374 -0.03564599
Moved 1612.33 356.0293 372.0293 -0.009191384 -0.04107691
Moved 1612.361 353.1568 370 -0.01584068 -0.04629637
Moved 1612.392 350.2844 368 -0.02248977 -0.05144041
Moved 1612.422 348.7039 366.7039 -0.02614846 -0.05477403
Moved 1612.453 348 365.8926 -0.0277778 -0.05686081
Moved 1612.484 347 365.0168 -0.0300926 -0.05911305
Ended 1612.515 347 365 -0.0300926 -0.05915646
Candidates 1612.637 13 dog did dogs dig food fig sold doug dod doc sigh south should
Began 1613.129 447 414 0.2013889 0.06687239
Stationary 1613.16 447 414 0.2013889 0.06687239
Moved 1613.19 496.1535 414 0.3151702 0.06687239
Moved 1613.221 530.7972 414 0.395364 0.06687239
Moved 1613.252 558.2152 414 0.4588315 0.06687239
Moved 1613.282 572.4697 414 0.4918279 0.06687239
Moved 1613.313 580.974 414 0.5115138 0.06687239
Moved 1613.344 586.9902 414 0.5254402 0.06687239
Moved 1613.375 590.8687 414 0.5344182 0.06687239
Moved 1613.405 593.7401 414 0.541065 0.06687239
Moved 1613.436 595.1776 414 0.5443926 0.06687239
Ended 1613.467 596.3134 414 0.5470216 0.06687239
Accept 1613.497 0 dog
Began 1613.866 400 261 0.09259263 -0.3266461
Stationary 1613.897 400 261 0.09259263 -0.3266461
Stationary 1613.927 400 261 0.09259263 -0.3266461
Stationary 1613.958 400 261 0.09259263 -0.3266461
Stationary 1613.989 400 261 0.09259263 -0.3266461
Stationary 1614.02 400 261 0.09259263 -0.3266461
Stationary 1614.05 400 261 0.09259263 -0.3266461
Stationary 1614.081 400 261 0.09259263 -0.3266461
Stationary 1614.112 400 261 0.09259263 -0.3266461
Stationary 1614.142 400 261 0.09259263 -0.3266461
Stationary 1614.173 400 261 0.09259263 -0.3266461
Stationary 1614.204 400 261 0.09259263 -0.3266461
Stationary 1614.234 400 261 0.09259263 -0.3266461
Stationary 1614.265 400 261 0.09259263 -0.3266461
