a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Ended 1223.217 353 556.5 -0.01620372 0.4333847
Candidates 1223.332 12 way water wary war eat waste east rate west rat ear easy
Began 1224.01 351 533 -0.02083332 0.3729423
Stationary 1224.029 351 533 -0.02083332 0.3729423
Moved 1224.042 351 547.5011 -0.02083332 0.4102393
Moved 1224.058 351 575.6174 -0.02083332 0.4825551
Moved 1224.074 365.0806 614.4937 0.01176059 0.5825452
Moved 1224.09 383.5 670.5 0.05439818 0.7265946
Moved 1224.11 414.3224 736.5093 0.1257463 0.8963715
Ended 1224.123 425 760 0.150463 0.95679
Accept 1224.178 0 way
Began 1224.534 306 593 -0.125 0.5272633
Stationary 1224.554 306 593 -0.125 0.5272633
Stationary 1224.566 306 593 -0.125 0.5272633
Stationary 1224.581 306 593 -0.125 0.5272633
Stationary 1224.596 306 593 -0.125 0.5272633
Stationary 1224.613 306 593 -0.125 0.5272633
Stationary 1224.628 306 593 -0.125 0.5272633
Moved 1224.644 328.6752 604.4077 -0.07251109 0.5566039
Moved 1224.659 342.6501 607.1231 -0.04016191 0.5635881
Moved 1224.675 374.4184 611.623 0.03337602 0.5751619
Moved 1224.691 407.9392 613.2474 0.1109703 0.57934
Moved 1224.705 449.6217 613 0.2074578 0.5787036
Moved 1224.721 491.488 601.7972 0.3043703 0.54989
Moved 1224.737 521.9119 601 0.3747959 0.5478393
Moved 1224.759 551.5486 601 0.4433995 0.5478393
Stationary 1224.769 551.5486 601 0.4433995 0.5478393
Ended 1224.782 574.9481 601 0.497565 0.5478393
Candidates 1224.841 12 top to tip rip rp tp ttp too trip tripp ep rio
Began 1225.611 443 526 0.1921296 0.3549381
Stationary 1225.632 443 526 0.1921296 0.3549381
Moved 1225.646 416.0985 526 0.1298576 0.3549381
Moved 1225.662 394.5523 526 0.07998208 0.3549381
Moved 1225.677 367.6495 526 0.01770715 0.3549381
Moved 1225.693 345.3958 526 -0.03380612 0.3549381
Moved 1225.708 319.2397 526 -0.09435266 0.3549381
Ended 1225.724 312 526 -0.1111111 0.3549381
Accept 1225.751 1 to
Began 1226.444 330 469 -0.06944443 0.2083333
Stationary 1226.466 330 469 -0.06944443 0.2083333
Stationary 1226.477 330 469 -0.06944443 0.2083333
Stationary 1226.493 330 469 -0.06944443 0.2083333
Stationary 1226.51 330 469 -0.06944443 0.2083333
Stationary 1226.524 330 469 -0.06944443 0.2083333
Stationary 1226.538 330 469 -0.06944443 0.2083333
Stationary 1226.556 330 469 -0.06944443 0.2083333
Stationary 1226.572 330 469 -0.06944443 0.2083333
Stationary 1226.586 330 469 -0.06944443 0.2083333
Stationary 1226.613 330 469 -0.06944443 0.2083333
Stationary 1226.626 330 469 -0.06944443 0.2083333
Stationary 1226.637 330 469 -0.06944443 0.2083333
Stationary 1226.649 330 469 -0.06944443 0.2083333
Stationary 1226.665 330 469 -0.06944443 0.2083333
Moved 1226.679 330 478.0159 -0.06944443 0.2315224
Moved 1226.695 330 480.9154 -0.06944443 0.2389799
Moved 1226.711 330 487.6777 -0.06944443 0.2563727
Moved 1226.726 330 494.6736 -0.06944443 0.2743661
Moved 1226.741 330 502.3974 -0.06944443 0.2942319
Moved 1226.756 330 508.8199 -0.06944443 0.3107508
Moved 1226.772 330 515.5 -0.06944443 0.327932
Moved 1226.788 330 525.348 -0.06944443 0.3532612
Moved 1226.803 330 533.014 -0.06944443 0.3729784
Moved 1226.817 330 539.2075 -0.06944443 0.388908
Moved 1226.832 330 543.1606 -0.06944443 0.3990754
Moved 1226.849 330 548.5574 -0.06944443 0.4129562
Moved 1226.864 330 552.8655 -0.06944443 0.4240366
Moved 1226.879 330 555.7953 -0.06944443 0.4315722
Moved 1226.895 330 559.043 -0.06944443 0.4399254
Moved 1226.91 330 561.8467 -0.06944443 0.4471365
Moved 1226.925 330 564.7247 -0.06944443 0.4545388
Moved 1226.941 330 565.7988 -0.06944443 0.4573013
Moved 1226.963 330 570.3306 -0.06944443 0.4689572
Stationary 1226.974 330 570.3306 -0.06944443 0.4689572
Moved 1226.986 330 572.1063 -0.06944443 0.4735242
Moved 1227.002 330 573.189 -0.06944443 0.4763091
Moved 1227.018 330 574.5 -0.06944443 0.479681
Moved 1227.033 330 575.0601 -0.06944443 0.4811214
Stationary 1227.049 330 575.0601 -0.06944443 0.4811214
Moved 1227.063 330 576.9976 -0.06944443 0.4861048
Moved 1227.079 330 577.5 -0.06944443 0.487397
Stationary 1227.094 330 577.5 -0.06944443 0.487397
Moved 1227.11 330 578 -0.06944443 0.488683
Stationary 1227.126 330 578 -0.06944443 0.488683
Stationary 1227.141 330 578 -0.06944443 0.488683
Moved 1227.156 330 579 -0.06944443 0.4912551
Stationary 1227.172 330 579 -0.06944443 0.4912551
Stationary 1227.188 330 579 -0.06944443 0.4912551
Stationary 1227.202 330 579 -0.06944443 0.4912551
Moved 1227.218 330 579.7634 -0.06944443 0.4932185
Moved 1227.234 330 580.5 -0.06944443 0.4951131
Moved 1227.251 330 580 -0.06944443 0.4938271
Stationary 1227.264 330 580 -0.06944443 0.4938271
Stationary 1227.281 330 580 -0.06944443 0.4938271
Stationary 1227.301 330 580 -0.06944443 0.4938271
Stationary 1227.312 330 580 -0.06944443 0.4938271
Stationary 1227.325 330 580 -0.06944443 0.4938271
Stationary 1227.341 330 580 -0.06944443 0.4938271
Stationary 1227.357 330 580 -0.06944443 0.4938271
Stationary 1227.373 330 580 -0.06944443 0.4938271
Stationary 1227.388 330 580 -0.06944443 0.4938271
Stationary 1227.403 330 580 -0.06944443 0.4938271
Stationary 1227.419 330 580 -0.06944443 0.4938271
Moved 1227.434 322.1421 580 -0.08763397 0.4938271
Moved 1227.451 321.4236 572.4235 -0.08929735 0.4743402
Moved 1227.465 319.9824 568.9472 -0.09263337 0.4653991
Moved 1227.48 317.0955 566.0955 -0.09931594 0.4580645
Moved 1227.496 314.2156 561.3234 -0.1059825 0.4457904
Moved 1227.513 311.338 557.0069 -0.1126436 0.4346885
Moved 1227.527 306.6909 551.9212 -0.1234007 0.4216079
Moved 1227.542 302.3849 546.1799 -0.1333682 0.4068412
Moved 1227.558 297.9592 539.4388 -0.143613 0.3895029
Moved 1227.574 291.8577 533.8577 -0.1577368 0.3751482
Moved 1227.59 286.0838 528.0838 -0.1711024 0.3602977
Moved 1227.604 280.3389 520.6737 -0.1844006 0.3412389
Moved 1227.624 274.6003 514.6003 -0.1976844 0.3256181
Moved 1227.636 270.3746 509.8328 -0.2074661 0.313356
Moved 1227.65 267.0388 505.0582 -0.2151879 0.3010756
Moved 1227.665 263.8067 501.8066 -0.2226697 0.2927125
Moved 1227.682 259.9535 495.907 -0.2315891 0.2775385
Moved 1227.698 254.9369 488.9211 -0.2432017 0.2595706
Moved 1227.713 250.6577 480.3153 -0.2531073 0.2374364
Moved 1227.727 244.4627 466.1569 -0.2674474 0.2010206
Moved 1227.744 241.3664 454.4655 -0.2746148 0.1709504
Moved 1227.759 237.4801 441.9205 -0.2836108 0.1386843
Moved 1227.774 233.5041 429.5123 -0.2928145 0.1067703
Moved 1227.789 230.4873 416.6927 -0.299798 0.07379811
Moved 1227.806 228.6125 402.7561 -0.3041378 0.03795294
Moved 1227.82 226.8735 394.3677 -0.3081631 0.01637773
Moved 1227.836 225.43 384.5799 -0.3115047 -0.008796644
Moved 1227.852 225 374.9297 -0.3125 -0.03361698
Moved 1227.865 223.5582 353.3726 -0.3158376 -0.08906227
Ended 1227.881 223.5582 353.3726 -0.3158376 -0.08906227
