the postal service is very slow
the postal service is very show
Basic
0.6 0.6
432 388.8
Moved 3613.346 257 512.2902 -0.2384259 0.3196764
Moved 3613.361 255.7377 513.2623 -0.2413479 0.3221765
Stationary 3613.378 255.7377 513.2623 -0.2413479 0.3221765
Moved 3613.391 256 515.2306 -0.2407407 0.3272391
Moved 3613.407 255 515.67 -0.2430556 0.3283694
Moved 3613.424 255 517.1025 -0.2430556 0.3320536
Moved 3613.439 255 517.5403 -0.2430556 0.3331797
Moved 3613.453 255 518.9722 -0.2430556 0.3368625
Moved 3613.469 255 519.5 -0.2430556 0.3382201
Moved 3613.485 266.6169 520 -0.2161646 0.3395061
Moved 3613.5 273.8173 520 -0.199497 0.3395061
Moved 3613.515 281.0108 520 -0.1828453 0.3395061
Moved 3613.533 287.3638 520 -0.1681393 0.3395061
Moved 3613.546 293.1043 520 -0.1548511 0.3395061
Moved 3613.561 297.1554 520 -0.1454737 0.3395061
Moved 3613.577 301.4204 520 -0.135601 0.3395061
Moved 3613.592 304.4783 520 -0.1285225 0.3395061
Moved 3613.608 307.3628 520 -0.1218454 0.3395061
Moved 3613.624 310.2339 520 -0.1151992 0.3395061
Moved 3613.639 311.5561 520 -0.1121387 0.3395061
Moved 3613.654 312 513.0162 -0.1111111 0.3215435
Moved 3613.669 313.4323 513 -0.1077957 0.321502
Stationary 3613.689 313.4323 513 -0.1077957 0.321502
Moved 3613.7 314.3249 513 -0.1057295 0.321502
Moved 3613.716 315.2253 513 -0.1036451 0.321502
Moved 3613.731 315 512 -0.1041667 0.31893
Moved 3613.747 316.3281 512 -0.1010924 0.31893
Stationary 3613.762 316 512 -0.1018519 0.31893
Moved 3613.78 317.1028 510.8972 -0.0992991 0.3160936
Stationary 3613.793 317.1028 510.8972 -0.0992991 0.3160936
Stationary 3613.81 317.1028 510.8972 -0.0992991 0.3160936
Moved 3613.824 318.0428 511 -0.09712304 0.3163579
Moved 3613.839 318 510.3727 -0.09722222 0.3147446
Moved 3613.855 319.066 510 -0.09475459 0.3137859
Moved 3613.871 322.6501 510 -0.08645798 0.3137859
Moved 3613.886 328.936 509.0128 -0.07190739 0.3112469
Moved 3613.901 338.9336 509 -0.04876489 0.3112139
Moved 3613.917 345.4815 509 -0.03360768 0.3112139
Moved 3613.932 356.5953 509 -0.007881324 0.3112139
Moved 3613.948 365.1747 509 0.01197835 0.3112139
Moved 3613.964 371.1853 509 0.02589186 0.3112139
Moved 3613.979 375.6965 509 0.03633459 0.3112139
Moved 3613.994 379.3362 509 0.04475981 0.3112139
Moved 3614.01 382.2079 509 0.05140731 0.3112139
Moved 3614.025 384.3198 509 0.0562958 0.3112139
Ended 3614.039 387 509 0.06250004 0.3112139
Candidates 3614.177 12 get very hey feet ferry grey better betty dry jerry beth ft
Began 3614.853 374 423 0.03240744 0.09002049
Stationary 3614.866 374 423 0.03240744 0.09002049
Stationary 3614.876 374 423 0.03240744 0.09002049
