this is a very good idea
this is a very good idea
Basic
0.6 0.6
432 388.8
Moved 667.3058 353.3631 404.5119 -0.01536315 0.04246888
Moved 667.3212 344.4313 396.6056 -0.0360387 0.02213372
Moved 667.3365 328.575 384.9312 -0.07274314 -0.007893009
Moved 667.3519 319.2983 377.4152 -0.09421687 -0.0272243
Moved 667.3676 313.2173 373.8869 -0.1082933 -0.0362992
Moved 667.3821 308.0045 371.003 -0.1203601 -0.04371667
Moved 667.3978 303.6734 368.1156 -0.1303856 -0.051143
Moved 667.4136 299.3521 366.1174 -0.1403886 -0.05628256
Moved 667.4294 296.9665 364.9833 -0.1459109 -0.05919939
Moved 667.4444 294.0722 363.5361 -0.1526106 -0.06292146
Moved 667.46 292.0938 363.0938 -0.1571903 -0.06405921
Moved 667.4756 290.6521 363 -0.1605275 -0.06430049
Moved 667.4904 289.21 363 -0.1638657 -0.06430049
Moved 667.506 288.5 363 -0.1655093 -0.06430049
Moved 667.5211 288 363 -0.1666667 -0.06430049
Moved 667.5428 284.5509 382.2454 -0.1746506 -0.01480102
Stationary 667.5534 284.5509 382.2454 -0.1746506 -0.01480102
Moved 667.5668 282.6626 397.0184 -0.1790217 0.02319532
Moved 667.5822 279.7904 414.3625 -0.1856704 0.06780487
Moved 667.5978 275.8873 433.5633 -0.1947053 0.1171895
Moved 667.6127 272.0236 449.9055 -0.203649 0.1592219
Moved 667.6293 267.6977 467.2092 -0.2136627 0.2037272
Moved 667.6435 266.0955 476.0787 -0.2173715 0.2265398
Moved 667.6596 263.1063 488.4688 -0.224291 0.2584071
Moved 667.6759 260.2146 498.7488 -0.2309846 0.2848478
Moved 667.691 259.5 503.5 -0.2326389 0.2970678
Moved 667.7056 258.943 505.2278 -0.2339282 0.3015119
Stationary 667.722 258.943 505.2278 -0.2339282 0.3015119
Moved 667.7372 258 508.9478 -0.2361111 0.3110797
Moved 667.7525 256.5 510.5 -0.2395834 0.3150719
Moved 667.7678 256.2892 511 -0.2400713 0.3163579
Moved 667.7827 254.8423 511 -0.2434207 0.3163579
Moved 667.7988 252.8092 511 -0.2481269 0.3163579
Moved 667.8138 246.8209 502.7134 -0.2619886 0.2950448
Moved 667.8364 227.5415 479.7736 -0.306617 0.236043
Stationary 667.8467 227.5415 479.7736 -0.306617 0.236043
Moved 667.8599 217.447 463.9882 -0.3299837 0.1954429
Moved 667.8751 208.3473 451.0644 -0.3510479 0.1622025
Moved 667.8906 199.486 436.7776 -0.3715602 0.1254569
Moved 667.9059 190.9299 423.8949 -0.3913659 0.09232215
Moved 667.9218 186.6453 415.2906 -0.4012841 0.07019185
Moved 667.9374 182.3729 407.9548 -0.4111739 0.051324
Moved 667.9531 179.3488 403.0464 -0.4181741 0.03869967
Moved 667.9673 176.8135 398.7202 -0.4240429 0.02757249
Moved 667.9824 175.8216 396.6432 -0.4263389 0.02223034
Ended 667.9984 175 395 -0.4282407 0.01800408
Candidates 668.1345 12 idea ideas offers offered possess poses opposed posed posted pissed passes posts
Began 668.6429 391 331 0.07175922 -0.146605
Stationary 668.6622 391 331 0.07175922 -0.146605
Stationary 668.6763 391 331 0.07175922 -0.146605
Moved 668.6915 391 350.4711 0.07175922 -0.09652494
Moved 668.7073 391 367.1437 0.07175922 -0.05364265
Moved 668.7289 391 423.3703 0.07175922 0.09097287
Stationary 668.7401 391 423.3703 0.07175922 0.09097287
Moved 668.7531 391 440.2994 0.07175922 0.1345148
Moved 668.7686 391 458.3091 0.07175922 0.1808362
Moved 668.7853 391 475.5712 0.07175922 0.2252345
Moved 668.7993 391 479.7354 0.07175922 0.2359447
Ended 668.814 391 481.5 0.07175922 0.2404835
Accept 668.8743 0 idea
PhraseEnd 669.6442
