if you were not so stupid
if you were not so stupid
Basic
0.6 0.6
432 388.8
Moved 430.5238 349.0186 525 -0.02541989 0.3523662
Moved 430.5397 349.5 525 -0.02430553 0.3523662
Moved 430.5544 351 525 -0.02083332 0.3523662
Moved 430.57 352.2874 525 -0.01785328 0.3523662
Moved 430.5864 353 525 -0.01620372 0.3523662
Stationary 430.6011 353 525 -0.01620372 0.3523662
Stationary 430.6166 353 525 -0.01620372 0.3523662
Stationary 430.6322 353 525 -0.01620372 0.3523662
Stationary 430.6469 353 525 -0.01620372 0.3523662
Stationary 430.6613 353 525 -0.01620372 0.3523662
Moved 430.6775 344.8959 525 -0.03496309 0.3523662
Moved 430.6947 340.5414 525 -0.04504318 0.3523662
Moved 430.7091 333.3831 525 -0.06161322 0.3523662
Moved 430.7245 327.5508 525 -0.07511391 0.3523662
Moved 430.7403 318.9805 527.6078 -0.09495253 0.3590735
Moved 430.7557 313.0435 529.2391 -0.1086957 0.3632692
Moved 430.7769 298.1657 531.7668 -0.1431348 0.3697706
Moved 430.7932 290.9547 534.4181 -0.159827 0.3765897
Stationary 430.8029 290.9547 534.4181 -0.159827 0.3765897
Moved 430.8151 284.3998 535.65 -0.1750004 0.3797582
Moved 430.8331 278.6572 536 -0.1882936 0.3806583
Moved 430.8475 272.4174 537.5275 -0.2027376 0.3845872
Moved 430.8622 267.1238 538 -0.2149912 0.3858024
Moved 430.8781 262.6745 539.0814 -0.2252905 0.3885836
Moved 430.8931 258.3745 539 -0.2352442 0.3883744
Moved 430.9087 254.0584 539 -0.2452352 0.3883744
Moved 430.9247 251.1533 539 -0.25196 0.3883744
Moved 430.9396 247.2782 539 -0.2609302 0.3883744
Moved 430.9553 243.1011 539 -0.2705992 0.3883744
Moved 430.9702 240.5161 539 -0.2765831 0.3883744
Moved 430.9876 239.115 539 -0.2798264 0.3883744
Moved 431.0014 237.7146 539 -0.283068 0.3883744
Moved 431.0168 236.2779 539 -0.2863939 0.3883744
Moved 431.0367 234.8367 539 -0.2897299 0.3883744
Stationary 431.0494 234.8367 539 -0.2897299 0.3883744
Moved 431.0628 234 539 -0.2916667 0.3883744
Stationary 431.0792 234 539 -0.2916667 0.3883744
Ended 431.0944 234 539 -0.2916667 0.3883744
Candidates 431.2008 12 were eye et wet er wt r e quite we quiet re
