that is a very odd question
that is a very odd question
FixStart
0.6 0.6
432 388.8
Moved 3214.9 506.5674 378.1349 0.3392765 -0.02537331
Moved 3214.916 507.7563 381.2688 0.3420283 -0.01731276
Moved 3214.929 509.1176 382 0.3451797 -0.01543218
Moved 3214.946 509 383.5605 0.3449074 -0.01141835
Moved 3214.962 510.0005 384 0.3472234 -0.01028807
Moved 3214.976 510 385.4392 0.3472221 -0.006586397
Stationary 3214.99 510 385.4392 0.3472221 -0.006586397
Moved 3215.008 510 386.3745 0.3472221 -0.004180861
Stationary 3215.023 510 386.3745 0.3472221 -0.004180861
Stationary 3215.038 510 386.3745 0.3472221 -0.004180861
Stationary 3215.053 510 386 0.3472221 -0.005144111
Moved 3215.076 494.8891 373.2543 0.3122433 -0.03792625
Stationary 3215.086 494.8891 373.2543 0.3122433 -0.03792625
Moved 3215.101 474.1709 356.3754 0.2642845 -0.08133915
Moved 3215.115 453.2617 340.4586 0.2158837 -0.1222773
Moved 3215.13 430.3326 321.7702 0.1628068 -0.1703441
Moved 3215.146 411.2989 307.1178 0.1187474 -0.2080304
Moved 3215.161 395.5343 295.6895 0.0822553 -0.2374242
Moved 3215.177 379.0979 284.5612 0.04420807 -0.2660465
Moved 3215.192 367.6322 277.3951 0.01766711 -0.2844776
Moved 3215.208 349.2758 268.8196 -0.02482449 -0.3065341
Moved 3215.223 343.3364 263.9546 -0.03857315 -0.3190469
Moved 3215.238 335.7583 259.255 -0.05611504 -0.3311344
Moved 3215.253 332.0027 257.5013 -0.06480867 -0.3356448
Moved 3215.269 325.8869 254.4435 -0.07896558 -0.3435096
Moved 3215.285 321.3384 254 -0.08949433 -0.3446502
Moved 3215.3 317.0185 251.3395 -0.09949416 -0.3514932
Moved 3215.315 313.7997 248.7997 -0.1069452 -0.3580256
Moved 3215.331 310.9133 248.4567 -0.1136266 -0.3589078
Moved 3215.346 308.0333 247.0166 -0.1202933 -0.3626116
Moved 3215.362 306.9053 247 -0.1229043 -0.3626543
Moved 3215.377 304.4366 245.4366 -0.1286189 -0.3666754
Moved 3215.392 303.5 244.5 -0.130787 -0.3690844
Moved 3215.408 302.7755 243.7755 -0.1324642 -0.3709478
Moved 3215.424 301.1081 243.108 -0.1363239 -0.3726646
Moved 3215.439 299.6652 243 -0.1396639 -0.3729424
Moved 3215.454 299.2312 242.2312 -0.1406686 -0.3749197
Ended 3215.469 299 242 -0.1412037 -0.3755144
Candidates 3215.592 12 of good if is god his goods off odd odds gods id
Began 3216.36 358 246 -0.004629641 -0.3652264
Stationary 3216.386 358 246 -0.004629641 -0.3652264
Stationary 3216.397 358 246 -0.004629641 -0.3652264
Stationary 3216.41 358 246 -0.004629641 -0.3652264
Stationary 3216.425 358 246 -0.004629641 -0.3652264
Stationary 3216.439 358 246 -0.004629641 -0.3652264
Stationary 3216.456 358 246 -0.004629641 -0.3652264
Stationary 3216.471 358 246 -0.004629641 -0.3652264
Stationary 3216.487 358 246 -0.004629641 -0.3652264
Stationary 3216.5 358 246 -0.004629641 -0.3652264
Ended 3216.517 358 246 -0.004629641 -0.3652264
NextCandidatePanel 3216.577
Began 3217.473 363 268 0.006944438 -0.308642
Stationary 3217.49 363 268 0.006944438 -0.308642
Stationary 3217.502 363 268 0.006944438 -0.308642
Stationary 3217.518 363 268 0.006944438 -0.308642
Stationary 3217.534 363 268 0.006944438 -0.308642
Ended 3217.552 363 268 0.006944438 -0.308642
NextCandidatePanel 3217.611
Began 3218.166 370 234 0.02314816 -0.3960905
Stationary 3218.182 370 234 0.02314816 -0.3960905
Stationary 3218.198 370 234 0.02314816 -0.3960905
Stationary 3218.212 370 234 0.02314816 -0.3960905
Moved 3218.228 370 249.1637 0.02314816 -0.3570892
