why do you ask silly questions
why do you ask silly questions
FixStart
Radial

0.6 0.6
432 388.8
Moved 1577.228 248.6148 434.6147 -0.2578362 0.1198938
Moved 1577.259 283.439 459.7654 -0.1772245 0.1845818
Moved 1577.29 316.9158 483.3326 -0.09973203 0.245197
Moved 1577.321 349.5515 512.3299 -0.02418632 0.3197785
Moved 1577.351 357.9369 522.5931 -0.004775723 0.3461755
Moved 1577.382 372.101 537.101 0.0280116 0.3834902
Moved 1577.413 382.5966 547.1974 0.05230685 0.4094582
Moved 1577.443 388.8454 554.8454 0.06677181 0.429129
Moved 1577.474 394.6307 559.8153 0.08016357 0.4419117
Moved 1577.505 400.3734 563.6867 0.0934569 0.451869
Moved 1577.536 405.3009 565.1505 0.1048632 0.4556338
Moved 1577.566 413.2145 565 0.1231818 0.4552468
Moved 1577.597 425.7271 565 0.1521461 0.4552468
