electric cars need big fuel cells
electric cars need big fuel cells
Basic
List

0.6 0.6
432 388.8
Moved 1384.181 306.9836 589.3443 -0.1227233 0.5178608
Moved 1384.211 301.9101 593.545 -0.1344674 0.528665
Moved 1384.242 296.1805 596.4097 -0.1477304 0.5360332
Moved 1384.273 292.7172 596 -0.1557472 0.5349793
Moved 1384.304 288.3576 596 -0.1658389 0.5349793
Moved 1384.334 282.903 591.1071 -0.1784651 0.5223947
Moved 1384.365 273.7019 580.702 -0.199764 0.4956326
Moved 1384.396 264.7729 569.7161 -0.2204331 0.4673767
Moved 1384.427 255.1593 555.2656 -0.2426867 0.4302098
Moved 1384.457 250.1845 542.9224 -0.2542026 0.398463
Moved 1384.488 245.6425 528.6063 -0.2647164 0.3616415
Moved 1384.519 241.5321 513.3622 -0.2742313 0.3224336
Moved 1384.549 241 498.4316 -0.275463 0.2840319
Moved 1384.58 241 485.2354 -0.275463 0.2500909
Moved 1384.611 241 470.5 -0.275463 0.2121912
Moved 1384.642 241 454.8871 -0.275463 0.1720348
Moved 1384.672 253.4436 444.1129 -0.2466584 0.1443231
Moved 1384.703 261.1728 433.7408 -0.2287667 0.117646
Moved 1384.734 268.3199 421.7001 -0.2122223 0.08667722
Moved 1384.765 274.0819 409.8362 -0.1988844 0.05616302
Moved 1384.795 279.8305 398.3391 -0.1855776 0.02659209
Moved 1384.826 285.5588 388.8824 -0.1723176 0.002269431
Moved 1384.857 291.2432 379.5136 -0.1591592 -0.02182713
Moved 1384.887 292 377.3162 -0.1574074 -0.02747893
Moved 1384.918 293.5664 373.4336 -0.1537815 -0.03746504
Moved 1384.949 295.0549 370.9451 -0.1503359 -0.04386549
Ended 1384.98 296 368 -0.1481481 -0.05144041
Accept 1385.101 0 cars
Candidates 1385.101 13 buyers news needs myers mrs need less viewed mess led meets jeff breed
Began 1386.178 107 433 -0.5856481 0.1157406
Stationary 1386.209 107 433 -0.5856481 0.1157406
Ended 1386.24 107 433 -0.5856481 0.1157406
Accept 1386.301 0 buyers
Delete 1386.301 LeftSwipe
Began 1386.701 415 277 0.1273148 -0.2854939
Stationary 1386.731 415 277 0.1273148 -0.2854939
Moved 1386.762 411.3136 271.2071 0.1187815 -0.3003933
Moved 1386.793 404.5989 259.7968 0.1032383 -0.3297407
