I can still feel your presence
I can still feel your presence
Basic
Radial

0.6 0.6
432 388.8
Moved 1813.88 245.2245 515.6122 -0.2656839 0.3282207
Moved 1813.911 238.2159 513.108 -0.2819076 0.3217797
Moved 1813.942 230.7151 512 -0.2992707 0.31893
Moved 1813.972 225.7289 510.3644 -0.3108128 0.3147233
Moved 1814.003 220 510 -0.3240741 0.3137859
Moved 1814.034 216.958 509 -0.3311158 0.3112139
Moved 1814.064 214.0866 509 -0.3377626 0.3112139
Moved 1814.095 211.2224 508.2224 -0.3443927 0.3092138
Moved 1814.126 209.8736 508 -0.3475148 0.3086419
Moved 1814.157 207.8383 505.8383 -0.3522261 0.303082
Moved 1814.187 207 502.9648 -0.3541667 0.2956912
Moved 1814.218 205.1073 499.1074 -0.3585478 0.2857699
Moved 1814.249 205 491.2823 -0.3587963 0.2656438
Moved 1814.279 204 484.4451 -0.3611111 0.2480582
Moved 1814.31 204 481.5829 -0.3611111 0.2406968
Moved 1814.341 204 473.5783 -0.3611111 0.2201087
Moved 1814.372 204 466.7731 -0.3611111 0.2026055
Moved 1814.402 204 461.0408 -0.3611111 0.1878622
Moved 1814.433 204 456.6508 -0.3611111 0.176571
Moved 1814.464 210.0272 451.278 -0.3471593 0.1627519
Moved 1814.494 212.7345 446.531 -0.3408923 0.1505426
Moved 1814.525 219.0564 432.8873 -0.3262584 0.1154507
Moved 1814.556 221.9417 427.1167 -0.3195795 0.1006087
Moved 1814.587 230.0408 408.9183 -0.3008314 0.05380222
Moved 1814.617 236.7691 397.3464 -0.2852568 0.02403903
Moved 1814.648 242.5015 385.9969 -0.2719872 -0.005151961
Moved 1814.679 247.3992 377.2017 -0.2606501 -0.02777358
Moved 1814.709 251.1349 367.5954 -0.2520026 -0.05248097
Moved 1814.74 254.0038 360.9887 -0.2453617 -0.06947356
Moved 1814.771 256.8832 355.1168 -0.2386962 -0.08457623
Moved 1814.802 258.4467 350.1065 -0.235077 -0.09746268
Moved 1814.832 260 345.36 -0.2314815 -0.1096708
Moved 1814.863 262.1866 342.8134 -0.2264198 -0.1162209
Moved 1814.894 264.1537 337.8463 -0.2218663 -0.1289963
Moved 1814.925 265 334.9756 -0.2199074 -0.1363795
Moved 1814.955 266.4624 335 -0.2165222 -0.1363169
Moved 1814.986 267.5 332.5 -0.2141203 -0.142747
Moved 1815.017 268.3718 331.6282 -0.2121022 -0.1449893
Moved 1815.047 268.7053 332 -0.2113302 -0.144033
Moved 1815.078 270 355.1785 -0.2083333 -0.0844176
Moved 1815.109 270 384.9305 -0.2083333 -0.007894853
Moved 1815.14 270 405.9996 -0.2083333 0.04629535
Moved 1815.17 270 432.8964 -0.2083333 0.1154743
Moved 1815.201 270 451.7243 -0.2083333 0.1638999
Moved 1815.232 270 462.9598 -0.2083333 0.1927977
Moved 1815.262 261.8605 478.6976 -0.2271748 0.2332757
Moved 1815.293 262 491.9897 -0.2268519 0.2674633
Moved 1815.324 261 510.0214 -0.2291666 0.313841
Moved 1815.355 261 516.7815 -0.2291666 0.331228
Moved 1815.385 261 528.1994 -0.2291666 0.3605951
Moved 1815.416 261 540.7231 -0.2291666 0.3928063
Moved 1815.447 261 550.3416 -0.2291666 0.4175452
Moved 1815.477 260.4208 557.1583 -0.2305073 0.4350779
Moved 1815.508 260 561.8735 -0.2314815 0.4472053
Moved 1815.539 260 563.3063 -0.2314815 0.4508905
Stationary 1815.57 260 563.3063 -0.2314815 0.4508905
Moved 1815.6 259 564 -0.2337963 0.4526748
Stationary 1815.631 259 564 -0.2337963 0.4526748
