in sharp contrast to your words
in sharp contrast to your words
FixStart
List

0.6 0.6
432 388.8
Moved 501.1816 306.5338 351.2331 -0.1237644 -0.09456509
Moved 501.2123 298.0218 354.9927 -0.1434681 -0.08489522
Moved 501.243 294.4961 357 -0.1516294 -0.07973259
Ended 501.2738 294 357 -0.1527778 -0.07973259
Candidates 501.3659 13 writers reported tried words worse retired eyes routes grows rows george fried types
Began 502.4414 366 364 0.01388888 -0.06172839
Stationary 502.4722 366 364 0.01388888 -0.06172839
Stationary 502.5028 366 364 0.01388888 -0.06172839
Moved 502.5336 337.2576 388.4199 -0.05264446 0.00107985
Moved 502.5643 319.696 408.4903 -0.09329632 0.05270133
Moved 502.5951 303.4239 429.8066 -0.1309633 0.1075273
Moved 502.6258 292.0669 444.9163 -0.1572525 0.1463896
Moved 502.6565 280.5659 458.4341 -0.1838752 0.1811577
Moved 502.6873 268.9829 470.0171 -0.2106877 0.2109492
Moved 502.718 260.1703 478.8297 -0.2310872 0.2336153
Moved 502.7487 250.5564 487.4435 -0.2533416 0.2557704
Moved 502.7794 244.773 493.4847 -0.2667292 0.2713082
Moved 502.8102 237.9461 499.5808 -0.2825321 0.2869876
Moved 502.8409 228.1709 509.6583 -0.30516 0.312907
Moved 502.8716 222 516 -0.3194444 0.329218
Moved 502.9023 218.5593 518.4407 -0.327409 0.3354955
Moved 502.9331 212.6248 525.3752 -0.3411462 0.3533311
Moved 502.9638 204.8655 532.1345 -0.3591077 0.3707163
Moved 502.9945 196.7205 539.2795 -0.3779617 0.3890932
Moved 503.0252 193.0484 542.9032 -0.386462 0.3984135
Moved 503.056 188.1826 547.8173 -0.3977253 0.4110527
Moved 503.0867 183.6135 552.3865 -0.408302 0.4228046
Moved 503.1174 180.7985 555.2015 -0.4148183 0.4300449
Moved 503.1482 179 558.1333 -0.4189815 0.4375856
Moved 503.1789 175.9993 562.0013 -0.4259275 0.4475342
Moved 503.2097 175 563.8749 -0.4282407 0.4523531
Moved 503.2404 174 566.4209 -0.4305556 0.4589014
Moved 503.2711 171.7131 568.2869 -0.4358493 0.4637009
Moved 503.3018 172 569.3729 -0.4351852 0.4664939
Moved 503.3325 170.7038 570.2962 -0.4381856 0.4688687
Moved 503.3633 171 571.1245 -0.4375 0.470999
Moved 503.394 170 571.4089 -0.4398148 0.4717306
Ended 503.4247 170 572 -0.4398148 0.4732509
Accept 503.4862 3 words
Began 503.7935 258 448 -0.2361111 0.1543209
Moved 503.8242 273.2069 437.7739 -0.2009099 0.1280193
Moved 503.8549 300.2264 418.7963 -0.1383649 0.07920846
Moved 503.8856 326.9917 400.0056 -0.07640819 0.03087844
Moved 503.9164 356.9863 385.0059 -0.006976227 -0.007700978
Moved 503.9471 382.4448 375.8517 0.05195558 -0.03124559
Moved 503.9779 405.4749 371.7525 0.105266 -0.04178891
Moved 504.0086 426.0835 370 0.152971 -0.04629637
Moved 504.0393 447.2142 369 0.2018847 -0.04886839
Moved 504.0701 465.3959 369 0.243972 -0.04886839
Moved 504.1008 484.1118 369 0.287296 -0.04886839
Moved 504.1315 500.82 369 0.3259723 -0.04886839
Moved 504.1622 518.1915 376 0.3661841 -0.03086435
Moved 504.193 533.6369 378.7274 0.4019373 -0.02384947
Moved 504.2237 545 381.5 0.4282407 -0.01671818
Moved 504.2545 553.4149 382 0.4477197 -0.01543218
Moved 504.2852 559.9731 384 0.4629008 -0.01028807
Moved 504.3159 564.6896 385 0.4738185 -0.007716127
Moved 504.3466 568.2901 385 0.482153 -0.007716127
Moved 504.3774 572.5203 386 0.4919451 -0.005144111
Moved 504.408 574.0577 386 0.4955038 -0.005144111
Moved 504.4388 576 386.9881 0.5000001 -0.002602667
Moved 504.4695 577.222 387 0.5028288 -0.002572055
Ended 504.5002 577 387 0.5023147 -0.002572055
PhraseEnd 504.5617
