in sharp contrast to your words
in sharp contact to your words
FixStart
List

0.6 0.6
432 388.8
Moved 2359.151 365.7744 541 0.01336674 0.3935184
Moved 2359.182 339.0625 533.2708 -0.04846652 0.3736388
Moved 2359.212 320.4424 531.6978 -0.09156843 0.3695931
Moved 2359.243 308.2376 528.8094 -0.1198203 0.362164
Moved 2359.274 302.137 526.5685 -0.1339422 0.3564003
Moved 2359.305 295.0624 524.0312 -0.1503185 0.3498744
Moved 2359.335 289 520.5 -0.1643519 0.3407921
Moved 2359.366 283.8925 516.9463 -0.1761747 0.3316519
Moved 2359.397 281.732 514.7319 -0.181176 0.3259566
Moved 2359.427 279.1884 513 -0.1870639 0.321502
Moved 2359.458 277.646 512 -0.1906343 0.31893
Moved 2359.489 276.5 512 -0.193287 0.31893
Moved 2359.52 277 512 -0.1921296 0.31893
Moved 2359.551 289.516 512 -0.1631574 0.31893
Moved 2359.581 312.3314 525.9326 -0.1103441 0.3547647
Moved 2359.612 334.3978 536.0845 -0.05926435 0.3808756
Moved 2359.643 351.9926 545.9951 -0.0185357 0.4063658
Moved 2359.673 367.3343 556.7786 0.01697749 0.4341012
Moved 2359.704 379.4812 567.4811 0.04509528 0.4616284
Moved 2359.735 387.9891 574.9891 0.06478965 0.480939
Moved 2359.766 396.7419 582.8065 0.08505076 0.5010453
Moved 2359.796 406.8959 593.8959 0.1085554 0.5295675
Moved 2359.827 418.1325 605.1656 0.1345659 0.5585534
Moved 2359.858 430.372 616.372 0.1628982 0.5873764
Moved 2359.888 440.2341 623.5405 0.1857272 0.6058139
Moved 2359.919 450.5285 631.1464 0.2095567 0.6253763
Moved 2359.95 459.7635 638.8226 0.2309341 0.6451198
Moved 2359.981 468.5 645.5 0.2511574 0.6622942
Moved 2360.011 475.1819 649.7273 0.2666248 0.6731669
Moved 2360.042 484.1387 653.5693 0.2873581 0.6830486
Moved 2360.073 497.0485 655 0.3172418 0.6867283
Moved 2360.104 514.753 656.3933 0.3582245 0.6903118
Moved 2360.134 533.9727 656 0.4027146 0.6893002
Moved 2360.165 559.2181 656 0.4611531 0.6893002
Moved 2360.196 581.4196 656 0.5125454 0.6893002
Moved 2360.226 601.3419 656 0.5586618 0.6893002
Moved 2360.257 614.5659 646.0064 0.589273 0.6635965
Moved 2360.288 627.4367 645.8908 0.6190665 0.6632993
Moved 2360.319 637.8954 644 0.6432765 0.6584361
Moved 2360.349 645.5091 643 0.6609007 0.6558642
Moved 2360.38 651.0812 641.6396 0.673799 0.652365
Moved 2360.411 661.036 639.991 0.6968426 0.6481248
Moved 2360.441 668.6779 639 0.714532 0.6455761
Moved 2360.472 676.3439 639 0.7322773 0.6455761
Moved 2360.503 681.5715 639 0.7443784 0.6455761
Moved 2360.534 687.8613 639 0.7589381 0.6455761
Moved 2360.564 691.9503 639 0.7684034 0.6455761
Ended 2360.595 693 639 0.7708333 0.6455761
Candidates 2360.656 13 sharp snap sheep thai cheap crap sleep asleep soap video diego ceo wrap
Began 2361.763 587 577 0.5254629 0.4861111
Stationary 2361.793 587 577 0.5254629 0.4861111
Stationary 2361.824 587 577 0.5254629 0.4861111
Stationary 2361.855 587 577 0.5254629 0.4861111
Moved 2361.885 569.9104 559.4745 0.4859037 0.4410353
Moved 2361.916 555.8936 539.8403 0.4534574 0.3905357
Moved 2361.947 542.4169 516.1505 0.4222615 0.3296051
Moved 2361.978 531.5676 498.9934 0.3971472 0.2854768
Moved 2362.009 522.4587 484.2422 0.3760619 0.2475366
Moved 2362.039 506.6679 462.3351 0.3395091 0.1911911
Moved 2362.07 488.0491 442.0491 0.2964099 0.139015
Moved 2362.101 468.793 423.5689 0.2518357 0.09148373
Moved 2362.131 447.9458 406.9578 0.2035782 0.04875975
Moved 2362.162 433.1433 395.7147 0.1693132 0.01984216
Moved 2362.193 423.5194 387.6395 0.1470356 -0.0009271441
Moved 2362.224 420 378.9982 0.1388889 -0.02315286
Moved 2362.254 420 368.3903 0.1388889 -0.0504365
Moved 2362.285 439.5 351.5 0.1840278 -0.0938786
Moved 2362.316 454.252 339.856 0.2181758 -0.1238271
Moved 2362.346 468.3714 330.2214 0.2508597 -0.1486074
Moved 2362.377 478.4358 323.4232 0.274157 -0.1660928
Moved 2362.408 489.6436 318.5891 0.300101 -0.178526
Moved 2362.439 495.9197 316 0.314629 -0.1851853
Moved 2362.469 502 316 0.3287037 -0.1851853
Moved 2362.5 513.82 325.4575 0.3560648 -0.1608604
Moved 2362.531 529.6212 346.1616 0.3926417 -0.1076091
Moved 2362.562 547.6531 377.9796 0.4343821 -0.02577283
Moved 2362.592 567.0248 408.1591 0.4792241 0.05184947
Moved 2362.623 588.7238 440.2677 0.5294531 0.1344334
Moved 2362.654 607.4377 465.7971 0.5727724 0.2000954
Moved 2362.685 630.0088 496.9211 0.6250204 0.2801467
Moved 2362.715 651.8616 530.0251 0.6756056 0.3652909
Moved 2362.746 658.0896 547.9056 0.6900222 0.4112799
Moved 2362.777 666.0926 563.1544 0.7085477 0.4504998
Moved 2362.807 673.7366 581.6309 0.7262421 0.4980217
Moved 2362.838 678.1324 595.5297 0.7364177 0.5337697
Moved 2362.869 681.3356 604.0067 0.7438324 0.5555726
Moved 2362.9 683 610.9739 0.7476853 0.5734925
Moved 2362.93 685.5 617 0.7534722 0.5889916
Moved 2362.961 686 622.1852 0.7546297 0.602328
Moved 2362.992 687 625.2662 0.7569444 0.6102526
Moved 2363.022 690.7976 630.7976 0.7657352 0.6244794
Moved 2363.053 694.9176 635.9176 0.7752722 0.637648
Moved 2363.084 699.0062 643.0092 0.7847365 0.6558877
Moved 2363.115 702.355 647.355 0.7924883 0.6670651
Moved 2363.145 704 651.5749 0.7962964 0.6779188
Ended 2363.176 704 652 0.7962964 0.6790121
Accept 2363.268 0 sharp
Candidates 2363.268 13 zoo camp co zip backup ncbi ci snp no vi cop cio fbi
Began 2363.299 712 668 0.8148147 0.7201646
Stationary 2363.33 712 668 0.8148147 0.7201646
Stationary 2363.36 712 668 0.8148147 0.7201646
