is there any indication of this
is there any indication of this
Basic
List

0.6 0.6
432 388.8
Moved 4607.609 361.5 300.5 0.003472269 -0.2250515
Moved 4607.64 353.7135 318.7641 -0.01455218 -0.1780759
Moved 4607.67 346.1192 332.7615 -0.03213142 -0.1420743
Moved 4607.701 340.6424 344.8939 -0.04480918 -0.1108696
Moved 4607.732 335 354 -0.05787035 -0.08744855
Moved 4607.762 326.1131 364.8492 -0.07844184 -0.05954436
Moved 4607.793 318.5 376 -0.0960648 -0.03086435
Moved 4607.824 308.8726 385.1274 -0.1183505 -0.007388307
Moved 4607.854 299 393.5 -0.1412037 0.01414597
Moved 4607.885 287.7545 403.3964 -0.1672349 0.03959966
Moved 4607.916 277.8214 412.1786 -0.1902284 0.06218781
Moved 4607.947 269.1712 417.8859 -0.2102519 0.07686686
Moved 4607.978 261.5365 421.9756 -0.2279248 0.0873858
Moved 4608.008 256.5279 425.7361 -0.2395188 0.09705774
Moved 4608.039 251.4454 429.5546 -0.2512837 0.1068789
Moved 4608.07 249.1837 431.8163 -0.2565193 0.1126962
Moved 4608.101 248 435.7075 -0.2592593 0.1227043
Moved 4608.131 248 439.6985 -0.2592593 0.1329693
Moved 4608.162 248 447.3331 -0.2592593 0.1526057
Moved 4608.193 261.5924 455.9443 -0.2277953 0.1747539
Moved 4608.224 275.1149 463.5574 -0.1964934 0.1943349
Moved 4608.254 292.1252 470.3394 -0.1571175 0.2117783
Moved 4608.285 310.9855 474.9979 -0.1134595 0.22376
Moved 4608.316 328.5 480 -0.07291664 0.2366254
Moved 4608.347 344.6149 482.0878 -0.03561372 0.2419953
Moved 4608.377 355.5918 484.3184 -0.01020417 0.2477323
Moved 4608.408 366.4517 485.8629 0.01493444 0.2517049
Moved 4608.439 379.0385 488.4077 0.04407068 0.2582502
Moved 4608.469 388.7693 490.9423 0.06659547 0.2647692
Moved 4608.5 397.9166 493.2291 0.08776993 0.270651
Moved 4608.531 410.1103 496.7776 0.115996 0.2797776
Moved 4608.562 420.3239 500.6619 0.1396386 0.2897682
Moved 4608.592 431.4894 503.8724 0.1654848 0.2980256
Moved 4608.623 439.3771 508.2514 0.1837432 0.3092885
Moved 4608.654 448.0429 510.681 0.203803 0.3155373
Moved 4608.685 455.7124 514.2375 0.2215565 0.3246848
Moved 4608.715 464.3755 517.7918 0.2416099 0.3338266
Moved 4608.746 470.0279 522.0186 0.2546942 0.344698
Moved 4608.777 476 524.5 0.2685185 0.3510802
Moved 4608.808 481.0972 528.0972 0.2803176 0.3603323
Moved 4608.838 484.6495 530.6495 0.2885404 0.3668967
Moved 4608.869 486.9126 533.9125 0.2937791 0.3752894
Moved 4608.9 489.4688 537.4688 0.2996963 0.3844361
Moved 4608.931 490 540.0193 0.300926 0.390996
Moved 4608.961 490 542 0.300926 0.3960905
Moved 4608.992 490 543 0.300926 0.3986624
Moved 4609.023 490 544.3718 0.300926 0.4021908
Stationary 4609.054 490 544.3718 0.300926 0.4021908
Moved 4609.084 481.5177 544 0.2812909 0.4012345
Moved 4609.115 476.4714 544 0.2696097 0.4012345
Moved 4609.146 470.3687 544 0.255483 0.4012345
Moved 4609.176 466.2548 544 0.2459603 0.4012345
Moved 4609.207 461.1382 533.9838 0.2341163 0.3754728
Moved 4609.238 458.6445 536 0.2283437 0.3806583
Moved 4609.269 455.7616 535 0.2216703 0.3780863
Moved 4609.299 453.2074 534 0.2157578 0.3755144
Moved 4609.33 451.8296 532.8296 0.2125685 0.372504
Moved 4609.361 450.7562 533 0.2100837 0.3729423
Moved 4609.392 448.8803 532 0.2057415 0.3703703
Moved 4609.422 446.3282 530.3282 0.1998338 0.3660704
Moved 4609.453 441.5752 525.5751 0.1888314 0.3538454
Moved 4609.484 434.9185 519.9185 0.1734224 0.3392965
Moved 4609.515 421.8954 506.8953 0.1432762 0.3058007
Moved 4609.545 406.5785 491.5784 0.1078205 0.2664054
Moved 4609.576 389.2557 471.1494 0.0677215 0.2138615
Moved 4609.607 374.2251 452.718 0.03292849 0.1664557
Moved 4609.638 355.0613 425.4594 -0.01143207 0.09634602
Moved 4609.668 339.5354 401.3031 -0.04737173 0.03421575
Moved 4609.699 328.23 383.345 -0.07354155 -0.01197273
Moved 4609.73 319.2675 367.7182 -0.09428808 -0.05216512
Moved 4609.761 309.6912 351.9216 -0.1164556 -0.09279431
Moved 4609.792 303.3688 338.422 -0.1310907 -0.1275154
Moved 4609.822 298.2956 327.5911 -0.1428343 -0.1553726
Moved 4609.853 293.8536 315.6339 -0.1531167 -0.1861268
Moved 4609.884 289.7376 303.4752 -0.1626445 -0.2173993
Moved 4609.914 286.8214 295.4642 -0.1693949 -0.2380035
Moved 4609.945 285.2843 287.5685 -0.172953 -0.2583114
Moved 4609.976 284.0467 281.1401 -0.1758177 -0.2748454
Moved 4610.006 284 273.5812 -0.1759259 -0.294287
Moved 4610.037 283 263.9441 -0.1782407 -0.3190739
Moved 4610.068 282.4412 257.3237 -0.1795342 -0.3361017
Moved 4610.099 282 251.4491 -0.1805555 -0.3512112
Moved 4610.129 282 246.3066 -0.1805555 -0.3644377
Moved 4610.16 282 240.2086 -0.1805555 -0.3801219
Moved 4610.191 282 235.101 -0.1805555 -0.3932589
Moved 4610.222 282 230.4781 -0.1805555 -0.4051488
Moved 4610.252 282 225.5481 -0.1805555 -0.417829
Moved 4610.283 282 220.4689 -0.1805555 -0.4308929
Moved 4610.314 282 215.3829 -0.1805555 -0.4439741
Moved 4610.345 282 211.6675 -0.1805555 -0.4535302
Moved 4610.375 282 208.8873 -0.1805555 -0.4606808
Moved 4610.406 282 206.5 -0.1805555 -0.466821
