want to join us for lunch
want to join us for lunch
FixStart
List

0.6 0.6
432 388.8
Moved 3461.736 483 466.3664 0.2847222 0.2015595
Moved 3461.767 492.5935 474.7968 0.3069295 0.2232426
Moved 3461.798 504.0469 493.3959 0.3334419 0.2710799
Moved 3461.828 510.6789 504.3577 0.3487937 0.2992738
Moved 3461.859 514.5058 509.6744 0.3576523 0.3129486
Moved 3461.89 520.8338 518.8338 0.3723005 0.3365066
Moved 3461.921 526.6634 526.9902 0.3857948 0.3574849
Moved 3461.951 530.4292 532.8583 0.394512 0.372578
Moved 3461.982 533 537.6769 0.4004629 0.3849713
Moved 3462.013 535.602 542.602 0.4064861 0.3976388
Moved 3462.043 538.3602 549.0807 0.4128709 0.4143022
Moved 3462.074 540.854 552.854 0.4186435 0.4240071
Moved 3462.105 542.5728 556.5728 0.4226221 0.4335718
Moved 3462.135 544 559.3384 0.4259259 0.440685
Moved 3462.166 546.0818 562.0818 0.4307449 0.4477411
Moved 3462.197 547.3794 563 0.4337486 0.4501028
Moved 3462.228 548 566.2731 0.4351853 0.4585213
Moved 3462.258 549 567.5 0.4375 0.4616768
Moved 3462.289 550 569.5 0.4398148 0.4668209
Moved 3462.32 551.3124 570.3124 0.4428529 0.4689105
Moved 3462.351 551 572.0088 0.4421297 0.4732735
Stationary 3462.381 551 572.0088 0.4421297 0.4732735
Moved 3462.412 551 573.2388 0.4421297 0.476437
Stationary 3462.443 551 573 0.4421297 0.4758229
Stationary 3462.473 551 573 0.4421297 0.4758229
Moved 3462.504 532 573 0.3981481 0.4758229
Moved 3462.535 518.3307 559.1984 0.3665062 0.4403251
Moved 3462.565 500.6867 548.6791 0.3256636 0.4132693
Moved 3462.596 482.4526 537.3018 0.2834552 0.3840065
Moved 3462.627 461.9378 521.9378 0.235967 0.3444901
Moved 3462.658 445.1054 509.3291 0.1970033 0.3120604
Moved 3462.688 427.7276 495.1063 0.1567768 0.2754791
Moved 3462.719 413.5611 483.6708 0.123984 0.2460669
Moved 3462.75 398.4789 469.4789 0.08907139 0.2095649
Moved 3462.781 388.8528 461.1396 0.06678899 0.1881163
Moved 3462.811 377.8752 450.9002 0.04137784 0.1617803
Moved 3462.842 367.8679 443.434 0.0182126 0.1425769
Moved 3462.873 359.5 436.5 -0.001157423 0.1247428
Moved 3462.903 353.9831 433.9916 -0.01392797 0.118291
Moved 3462.934 348.4739 432 -0.02668068 0.1131687
Moved 3462.965 344 429.5 -0.03703703 0.1067386
Moved 3462.995 342.0335 429 -0.04158919 0.1054526
Moved 3463.026 340.6605 427.6605 -0.04476731 0.1020075
Moved 3463.057 337.5124 427 -0.05205467 0.1003086
Moved 3463.088 336.6414 427 -0.05407085 0.1003086
Ended 3463.118 337 427 -0.05324075 0.1003086
Accept 3463.18 0 join
Candidates 3463.18 13 us usa guys is its his gus ya guess id hugs yes hits
Began 3463.948 471 435 0.2569444 0.1208847
Stationary 3463.978 471 435 0.2569444 0.1208847
Stationary 3464.009 471 435 0.2569444 0.1208847
Stationary 3464.04 471 435 0.2569444 0.1208847
Moved 3464.07 458.3082 435 0.2275654 0.1208847
Moved 3464.101 450.0777 435 0.2085132 0.1208847
Moved 3464.132 441.4164 435 0.1884637 0.1208847
Moved 3464.162 433.5437 435 0.17024 0.1208847
Moved 3464.193 427.8634 428 0.1570911 0.1028806
Moved 3464.224 422.3757 428 0.1443881 0.1028806
Moved 3464.255 418.925 428 0.1364004 0.1028806
Moved 3464.285 416.3626 428 0.1304691 0.1028806
Moved 3464.316 413.7275 428 0.1243692 0.1028806
Moved 3464.347 412.5 428 0.1215278 0.1028806
Moved 3464.377 411.8012 428 0.1199101 0.1028806
Moved 3464.408 410.6414 428 0.1172254 0.1028806
Moved 3464.439 409.8287 428 0.1153443 0.1028806
Moved 3464.469 408.8568 428 0.1130943 0.1028806
Stationary 3464.5 408.8568 428 0.1130943 0.1028806
Moved 3464.531 409 436.6773 0.113426 0.1251988
Moved 3464.562 423.0709 452.0709 0.1459975 0.1647914
Moved 3464.593 438.3151 464.0372 0.181285 0.195569
Moved 3464.623 447.9821 471.8417 0.2036621 0.2156422
Moved 3464.654 483.7263 497.8084 0.2864034 0.282429
Moved 3464.685 494.8406 506.1304 0.312131 0.3038334
Moved 3464.715 516.8851 518.5532 0.3631601 0.335785
Moved 3464.746 535 527 0.4050927 0.3575102
Moved 3464.777 558.1306 538.0653 0.4586357 0.3859704
Moved 3464.807 574.1406 545.0703 0.4956959 0.4039873
Moved 3464.838 591.7277 551.5759 0.5364068 0.4207199
Moved 3464.869 603.82 556.41 0.5643982 0.4331533
Moved 3464.899 616.1157 560.0289 0.5928605 0.4424611
Moved 3464.93 623.5861 562.793 0.6101528 0.4495705
Moved 3464.961 627.5595 564 0.6193507 0.4526748
Moved 3464.992 630.004 565 0.6250092 0.4552468
Moved 3465.022 632.5 565 0.630787 0.4552468
Moved 3465.053 633 565 0.6319444 0.4552468
Moved 3465.084 634.3601 565 0.6350929 0.4552468
Stationary 3465.114 634 565 0.6342593 0.4552468
Stationary 3465.145 634 565 0.6342593 0.4552468
Moved 3465.176 610.7178 565 0.5803653 0.4552468
Moved 3465.207 603.4907 565 0.5636358 0.4552468
Moved 3465.237 584.9651 565 0.5207526 0.4552468
Moved 3465.268 561.3179 558 0.4660136 0.4372427
Moved 3465.299 540.2114 557 0.4171559 0.4346707
Moved 3465.329 523.9423 557 0.3794961 0.4346707
Moved 3465.36 501.8967 557 0.3284645 0.4346707
Moved 3465.391 478.7094 557 0.2747903 0.4346707
Moved 3465.422 457.8788 562.4949 0.2265714 0.4488036
Moved 3465.452 438.6993 566.1445 0.1821742 0.4581905
Moved 3465.483 420.6094 567.8984 0.1402996 0.4627016
Moved 3465.514 404.7687 569.6462 0.1036312 0.467197
Moved 3465.544 392.426 571.3935 0.07506014 0.471691
Moved 3465.575 382.7283 571.8179 0.05261173 0.4727826
Moved 3465.606 373.7583 572.5604 0.03184795 0.4746923
Moved 3465.636 366.074 574.3087 0.01406024 0.4791888
Moved 3465.667 359.6679 574.7773 -0.0007687509 0.4803943
Moved 3465.698 355.5503 576.4497 -0.01030023 0.4846956
Moved 3465.729 351.8032 577.1968 -0.0189741 0.4866173
Moved 3465.76 351 577.9583 -0.02083332 0.4885758
Ended 3465.79 351 578.5 -0.02083332 0.489969
Accept 3465.882 0 us
Candidates 3465.882 13 for fort your dow our fire type super or future route row door
Began 3466.312 534 466 0.4027778 0.2006171
Stationary 3466.343 534 466 0.4027778 0.2006171
Stationary 3466.374 534 466 0.4027778 0.2006171
Stationary 3466.404 534 466 0.4027778 0.2006171
Stationary 3466.435 534 466 0.4027778 0.2006171
Stationary 3466.466 534 466 0.4027778 0.2006171
Moved 3466.496 551.6776 466 0.443698 0.2006171
Moved 3466.527 565.2071 474.6829 0.4750164 0.2229496
Moved 3466.558 580.7757 478.5551 0.5110549 0.2329091
Moved 3466.589 595.5405 480 0.5452326 0.2366254
Moved 3466.619 610.2834 482 0.5793598 0.2417695
Moved 3466.65 620.8476 483 0.6038139 0.2443414
Moved 3466.681 633.0089 483 0.6319649 0.2443414
Moved 3466.711 643.8701 483 0.6571066 0.2443414
Moved 3466.742 654.9469 483 0.6827475 0.2443414
Moved 3466.773 663.6069 474.8483 0.7027937 0.223375
Moved 3466.803 670.8387 472.0807 0.719534 0.2162568
Moved 3466.834 677.3665 470.3167 0.7346448 0.2117198
Moved 3466.865 680.4487 470 0.7417793 0.2109053
Moved 3466.896 682.9027 469 0.7474599 0.2083333
Moved 3466.927 685.6718 468 0.7538698 0.2057612
Moved 3466.957 687.2188 468 0.7574509 0.2057612
Moved 3466.988 689.8965 468 0.7636494 0.2057612
Moved 3467.019 692.5 466.5 0.769676 0.2019032
Moved 3467.049 693.0035 467 0.7708414 0.2031892
Moved 3467.08 695.0784 465.9216 0.7756444 0.2004156
Stationary 3467.111 695.0784 465.9216 0.7756444 0.2004156
Moved 3467.141 678.0038 466 0.7361199 0.2006171
Moved 3467.172 651.9981 493.8199 0.6759216 0.2721704
Moved 3467.203 631.3705 514.5677 0.6281726 0.3255343
Moved 3467.233 619.1393 528.2328 0.5998595 0.3606811
Moved 3467.264 605.4941 545.6323 0.5682735 0.4054328
Moved 3467.295 587.9207 567.3492 0.5275941 0.4612891
