I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Moved 1438.397 164 505.7397 -0.4537037 0.3028285
Moved 1438.427 164 510.741 -0.4537037 0.3156917
Moved 1438.458 164 515.431 -0.4537037 0.3277545
Moved 1438.489 164 520.3204 -0.4537037 0.3403302
Moved 1438.52 171 524.0313 -0.4375 0.3498745
Moved 1438.55 173.9023 527.9023 -0.4307816 0.359831
Moved 1438.581 175.4194 531.4194 -0.4272698 0.3688771
Moved 1438.612 177.2886 535.5771 -0.4229431 0.3795708
Moved 1438.643 179.1623 538.1623 -0.4186058 0.3862198
Moved 1438.673 180.7915 541.5829 -0.4148346 0.3950178
Moved 1438.704 182.5936 545.1872 -0.410663 0.4042879
Moved 1438.735 185.4565 549.4565 -0.4040359 0.4152686
Moved 1438.766 187.3212 554.6425 -0.3997194 0.428607
Moved 1438.796 187.8506 556.8506 -0.3984939 0.4342866
Moved 1438.827 189 559.7198 -0.3958333 0.441666
Moved 1438.858 190 562.5 -0.3935185 0.4488167
Moved 1438.888 190 563.0161 -0.3935185 0.4501441
Moved 1438.919 191 564.5 -0.3912037 0.4539608
Moved 1438.95 191 565 -0.3912037 0.4552468
Moved 1438.981 192 565.7161 -0.3888888 0.4570887
Moved 1439.011 192 566 -0.3888888 0.4578188
Moved 1439.042 192 567.1346 -0.3888888 0.460737
Stationary 1439.073 192 567 -0.3888888 0.4603909
Moved 1439.104 193 568.5 -0.3865741 0.4642488
Stationary 1439.134 193 568.5 -0.3865741 0.4642488
Moved 1439.165 193 569.0427 -0.3865741 0.4656448
Moved 1439.196 194 569 -0.3842593 0.4655349
Stationary 1439.226 194 569 -0.3842593 0.4655349
Moved 1439.257 195.2262 570.2262 -0.3814209 0.4686887
Moved 1439.288 197.2283 570 -0.3767864 0.4681069
Moved 1439.319 199.3375 571 -0.371904 0.4706789
Moved 1439.349 202.7486 571 -0.3640078 0.4706789
Moved 1439.38 208.2277 571 -0.3513246 0.4706789
Moved 1439.411 215.8452 571 -0.3336917 0.4706789
Moved 1439.442 222.9674 571 -0.3172052 0.4706789
Moved 1439.472 229.973 564.0947 -0.3009885 0.4529183
Moved 1439.503 237.7217 562.1392 -0.2830517 0.4478887
Moved 1439.534 242.4604 560.2698 -0.2720823 0.4430806
Moved 1439.564 247.4183 560 -0.2606057 0.4423867
Moved 1439.595 252.1397 558 -0.2496767 0.4372427
Moved 1439.626 256.0182 555.9909 -0.2406987 0.4320753
Moved 1439.657 259.7614 555 -0.2320339 0.4295266
Moved 1439.687 262.4109 554 -0.2259007 0.4269547
Moved 1439.718 266.2702 551.7298 -0.2169672 0.4211157
Moved 1439.749 270.1471 551 -0.2079927 0.4192385
Moved 1439.78 273.777 549.223 -0.1995903 0.4146681
Moved 1439.81 276.5821 548 -0.193097 0.4115225
Moved 1439.841 279.4573 548 -0.1864414 0.4115225
Moved 1439.872 281.3281 547 -0.1821109 0.4089505
Moved 1439.902 282.8637 546 -0.1785561 0.4063785
Moved 1439.933 283.5 546 -0.1770833 0.4063785
Moved 1439.964 284.2485 544.7515 -0.1753507 0.4031674
Moved 1439.995 285 543.9658 -0.1736111 0.4011464
Stationary 1440.025 285 544 -0.1736111 0.4012345
Ended 1440.056 285 542 -0.1736111 0.3960905
Candidates 1440.21 13 meet me met be knee mere mr last mer let honey library mar
