the union will go on strike
the union will go on strike
Basic
Radial

0.6 0.6
432 388.8
Stationary 1563.535 327 374 -0.07638887 -0.03600823
Moved 1563.566 346.6905 383.1048 -0.03080899 -0.01259062
Moved 1563.597 365.0893 389.0383 0.01178076 0.002670406
Moved 1563.627 386.9693 395.9897 0.06242891 0.02054972
Moved 1563.658 413.7028 402.8228 0.1243119 0.03812444
Moved 1563.689 432.7615 409.5872 0.1684293 0.05552252
Moved 1563.72 452.0022 414.334 0.212968 0.06773148
Moved 1563.75 468.8657 422.1996 0.252004 0.08796193
Moved 1563.781 482.4307 430.823 0.2834044 0.1101413
Moved 1563.812 495.3564 440.8851 0.3133251 0.1360213
Moved 1563.842 505.0658 450.0659 0.3358005 0.1596343
Moved 1563.873 508.8871 455.7743 0.3446462 0.1743165
Moved 1563.904 512.4981 460.4981 0.3530048 0.1864663
Moved 1563.934 514.6215 465.243 0.3579202 0.1986702
Moved 1563.965 516 469.0853 0.3611111 0.2085527
Moved 1563.996 517 473.979 0.3634259 0.2211393
Moved 1564.027 517 475.8621 0.3634259 0.2259825
Moved 1564.057 518 481.2035 0.3657407 0.2397209
Moved 1564.088 519.2833 488.5667 0.3687114 0.258659
Ended 1564.119 519 498.6317 0.3680556 0.2845464
Candidates 1564.211 13 go ship gp do skip flip slip no skill gop ho shop fill
Began 1564.917 418 421 0.1342593 0.08487643
Stationary 1564.948 418 421 0.1342593 0.08487643
Stationary 1564.979 418 421 0.1342593 0.08487643
Moved 1565.009 446.3757 421 0.1999437 0.08487643
Moved 1565.04 474.2267 421 0.2644135 0.08487643
Moved 1565.071 495.6734 421 0.3140588 0.08487643
Moved 1565.101 506.2014 421 0.3384293 0.08487643
Moved 1565.132 512.9438 421 0.3540367 0.08487643
Moved 1565.163 516.0382 421 0.3611996 0.08487643
Ended 1565.194 518.9184 421 0.3678667 0.08487643
Accept 1565.255 0 go
Began 1565.685 515 495 0.3587963 0.2752057
Stationary 1565.716 515 495 0.3587963 0.2752057
Stationary 1565.746 515 495 0.3587963 0.2752057
Stationary 1565.777 515 495 0.3587963 0.2752057
Stationary 1565.808 515 495 0.3587963 0.2752057
Moved 1565.839 504.4178 480.8904 0.3343005 0.2389157
Moved 1565.869 491.2824 458.0556 0.3038946 0.1801841
Moved 1565.9 472.3776 418.859 0.2601333 0.07936984
Moved 1565.931 455.9866 385.3704 0.2221911 -0.006763434
Moved 1565.961 445.9444 361.1851 0.1989454 -0.06896839
Moved 1565.992 437.4954 337.9817 0.1793875 -0.128648
Moved 1566.023 433.1511 322.9067 0.1693313 -0.167421
Moved 1566.053 429.3282 309.3128 0.1604819 -0.2023847
Moved 1566.084 427 296.8069 0.1550926 -0.2345501
Moved 1566.115 426 287.7374 0.1527777 -0.2578772
Moved 1566.146 425 283.1142 0.150463 -0.2697681
Moved 1566.176 425 278.3724 0.150463 -0.2819639
Moved 1566.207 424 275.3082 0.1481481 -0.2898452
Moved 1566.238 424 272.5 0.1481481 -0.297068
Moved 1566.268 424 270.861 0.1481481 -0.3012835
Ended 1566.299 424 271 0.1481481 -0.300926
Candidates 1566.391 13 on in inn ion pb pin un job john pc pm omb ibm
Began 1566.944 366 368 0.01388888 -0.05144041
Stationary 1566.975 366 368 0.01388888 -0.05144041
Moved 1567.005 379.1107 368 0.04423767 -0.05144041
Moved 1567.036 397.4151 368 0.08660892 -0.05144041
Moved 1567.067 414.4485 368 0.1260383 -0.05144041
Moved 1567.098 422.9237 368 0.1456567 -0.05144041
Moved 1567.128 428.8297 368 0.1593281 -0.05144041
Moved 1567.159 433.7012 368 0.1706046 -0.05144041
Moved 1567.19 436.2231 368 0.1764424 -0.05144041
Moved 1567.22 439.0862 368 0.18307 -0.05144041
Ended 1567.251 439 368 0.1828703 -0.05144041
Accept 1567.313 0 on
Began 1567.835 258 386 -0.2361111 -0.005144111
