I can still feel your presence
I can still feel your presence
Basic
Radial

Moved 1897.723 426.0717 256.5352 0.1529437 -0.3381296
Moved 1897.753 434.888 240.1868 0.1733517 -0.380178
Moved 1897.784 443.5 228.5 0.193287 -0.4102367
Moved 1897.815 447.0558 221.8884 0.2015181 -0.4272417
Moved 1897.845 450.6127 217.3873 0.2097517 -0.4388187
Moved 1897.876 451.894 215.1061 0.2127175 -0.444686
Moved 1897.907 453 212.5887 0.2152778 -0.4511607
Moved 1897.938 454 211.0431 0.2175926 -0.4551362
Moved 1897.968 455 209.5096 0.2199073 -0.4590801
Moved 1897.999 455 209 0.2199073 -0.4603909
Moved 1898.03 455 207.6718 0.2199073 -0.4638073
Stationary 1898.061 455 208 0.2199073 -0.462963
Moved 1898.091 440.6979 208 0.1868007 -0.462963
Moved 1898.122 427.729 208 0.1567801 -0.462963
Moved 1898.153 403.7549 220.2451 0.1012846 -0.4314684
Moved 1898.183 374.9171 234.5414 0.03453046 -0.3946981
Moved 1898.214 317.1339 262.6429 -0.09922718 -0.3224206
Moved 1898.245 300.9149 269.8936 -0.136771 -0.3037716
Moved 1898.276 268.0462 287.4769 -0.2128561 -0.2585471
Moved 1898.306 242.6663 300.4764 -0.2716058 -0.225112
Moved 1898.337 229.3136 310.6864 -0.3025148 -0.1988518
Moved 1898.368 222.5 323 -0.318287 -0.1671811
Moved 1898.398 224 343.7625 -0.3148148 -0.1137796
Moved 1898.429 224 371 -0.3148148 -0.04372435
Moved 1898.46 242.2784 399.7656 -0.2725037 0.0302611
Moved 1898.491 254.5 427 -0.244213 0.1003086
Moved 1898.521 263.4033 446.8066 -0.2236034 0.1512516
Moved 1898.552 271.1934 463.3867 -0.2055709 0.1938958
Moved 1898.583 277.8192 478.6384 -0.1902333 0.2331234
Moved 1898.614 281.9691 488.9382 -0.1806271 0.2596146
Ended 1898.644 285 494 -0.1736111 0.2726337
Candidates 1898.798 13 presence preferences partner offense hence learned preference items lance legendary passenger parents lens
Began 1899.504 305 372 -0.1273148 -0.04115226
Stationary 1899.535 305 372 -0.1273148 -0.04115226
Moved 1899.566 320.8923 372 -0.09052713 -0.04115226
Moved 1899.596 343.7181 378.1027 -0.03768965 -0.02545627
Moved 1899.627 371.2106 379 0.02595047 -0.02314815
Moved 1899.658 387.0571 379 0.06263217 -0.02314815
Moved 1899.688 400.1354 379 0.09290605 -0.02314815
Moved 1899.719 407.5589 379 0.1100901 -0.02314815
Moved 1899.75 413.6415 379 0.1241701 -0.02314815
Moved 1899.781 417.0601 379.53 0.1320835 -0.0217849
Ended 1899.812 419 380.5 0.1365741 -0.0192902
Accept 1899.873 0 presence
Began 1900.242 537 354 0.4097222 -0.08744855
Stationary 1900.272 537 354 0.4097222 -0.08744855
Stationary 1900.303 537 354 0.4097222 -0.08744855
Stationary 1900.334 537 354 0.4097222 -0.08744855
Stationary 1900.364 537 354 0.4097222 -0.08744855
Moved 1900.395 560.8729 354 0.4649836 -0.08744855
Moved 1900.426 575.5 354 0.4988426 -0.08744855
Moved 1900.457 590.4403 361.5137 0.5334266 -0.06812311
Moved 1900.487 605 364.5 0.5671296 -0.06044246
Moved 1900.518 617.3347 367 0.5956823 -0.05401234
Moved 1900.549 621.1473 368.3824 0.6045077 -0.05045667
Moved 1900.579 626.6772 368 0.6173084 -0.05144041
Ended 1900.61 627 368 0.6180555 -0.05144041
PhraseEnd 1900.702
