a subject one can really enjoy
a subject one can really enjoy
Basic
Radial

0.6 0.6
432 388.8
Moved 551.8259 239.5685 440 -0.2787766 0.1337448
Ended 551.8567 240 440 -0.2777777 0.1337448
Cancel 551.918
Began 552.3172 535 583 0.4050927 0.5015431
Stationary 552.3479 535 583 0.4050927 0.5015431
Stationary 552.3786 535 583 0.4050927 0.5015431
Stationary 552.4093 535 583 0.4050927 0.5015431
Stationary 552.44 535 583 0.4050927 0.5015431
Stationary 552.4707 535 583 0.4050927 0.5015431
Stationary 552.5014 535 583 0.4050927 0.5015431
Stationary 552.5322 535 583 0.4050927 0.5015431
Stationary 552.5628 535 583 0.4050927 0.5015431
Stationary 552.5935 535 583 0.4050927 0.5015431
Stationary 552.6243 535 583 0.4050927 0.5015431
Stationary 552.655 535 583 0.4050927 0.5015431
Moved 552.6856 520.8485 569.0034 0.3723345 0.4655435
Moved 552.7163 479.5919 514.5638 0.2768331 0.3255242
Moved 552.7471 447.9839 460.7711 0.2036665 0.1871683
Moved 552.7778 428.2918 414.1003 0.1580828 0.06713043
Moved 552.8085 418.7761 377.6565 0.1360557 -0.02660374
Moved 552.8392 413.5103 347.5725 0.1238665 -0.1039802
Moved 552.8699 410.9487 331.7434 0.1179367 -0.144693
Moved 552.9006 410 309.4399 0.1157407 -0.202058
Moved 552.9313 410 288.0178 0.1157407 -0.257156
Moved 552.962 409 282.4355 0.113426 -0.2715137
Moved 552.9927 409 279.5638 0.113426 -0.2788996
Moved 553.0234 409 273.9104 0.113426 -0.2934403
Moved 553.0541 409 270.0453 0.113426 -0.3033813
Moved 553.0848 409 265.0828 0.113426 -0.3161451
Moved 553.1155 409 258.3286 0.113426 -0.3335172
Moved 553.1462 409 251.3387 0.113426 -0.3514951
Moved 553.1769 409 244.8297 0.113426 -0.3682364
Moved 553.2076 409 241.3677 0.113426 -0.3771408
Moved 553.2383 409 237.4957 0.113426 -0.3870995
Moved 553.269 409 235.5 0.113426 -0.3922326
Moved 553.2997 418.6177 234.6261 0.1356891 -0.3944803
Moved 553.3304 416 234 0.1296297 -0.3960905
Moved 553.3611 397.2269 257.2885 0.08617342 -0.3361923
Moved 553.3918 375.9783 290.5299 0.03698677 -0.2506948
Moved 553.4225 341.4198 348.649 -0.04300982 -0.1012115
Moved 553.4532 323.742 383.1397 -0.08393058 -0.01250075
Moved 553.4839 311.9604 402.8193 -0.1112029 0.03811553
Moved 553.5146 306.938 414.124 -0.1228287 0.06719138
Moved 553.5453 294.0966 437.5809 -0.1525541 0.1275227
Moved 553.576 287.8064 451.2904 -0.1671148 0.1627839
Moved 553.6068 283.0574 458.9426 -0.1781079 0.1824656
Moved 553.6375 280.0453 463.9547 -0.1850804 0.1953567
Moved 553.6682 274.279 469.721 -0.1984283 0.2101877
Moved 553.6989 269.5504 475.4496 -0.2093742 0.2249218
Moved 553.7296 264.8006 481.1995 -0.220369 0.2397104
Moved 553.7603 259.7183 486.2817 -0.2321335 0.252782
Moved 553.791 254.4856 490.5144 -0.2442463 0.2636687
Moved 553.8217 251.611 492 -0.2509004 0.2674896
Moved 553.8524 250 493.9318 -0.2546296 0.2724583
Moved 553.8831 247.625 495.375 -0.2601274 0.2761701
Moved 553.9138 247 496.0866 -0.2615741 0.2780005
Stationary 553.9445 247 496.0866 -0.2615741 0.2780005
Moved 553.9752 245.9763 496 -0.2639437 0.2777777
Ended 554.0059 246 497 -0.2638889 0.2803498
Candidates 554.098 13 line over pine point inner one under june once lines time love live
Began 555.8174 396 428 0.08333336 0.1028806
Moved 555.8481 373.4337 428 0.03109664 0.1028806
Moved 555.8788 339.9215 428 -0.04647792 0.1028806
Moved 555.9095 304.0183 428 -0.1295872 0.1028806
Moved 555.9402 260.1151 419.5797 -0.2312152 0.08122334
Moved 555.9709 233.3876 416.4194 -0.2930843 0.07309521
Moved 556.0016 212.984 413.8307 -0.3403148 0.06643687
Moved 556.0323 203.3102 413.3275 -0.3627079 0.06514274
Moved 556.063 193.0508 412 -0.3864565 0.06172835
Moved 556.0938 190.1496 412 -0.3931723 0.06172835
Moved 556.1245 187.7045 412 -0.3988321 0.06172835
Stationary 556.1552 187.7045 412 -0.3988321 0.06172835
Moved 556.1859 185.5 412 -0.4039352 0.06172835
Stationary 556.2166 185.5 412 -0.4039352 0.06172835
Ended 556.2473 186 412 -0.4027778 0.06172835
Cancel 556.3087
Began 556.9534 594 576 0.5416667 0.483539
Stationary 556.9841 594 576 0.5416667 0.483539
Stationary 557.0148 594 576 0.5416667 0.483539
Stationary 557.0455 594 576 0.5416667 0.483539
Stationary 557.0762 594 576 0.5416667 0.483539
Stationary 557.1069 594 576 0.5416667 0.483539
Stationary 557.1377 594 576 0.5416667 0.483539
Stationary 557.1683 594 576 0.5416667 0.483539
Stationary 557.199 594 576 0.5416667 0.483539
Stationary 557.2297 594 576 0.5416667 0.483539
Stationary 557.2605 594 576 0.5416667 0.483539
Stationary 557.2911 594 576 0.5416667 0.483539
Stationary 557.3218 594 576 0.5416667 0.483539
Stationary 557.3526 594 576 0.5416667 0.483539
Stationary 557.3833 594 576 0.5416667 0.483539
Stationary 557.414 594 576 0.5416667 0.483539
Stationary 557.4447 594 576 0.5416667 0.483539
Moved 557.4754 580.5 576 0.5104166 0.483539
Moved 557.5061 582.2632 576 0.5144983 0.483539
Moved 557.5367 572.5555 576 0.4920266 0.483539
Moved 557.5675 556.4482 564.5793 0.4547411 0.4541647
Moved 557.5982 549.6852 561.8741 0.4390861 0.4472069
Moved 557.6289 532.3625 554.2175 0.3989873 0.4275141
Moved 557.6596 518.754 550.1885 0.3674861 0.4171515
Moved 557.6903 506.5 547.5 0.3391203 0.4102365
Moved 557.7209 493.91 544.782 0.3099768 0.4032457
Moved 557.7518 482.7325 542.9108 0.2841029 0.3984331
Moved 557.7825 474.1114 543 0.2641468 0.3986624
Moved 557.8132 469.0624 542 0.2524593 0.3960905
Moved 557.8438 463.322 542 0.2391712 0.3960905
