a very traditional way to dress
a very traditional way to dress
FixStart
Radial

0.6 0.6
432 388.8
Moved 2235.857 462.1967 313.309 0.2365666 -0.1921066
Moved 2235.888 569.0484 262.4717 0.4839083 -0.3228608
Moved 2235.919 617.5 233 0.5960649 -0.3986626
Ended 2235.95 622 231 0.6064814 -0.4038066
Accept 2236.011 0 to
Began 2236.994 549 362 0.4375 -0.06687243
Stationary 2237.025 549 362 0.4375 -0.06687243
Stationary 2237.056 549 362 0.4375 -0.06687243
Moved 2237.086 535.263 369.6843 0.4057014 -0.04710845
Moved 2237.117 522.4033 372.3193 0.3759336 -0.040331
Moved 2237.148 508.638 374.0724 0.3440694 -0.03582213
Moved 2237.179 491.0703 374 0.3034033 -0.03600823
Moved 2237.209 478.0104 374 0.2731723 -0.03600823
Moved 2237.24 461.9491 375 0.2359934 -0.03343629
Moved 2237.271 451.9268 375 0.2127935 -0.03343629
Moved 2237.302 443.4086 375 0.1930755 -0.03343629
Moved 2237.332 440.0509 375 0.1853031 -0.03343629
Moved 2237.363 437.5 376 0.1793981 -0.03086435
Moved 2237.394 438 377 0.1805556 -0.02829226
Moved 2237.424 438 380.2195 0.1805556 -0.02001162
Moved 2237.455 438 385.0862 0.1805556 -0.007494466
Moved 2237.486 446.4562 393.3687 0.2001301 0.01380838
Moved 2237.517 454.6281 400.4188 0.2190467 0.03194126
Moved 2237.547 462.174 408.174 0.2365139 0.05188788
Moved 2237.578 471.5415 416.1561 0.2581979 0.07241794
Moved 2237.609 478.4134 422.2756 0.274105 0.0881573
Moved 2237.639 486.5936 430.6953 0.2930408 0.1098128
Moved 2237.67 493.6855 437.6855 0.3094573 0.127792
Moved 2237.701 502.1504 445.1505 0.3290519 0.1469918
Moved 2237.732 506.6821 449.8411 0.3395419 0.1590562
Moved 2237.762 509 453.6041 0.3449074 0.1687348
Moved 2237.793 511.0553 456.0553 0.349665 0.1750393
Moved 2237.824 511.8189 458.8188 0.3514326 0.1821472
Moved 2237.854 512 461.5879 0.3518519 0.1892692
Moved 2237.885 512 465.6682 0.3518519 0.1997639
Moved 2237.916 512 468.4769 0.3518519 0.2069879
Moved 2237.947 501.6188 472.9661 0.3278213 0.2185341
