the punishment should fit the crime
the punishment should fit the crime
Basic
Radial

0.6 0.6
432 388.8
Began 952.1777 340 515 -0.04629632 0.326646
Stationary 952.2084 340 515 -0.04629632 0.326646
Moved 952.2392 330.4517 515 -0.06839882 0.326646
Moved 952.2699 326.4222 515 -0.07772634 0.326646
Moved 952.3007 323.4081 515 -0.08470352 0.326646
Moved 952.3314 320.5334 515 -0.09135778 0.326646
Moved 952.3621 318.6674 515 -0.09567717 0.326646
Moved 952.3929 317.6845 515 -0.09795243 0.326646
Moved 952.4236 316.8684 515 -0.09984155 0.326646
Moved 952.4543 316 515 -0.1018519 0.326646
Moved 952.485 314.9984 515 -0.1041703 0.326646
Stationary 952.5157 315 515 -0.1041667 0.326646
Stationary 952.5465 315 515 -0.1041667 0.326646
Moved 952.5772 329.9016 493.373 -0.06967226 0.271021
Moved 952.608 342.8836 475.5862 -0.0396212 0.225273
Moved 952.6387 355.3516 454.2968 -0.01076013 0.1705163
Moved 952.6695 365.9156 433.2249 0.01369367 0.1163191
Moved 952.7002 375.5656 413.8687 0.0360316 0.06653468
Moved 952.731 379.4236 402.3057 0.04496197 0.03679448
Moved 952.7617 384.5832 393.1252 0.05690555 0.01318213
Moved 952.7924 385 388.8393 0.05787035 0.002158601
Moved 952.8231 386 387.2277 0.06018519 -0.00198639
Moved 952.8539 386 385.4361 0.06018519 -0.00659448
Moved 952.8846 386 385 0.06018519 -0.007716127
Moved 952.9153 375.0387 385 0.03481179 -0.007716127
Moved 952.946 360.3993 398.8006 0.0009243687 0.02777923
Moved 952.9768 340.3692 417.6307 -0.04544159 0.07621066
Moved 953.0075 320.3394 441.7248 -0.09180684 0.1381809
Moved 953.0382 303.5414 459.4586 -0.1306911 0.1837925
Moved 953.069 289.2719 469.8369 -0.1637223 0.2104857
Moved 953.0997 272.8914 483.2869 -0.2016402 0.2450792
Moved 953.1304 262.6085 495.0873 -0.2254433 0.2754302
Ended 953.1612 261 497.5 -0.2291666 0.2816358
Candidates 953.2534 13 the there where they threw she rights he urge other edge that trigger
Began 953.8066 269 418 -0.2106481 0.07716041
Stationary 953.8373 269 418 -0.2106481 0.07716041
Moved 953.868 286.5688 418 -0.1699796 0.07716041
Moved 953.8988 312.8325 418 -0.109184 0.07716041
Moved 953.9295 341.9154 418 -0.04186258 0.07716041
Moved 953.9603 371.7375 418 0.02717028 0.07716041
Moved 953.991 399.4428 418 0.09130288 0.07716041
Moved 954.0217 423.7818 418 0.147643 0.07716041
Ended 954.0524 440.0374 418 0.1852718 0.07716041
Accept 954.1139 0 the
Began 954.5442 341 332 -0.04398147 -0.144033
Stationary 954.575 341 332 -0.04398147 -0.144033
Stationary 954.6057 341 332 -0.04398147 -0.144033
Moved 954.6364 329.7917 310.375 -0.06992673 -0.1996529
Moved 954.6671 322.7674 295.3021 -0.08618658 -0.2384205
Moved 954.6979 316.0451 282.0901 -0.1017475 -0.272402
Moved 954.7286 310.2932 274.2932 -0.1150621 -0.2924557
Moved 954.7593 304.6782 266.6782 -0.1280597 -0.3120418
Moved 954.79 302.4764 264.4764 -0.1331565 -0.3177047
Moved 954.8208 298.7417 261.3708 -0.1418017 -0.3256923
Moved 954.8515 295.5006 259.5005 -0.1493042 -0.3305028
Moved 954.8823 292.9803 257.9803 -0.1551382 -0.3344129
