the back yard of our house
the back yard of our house
Basic
Radial

0.6 0.6
432 388.8
Moved 3212.903 371.6487 462.9731 0.02696464 0.1928319
Moved 3212.933 366.5 451 0.0150463 0.162037
Moved 3212.964 360.7623 442.6434 0.001764596 0.1405437
Moved 3212.995 357.0067 434.0201 -0.00692899 0.1183643
Moved 3213.025 352.2672 425.5344 -0.01790002 0.09653892
Moved 3213.056 347.4091 416.8181 -0.02914568 0.07412063
Moved 3213.087 341.4735 407.2103 -0.04288534 0.04940915
Moved 3213.118 336.8649 398.5948 -0.05355338 0.02724989
Moved 3213.148 331.9857 393.9715 -0.06484782 0.01535867
Moved 3213.179 326.9598 390.4799 -0.07648199 0.006378158
Moved 3213.21 319.8247 387.6082 -0.09299835 -0.001007677
Moved 3213.241 313.4734 384.7367 -0.1077005 -0.008393276
Moved 3213.271 305.4363 383.1454 -0.1263049 -0.01248607
Moved 3213.302 295.2651 381 -0.1498492 -0.01800419
Moved 3213.333 286.8869 380 -0.1692434 -0.02057613
Moved 3213.364 280.1404 380 -0.1848603 -0.02057613
Moved 3213.394 273.1713 380 -0.2009924 -0.02057613
Moved 3213.425 267.3627 380 -0.2144382 -0.02057613
Moved 3213.456 262.6161 380 -0.2254256 -0.02057613
Moved 3213.487 259.5 380 -0.2326389 -0.02057613
Moved 3213.517 255.8622 389.1378 -0.2410598 0.002926367
Moved 3213.548 252.9972 394.0057 -0.2476918 0.01544662
Moved 3213.579 250.1227 402.6319 -0.2543456 0.03763344
Moved 3213.609 249 408.9244 -0.2569445 0.05381792
Moved 3213.64 248 416.8363 -0.2592593 0.07416745
Moved 3213.671 248 425.4749 -0.2592593 0.09638586
Moved 3213.702 248 435.1176 -0.2592593 0.1211871
Moved 3213.732 251.7478 442.0708 -0.2505838 0.1390709
Moved 3213.763 258.399 448.7979 -0.2351876 0.1563731
Moved 3213.794 263.5419 456.8128 -0.2232827 0.1769876
Moved 3213.825 266.8629 462.7258 -0.2155952 0.1921958
Moved 3213.855 272.3849 468.3849 -0.2028126 0.2067513
Moved 3213.886 276.5642 474.1284 -0.1931385 0.2215234
Moved 3213.917 280.8777 479.8777 -0.1831535 0.2363109
Moved 3213.948 281.9519 482 -0.1806669 0.2417695
Moved 3213.978 283.5 483 -0.1770833 0.2443414
Moved 3214.009 284 484 -0.1759259 0.2469135
Ended 3214.04 284 484 -0.1759259 0.2469135
Candidates 3214.163 13 choose code cost those his this house chose course coffee shops god guide
Began 3215.638 378 402 0.04166663 0.03600815
Stationary 3215.669 378 402 0.04166663 0.03600815
