why do you ask silly questions
why do you ask silly questions
Basic
Radial

0.6 0.6
432 388.8
Moved 2743.549 312.205 483.41 -0.1106366 0.2453959
Moved 2743.58 315.4714 494.4142 -0.1030755 0.2736991
Moved 2743.61 319.0371 501.1114 -0.09482151 0.2909243
Moved 2743.641 324.8234 507.8234 -0.08142725 0.3081877
Moved 2743.672 331.5683 512.5683 -0.06581406 0.3203916
Moved 2743.703 339.9734 515.6578 -0.04635776 0.328338
Moved 2743.733 347.7625 517 -0.02832765 0.33179
Moved 2743.764 367.6014 518 0.01759589 0.3343621
Moved 2743.795 385.6273 518 0.05932262 0.3343621
Moved 2743.825 401.5 505.5 0.0960648 0.3022119
Moved 2743.856 421.5122 499.3719 0.1423893 0.2864504
Moved 2743.887 440.9715 492.8057 0.187434 0.2695619
Moved 2743.917 453.278 486.8888 0.2159212 0.2543435
Moved 2743.948 463.4155 481.7922 0.2393878 0.2412351
Moved 2743.979 473.4246 477.0503 0.2625569 0.2290387
Moved 2744.01 482.0258 472.6581 0.2824672 0.2177419
Moved 2744.04 489.438 470 0.2996251 0.2109053
Moved 2744.071 494.7356 468 0.3118881 0.2057612
Moved 2744.102 499.2223 465.3889 0.3222738 0.1990453
Moved 2744.133 502.4753 462.5248 0.3298038 0.1916789
Moved 2744.163 504.0444 459.9556 0.3334362 0.1850708
Moved 2744.194 504 453.146 0.3333333 0.1675564
Moved 2744.225 504 442.8188 0.3333333 0.1409949
Moved 2744.255 459.2703 380.9243 0.2297923 -0.01819885
Moved 2744.286 428.3991 340.7988 0.1583313 -0.1214024
Moved 2744.317 408.6046 309.2883 0.1125106 -0.2024479
Moved 2744.347 398.1465 290.2443 0.0883022 -0.2514294
Moved 2744.378 393 276.5 0.07638891 -0.2867798
Moved 2744.409 389.6813 261.4065 0.06870677 -0.3256007
Moved 2744.439 387.8076 248.4229 0.06436944 -0.3589948
Moved 2744.47 388 237.7928 0.06481478 -0.3863353
Moved 2744.501 388 228.563 0.06481478 -0.4100746
Moved 2744.532 388 220.5665 0.06481478 -0.4306417
Ended 2744.563 388 215.297 0.06481478 -0.4441949
Candidates 2744.655 13 question questions equation station retain season quotation duration strain austin rotation saturation regression
Began 2745.453 278.024 422 -0.1897594 0.08744851
Moved 2745.484 327.8134 430.1606 -0.07450591 0.1084378
Moved 2745.514 466.1283 459.3311 0.2456674 0.1834646
Moved 2745.545 531.605 463 0.3972338 0.1929011
