the collapse of the Roman empire
the collapse of the Roman empire
Basic
List

0.6 0.6
432 388.8
Moved 1300.485 438.4048 353.7302 0.1814926 -0.08814266
Moved 1300.516 445.2537 348.4976 0.1973464 -0.1016011
Moved 1300.547 450.54 344.46 0.2095832 -0.1119855
Moved 1300.578 454.4074 339.1852 0.2185356 -0.1255524
Moved 1300.608 459.2726 333.4548 0.2297978 -0.1402912
Moved 1300.639 463.602 323.9949 0.2398195 -0.1646221
Moved 1300.67 465 309.0055 0.2430555 -0.2031752
Moved 1300.701 465 291.2383 0.2430555 -0.2488727
Moved 1300.731 465 277.361 0.2430555 -0.2845655
Moved 1300.762 465 267.0734 0.2430555 -0.3110251
Moved 1300.793 457 260.3008 0.2245371 -0.3284446
Moved 1300.823 455 256.2853 0.2199073 -0.3387723
Moved 1300.854 453.853 253.7061 0.2172523 -0.3454062
Moved 1300.885 453 250.8744 0.2152778 -0.3526893
Stationary 1300.916 453 250.8744 0.2152778 -0.3526893
Moved 1300.946 451.7513 249.7513 0.2123872 -0.3555778
Stationary 1300.977 452 250 0.2129629 -0.3549383
