is there any indication of this
is there any indication of this
Basic
List

0.6 0.6
432 388.8
Moved 1503.574 356 481.6997 -0.009259283 0.2409971
Moved 1503.605 355.1119 485.7762 -0.0113151 0.2514821
Moved 1503.635 355 489.7582 -0.01157408 0.2617237
Moved 1503.666 355 491.2028 -0.01157408 0.2654392
Moved 1503.697 355 494.0999 -0.01157408 0.2728905
Moved 1503.728 355 497.0084 -0.01157408 0.2803714
Moved 1503.758 355 499.8829 -0.01157408 0.2877645
Moved 1503.789 355 504.5046 -0.01157408 0.2996516
Moved 1503.82 355 508.2966 -0.01157408 0.3094047
Moved 1503.85 365.1719 513.3438 0.01197189 0.3223861
Moved 1503.881 371.1049 517.0524 0.0257058 0.3319249
Moved 1503.912 376.6775 520.6775 0.03860523 0.3412486
Moved 1503.943 380.4247 522 0.0472794 0.3446501
Moved 1503.973 382.153 523 0.05128006 0.3472221
Ended 1504.004 382 524 0.05092591 0.3497942
Candidates 1504.066 13 any want danny amy abu rant danger angry sandy anti rabbit randy andy
Began 1504.926 518 472 0.3657407 0.2160493
Stationary 1504.957 518 472 0.3657407 0.2160493
Stationary 1504.988 518 472 0.3657407 0.2160493
Stationary 1505.018 518 472 0.3657407 0.2160493
Moved 1505.049 518 488.0559 0.3657407 0.2573454
Moved 1505.08 518 496.6362 0.3657407 0.2794139
Moved 1505.11 518 505.2415 0.3657407 0.3015469
Moved 1505.141 518 509.2605 0.3657407 0.3118839
Moved 1505.172 518 515 0.3657407 0.326646
Moved 1505.203 518 516.5 0.3657407 0.3305041
Moved 1505.233 518 519.2416 0.3657407 0.3375556
Moved 1505.264 518 520.7423 0.3657407 0.3414153
Moved 1505.295 518 522.307 0.3657407 0.3454397
Moved 1505.326 518 523.1585 0.3657407 0.3476298
Moved 1505.356 518 524.0106 0.3657407 0.3498213
Stationary 1505.387 518 524.0106 0.3657407 0.3498213
Moved 1505.418 510.2235 525.7765 0.3477397 0.3543633
Moved 1505.448 503.4115 527.6471 0.3319711 0.3591745
Moved 1505.479 485.0197 528 0.2893974 0.3600822
Moved 1505.51 476.7994 528 0.2703691 0.3600822
Moved 1505.541 451.6671 503.6671 0.2121922 0.2974975
Moved 1505.571 427 471.5 0.1550926 0.2147633
Moved 1505.602 404.4376 424.4109 0.1028647 0.09364936
Moved 1505.633 398.5573 380.7942 0.08925299 -0.01853354
Moved 1505.664 399 344.7645 0.09027779 -0.1112024
Moved 1505.694 399 313.6748 0.09027779 -0.1911656
Moved 1505.725 407.5 286 0.1099537 -0.2623458
Moved 1505.756 410.3895 266.2734 0.1166423 -0.3130828
Moved 1505.786 413.2575 249.7124 0.1232814 -0.355678
Moved 1505.817 414 235.9464 0.125 -0.3910844
Moved 1505.848 414 225.7283 0.125 -0.4173656
Moved 1505.879 414 219 0.125 -0.4346708
Moved 1505.91 414 214.9607 0.125 -0.4450599
Moved 1505.94 393.7198 230.6404 0.07805506 -0.4047316
Moved 1505.971 370.7101 263.0074 0.02479176 -0.3214831
Moved 1506.002 353.0051 291.9924 -0.016192 -0.2469332
Moved 1506.032 334.3897 319.3259 -0.05928302 -0.1766308
Moved 1506.063 312.6133 344.3867 -0.1096914 -0.1121742
Moved 1506.094 293.5183 364.4817 -0.1538927 -0.06048955
Moved 1506.125 279.5663 379.4337 -0.1861892 -0.0220327
Moved 1506.155 273.6403 387.7194 -0.1999067 -0.000721692
Moved 1506.186 269.7765 396.6704 -0.2088507 0.02230044
Moved 1506.217 270 404.1894 -0.2083333 0.0416393
Moved 1506.248 270 410.894 -0.2083333 0.05888382
Moved 1506.278 270 420.0028 -0.2083333 0.0823117
Moved 1506.309 279.742 431.4841 -0.1857823 0.1118417
Moved 1506.34 285.7475 440.9966 -0.1718809 0.1363081
Moved 1506.37 299.7235 452.4823 -0.139529 0.1658494
Moved 1506.401 330.0821 465.4868 -0.06925449 0.1992973
Moved 1506.432 374 474 0.03240744 0.2211934
Moved 1506.463 418.3809 482.0508 0.1351409 0.2419001
Moved 1506.493 451.1492 487.9055 0.2109935 0.2569584
Moved 1506.524 476.4537 490 0.2695688 0.2623456
Moved 1506.555 498.5528 492 0.320724 0.2674896
Moved 1506.586 509.506 492 0.3460788 0.2674896
Moved 1506.616 515.04 492 0.358889 0.2674896
Moved 1506.647 517.9255 492 0.3655682 0.2674896
Moved 1506.678 519.3594 492 0.3688876 0.2674896
Moved 1506.708 504.1256 470.3644 0.333624 0.2118426
Moved 1506.739 443.0037 407.7658 0.1921383 0.0508379
Moved 1506.77 428.3786 390.1715 0.1582839 0.005585117
Moved 1506.801 412.184 366.64 0.1207963 -0.05493831
Moved 1506.831 394.9831 340.4746 0.08097927 -0.1222361
Moved 1506.862 382.5125 317.0249 0.05211214 -0.1825491
Moved 1506.893 373.2319 296.4637 0.03062933 -0.2354328
Moved 1506.924 366.5063 281.2659 0.015061 -0.274522
Moved 1506.954 359.76 262.9001 -0.0005554656 -0.3217589
Moved 1506.985 355.5053 250.0211 -0.01040444 -0.354884
Moved 1507.016 350.9371 242.9056 -0.020979 -0.3731851
Moved 1507.047 348.0919 235.2756 -0.02756516 -0.3928096
Moved 1507.077 343.435 231.2175 -0.03834486 -0.4032471
Moved 1507.108 337.0456 229 -0.05313521 -0.4089506
Moved 1507.139 324.777 229 -0.08153463 -0.4089506
Moved 1507.169 303.6313 249.3226 -0.1304831 -0.3566805
Moved 1507.2 273.834 284.9385 -0.1994583 -0.2650758
Moved 1507.231 238 333.5 -0.2824074 -0.140175
Moved 1507.262 206.7601 380.0399 -0.3547221 -0.02047354
Moved 1507.292 189.6462 405.0307 -0.3943375 0.04380324
Moved 1507.323 176.541 421.5507 -0.4246735 0.08629292
Moved 1507.354 167.4762 430.8929 -0.4456571 0.1103211
Moved 1507.385 160 439.5 -0.462963 0.1324588
Moved 1507.415 155.629 443.742 -0.473081 0.1433692
Moved 1507.446 152.7601 446.2399 -0.4797221 0.149794
Moved 1507.477 151.2579 448 -0.4831993 0.1543209
Moved 1507.508 151 450.6063 -0.4837963 0.1610244
Moved 1507.538 161.0172 459.7319 -0.4606084 0.1844957
Moved 1507.569 169.1084 465.0775 -0.4418786 0.1982444
Moved 1507.6 208.5474 487.17 -0.3505847 0.2550668
Moved 1507.63 255.1119 509.399 -0.2427965 0.3122402
Moved 1507.661 296.5399 523.8849 -0.1468985 0.3494983
Moved 1507.692 324.4579 530.4374 -0.08227349 0.3663512
Moved 1507.723 350.1599 534.0178 -0.02277797 0.37556
Moved 1507.753 377.0332 535.8926 0.03942867 0.380382
Moved 1507.784 395.5 536 0.08217593 0.3806583
Moved 1507.815 420.9875 536 0.1411747 0.3806583
Moved 1507.846 445.8821 536 0.1988011 0.3806583
Moved 1507.876 467.5635 536 0.2489896 0.3806583
Moved 1507.907 480.7234 536 0.2794524 0.3806583
Moved 1507.938 491.9797 529 0.3055085 0.3626543
Moved 1507.968 504.4582 526.6354 0.334394 0.3565725
Moved 1507.999 514.9368 526 0.3586499 0.3549381
Moved 1508.03 522.2239 523.2587 0.3755182 0.3478877
Moved 1508.061 527.6091 520.3909 0.3879841 0.3405114
Moved 1508.091 531.9727 513.0547 0.3980848 0.3216428
Moved 1508.122 533 502.836 0.4004629 0.29536
Moved 1508.153 512.2971 454.2698 0.3525395 0.170447
Moved 1508.184 501.0495 432.3268 0.3265035 0.1140091
Moved 1508.214 484.4054 400.1621 0.2879755 0.03128114
Moved 1508.245 472.1245 367.1983 0.2595474 -0.05350238
Moved 1508.276 461.8813 338.6044 0.2358364 -0.1270462
Moved 1508.307 451.2984 303.9945 0.2113388 -0.2160636
Moved 1508.337 448.5 285.5 0.2048611 -0.2636318
Moved 1508.368 444.6429 263.5004 0.1959327 -0.3202152
Moved 1508.399 442.7728 247.8641 0.1916038 -0.3604317
Moved 1508.429 443 234.6204 0.1921296 -0.3944949
Moved 1508.46 443 224.5048 0.1921296 -0.4205124
Moved 1508.491 443 212.059 0.1921296 -0.4525233
Moved 1508.522 442 203.8578 0.1898148 -0.4736167
Moved 1508.552 439.7637 196.2911 0.1846382 -0.4930785
Ended 1508.583 440 194.5668 0.1851852 -0.4975135
Accept 1508.675 0 any
Candidates 1508.675 13 indication information imagination publication innovation incubation induction instruction observation inflation obstruction obligation medication
Began 1509.198 465 412 0.2430555 0.06172835
Stationary 1509.229 465 412 0.2430555 0.06172835
Stationary 1509.259 465 412 0.2430555 0.06172835
Moved 1509.29 465 426.3398 0.2430555 0.09861062
Moved 1509.321 465 440.8661 0.2430555 0.1359726
Moved 1509.351 465 453.6047 0.2430555 0.1687362
Moved 1509.382 465 465.0646 0.2430555 0.1982114
Moved 1509.413 465 474.6022 0.2430555 0.2227421
Moved 1509.444 465 480.7917 0.2430555 0.2386617
Moved 1509.474 465 485.2666 0.2430555 0.2501713
Moved 1509.505 472 489.1416 0.2592593 0.2601379
Moved 1509.536 473 490.5 0.2615741 0.2636316
Moved 1509.566 475 491.5798 0.2662037 0.2664089
Moved 1509.597 476.0114 492 0.2685449 0.2674896
Moved 1509.628 478.1603 493 0.2735192 0.2700616
Moved 1509.659 479 494.8552 0.275463 0.2748332
Moved 1509.689 479 496.7282 0.275463 0.2796507
Moved 1509.72 479 501.2122 0.275463 0.2911836
Moved 1509.751 479 506.1597 0.275463 0.3039085
Moved 1509.782 472.0942 510.9731 0.2594774 0.3162887
Moved 1509.812 470.1458 516.7084 0.2549671 0.3310402
Moved 1509.843 467.5568 521.4432 0.248974 0.3432182
Moved 1509.874 457.931 528.8018 0.2266922 0.3621444
Moved 1509.905 442.4335 535.1416 0.1908184 0.3784505
Moved 1509.935 425.9684 536 0.1527046 0.3806583
Moved 1509.966 404.0975 536 0.1020775 0.3806583
Moved 1509.997 386.5645 524.7822 0.06149183 0.351806
Moved 1510.027 370.3596 516.1798 0.02398054 0.3296805
Moved 1510.058 346.7582 500.1722 -0.03065223 0.2885087
Moved 1510.089 328.9897 486.7054 -0.07178321 0.2538718
Moved 1510.12 312.0879 472.0879 -0.1109078 0.2162754
Moved 1510.151 297.7182 459.1746 -0.1441709 0.1830621
Moved 1510.181 287.039 448.7186 -0.1688912 0.1561693
Moved 1510.212 277.3986 440.3986 -0.1912069 0.1347701
Moved 1510.243 268.8038 431.8038 -0.2111024 0.112664
Moved 1510.273 262.7964 424.7964 -0.2250084 0.09464078
Moved 1510.304 258.9222 419.7667 -0.2339763 0.08170449
Moved 1510.335 256.0263 416.0526 -0.2406799 0.07215154
Moved 1510.366 254.1532 412.3064 -0.2450158 0.06251637
Moved 1510.396 253 407.5529 -0.2476852 0.05029035
Moved 1510.427 253 401.4363 -0.2476852 0.03455845
Moved 1510.458 253 395.7081 -0.2476852 0.01982528
Moved 1510.489 253 389.9789 -0.2476852 0.005089638
Moved 1510.519 263.5 385 -0.2233796 -0.007716127
Moved 1510.55 261 380.2178 -0.2291666 -0.02001594
Moved 1510.581 263.2458 377.7542 -0.223968 -0.02635241
Ended 1510.611 263 374.5 -0.2245371 -0.03472222
Accept 1510.704 0 indication
Candidates 1510.704 13 his hits hours its is lots kids lord of kiss puts goes toys
Began 1511.595 99 436 -0.6041667 0.1234567
Stationary 1511.626 99 436 -0.6041667 0.1234567
Ended 1511.656 99 436 -0.6041667 0.1234567
Accept 1511.718 0 his
Delete 1511.718 LeftSwipe
Began 1512.117 572 500 0.4907407 0.2880658
Stationary 1512.148 572 500 0.4907407 0.2880658
Stationary 1512.179 572 500 0.4907407 0.2880658
Stationary 1512.21 572 500 0.4907407 0.2880658
Stationary 1512.24 572 500 0.4907407 0.2880658
Stationary 1512.271 572 500 0.4907407 0.2880658
Stationary 1512.302 572 500 0.4907407 0.2880658
Stationary 1512.332 572 500 0.4907407 0.2880658
Moved 1512.363 560.6315 500 0.4644247 0.2880658
Moved 1512.394 553.5037 508.737 0.4479254 0.3105374
Moved 1512.425 547.8862 508 0.4349218 0.3086419
Moved 1512.455 542.7554 509 0.423045 0.3112139
Moved 1512.486 539.5049 510 0.4155207 0.3137859
Moved 1512.517 535.2032 510.7968 0.4055629 0.3158353
Moved 1512.548 534.0707 511 0.4029414 0.3163579
Moved 1512.578 530.2236 511 0.3940361 0.3163579
Moved 1512.609 525.3484 511 0.382751 0.3163579
Moved 1512.64 519.9492 511 0.3702528 0.3163579
Moved 1512.67 513.9147 512 0.356284 0.31893
Moved 1512.701 500.9574 512 0.3262903 0.31893
Moved 1512.732 495.5567 512 0.3137887 0.31893
Moved 1512.763 493 512 0.3078704 0.31893
Moved 1512.793 487.5381 512 0.295227 0.31893
Moved 1512.824 476.6039 501.0098 0.2699164 0.2906629
Moved 1512.855 459.2101 489.1575 0.2296529 0.2601787
Moved 1512.885 440.9731 471.9731 0.1874377 0.2159801
Moved 1512.916 409.3851 445.6757 0.1143174 0.1483427
Moved 1512.947 387.9229 428.0768 0.06463648 0.1030781
Moved 1512.978 368.8391 414.9081 0.02046089 0.06920791
Moved 1513.009 353.8265 405.8843 -0.01429041 0.04599869
Moved 1513.039 337.6042 396.8021 -0.05184224 0.02263901
Moved 1513.07 325.6289 390.1774 -0.07956271 0.005600187
Moved 1513.101 315.5315 387.1329 -0.1029364 -0.002230342
