I want to hold your hand
Basic
0.6 0.6
432 388.8
Moved 1740.6 401.4054 248.5946 0.09584586 -0.3585531
Moved 1740.631 384.3009 268.3274 0.05625209 -0.3077999
Moved 1740.661 370.2831 286.2602 0.02380361 -0.2616765
Moved 1740.692 358.2187 300.7375 -0.004123399 -0.2244406
Moved 1740.723 341.579 319.7894 -0.04264126 -0.1754388
Moved 1740.754 326.9597 337.4484 -0.07648229 -0.1300195
Moved 1740.784 314.3384 351.6616 -0.1056981 -0.09346306
Moved 1740.815 301 366 -0.1365741 -0.05658444
Moved 1740.846 285.2553 387.2431 -0.1730201 -0.001946791
Moved 1740.876 273.1822 401.8179 -0.2009672 0.03553968
Moved 1740.907 261 414 -0.2291666 0.06687239
Moved 1740.938 248.4389 424.4208 -0.2582433 0.09367495
Moved 1740.969 237.5493 430.7253 -0.2834506 0.1098902
Moved 1740.999 228.24 435.5867 -0.305 0.1223936
Moved 1741.03 220.0046 439.9977 -0.3240635 0.133739
Ended 1741.061 218 441 -0.3287037 0.1363167
PhraseEnd 1742.658
