a very traditional way to dress
Basic
0.6 0.6
432 388.8
Moved 765.835 238.6575 478.2875 -0.2808854 0.232221
Moved 765.8657 245 499 -0.2662037 0.2854938
Moved 765.8964 253.3647 518.6382 -0.2468409 0.3360036
Moved 765.9272 264.8517 539.7776 -0.2202506 0.3903744
Moved 765.9579 275.5195 555.1992 -0.1955567 0.4300389
Moved 765.9886 282.8611 567.4351 -0.1785624 0.46151
Moved 766.0194 289.4772 575.7158 -0.1632473 0.4828079
Moved 766.0501 291 579.1205 -0.1597222 0.4915651
Moved 766.0809 291 580.9926 -0.1597222 0.4963801
Moved 766.1116 291 581.5 -0.1597222 0.4976851
Moved 766.1423 291 581 -0.1597222 0.496399
Stationary 766.173 291 581 -0.1597222 0.496399
Moved 766.2037 280.4514 581 -0.1841402 0.496399
Moved 766.2345 270.2882 566.2882 -0.2076662 0.4585601
Moved 766.2652 258 550 -0.2361111 0.4166666
Moved 766.296 245.3479 528.6957 -0.2653985 0.3618715
Moved 766.3267 236.214 507.5706 -0.2865417 0.3075375
Moved 766.3575 228.6162 486.4377 -0.3041292 0.2531835
Moved 766.3882 222.6504 467.2766 -0.3179388 0.2039005
Moved 766.4189 219.5 454 -0.3252315 0.169753
Moved 766.4496 216.8852 443.5409 -0.3312842 0.142852
Moved 766.4803 213.0159 431.0638 -0.3402408 0.1107606
Moved 766.511 210.1488 421.5953 -0.3468777 0.08640752
Moved 766.5419 206.414 412.8281 -0.3555231 0.06385811
Moved 766.5726 203.742 404.226 -0.3617084 0.04173338
Moved 766.6033 200.8656 395.7313 -0.3683665 0.01988493
Moved 766.634 199 386.9805 -0.3726852 -0.002622172
Moved 766.6647 197.4934 379.9734 -0.3761728 -0.0206445
Moved 766.6955 197 370.469 -0.3773148 -0.04509011
Moved 766.7263 197 359.0224 -0.3773148 -0.07453086
Moved 766.757 197 350.4509 -0.3773148 -0.09657706
Moved 766.7877 205.6748 340.9756 -0.3572343 -0.1209474
Moved 766.8184 210.545 332.91 -0.3459606 -0.1416925
Moved 766.8492 214.8336 327.1664 -0.3360333 -0.1564649
Moved 766.8799 216 325.0649 -0.3333333 -0.1618702
Moved 766.9106 218.8018 322.1982 -0.3268477 -0.1692434
Moved 766.9414 221.6666 319.3334 -0.3202163 -0.1766117
Moved 766.9721 224.5 316.5 -0.3136574 -0.1838992
Moved 767.0029 229.2059 313.8971 -0.3027642 -0.190594
Moved 767.0336 232.9444 311 -0.2941101 -0.1980453
Moved 767.0643 234.8405 308.1595 -0.289721 -0.2053512
Moved 767.095 237.2808 307 -0.2840722 -0.2083334
Moved 767.1258 239.2387 306 -0.2795399 -0.2109054
Moved 767.1566 240 305 -0.2777777 -0.2134774
Moved 767.1873 241.5 304 -0.2743055 -0.2160494
Moved 767.218 242.0159 302.9841 -0.2731114 -0.2186623
Moved 767.2487 243 303 -0.2708333 -0.2186215
Moved 767.2795 244.2201 302 -0.2680089 -0.2211935
Moved 767.3102 244.8245 301.1755 -0.26661 -0.223314
Ended 767.3409 245 301 -0.2662037 -0.2237656
PhraseEnd 768.5088
