I listen to the tape everyday
Basic
0.6 0.6
432 388.8
Moved 1487.71 542.6719 524.6719 0.4228517 0.3515224
Moved 1487.741 545.398 526 0.4291621 0.3549381
Moved 1487.772 547.5 528.5 0.4340278 0.3613682
Moved 1487.802 548 529.5578 0.4351853 0.3640889
Moved 1487.833 549.5 530 0.4386574 0.3652262
Moved 1487.864 549 531 0.4375 0.3677982
Stationary 1487.895 549 531 0.4375 0.3677982
Moved 1487.925 535.122 531 0.405375 0.3677982
Moved 1487.956 517.9171 531.869 0.3655488 0.3700333
Moved 1487.987 498.8058 532 0.3213097 0.3703703
Moved 1488.017 481.0333 534.3278 0.2801695 0.3763573
Moved 1488.048 464.1395 536.3887 0.2410637 0.381658
Moved 1488.079 449.9159 539.4168 0.2081387 0.3894464
Moved 1488.11 428 542.5 0.1574074 0.3973764
Moved 1488.14 422.7101 542.658 0.1451622 0.3977827
Moved 1488.171 409.6384 544.2723 0.1149037 0.4019349
Moved 1488.202 397.9897 545 0.0879392 0.4038065
Moved 1488.233 385.349 546.7302 0.05867819 0.4082567
Moved 1488.263 374.5487 547 0.03367751 0.4089505
Moved 1488.294 361.7941 547 0.004153053 0.4089505
Moved 1488.325 346.0219 547 -0.03235678 0.4089505
Moved 1488.355 327.9835 547 -0.07411221 0.4089505
Moved 1488.386 309.5066 541.2281 -0.1168828 0.3941052
Moved 1488.417 297.189 537.9099 -0.1453958 0.3855707
Moved 1488.448 269.4372 528.8124 -0.2096362 0.3621716
Moved 1488.478 255.0625 525.2125 -0.2429108 0.3529128
Moved 1488.509 242.0208 521.8041 -0.2730999 0.3441463
Moved 1488.54 229.4993 517.1997 -0.302085 0.3323037
Moved 1488.57 220.0572 513.7048 -0.3239417 0.3233148
Moved 1488.601 213.2509 510.6254 -0.3396971 0.3153945
Ended 1488.632 211.4204 509.7102 -0.3439342 0.3130406
Began 1489.891 370 540 0.02314816 0.3909464
Stationary 1489.922 370 540 0.02314816 0.3909464
Stationary 1489.953 370 540 0.02314816 0.3909464
Stationary 1489.984 370 540 0.02314816 0.3909464
Stationary 1490.014 370 540 0.02314816 0.3909464
Stationary 1490.045 370 540 0.02314816 0.3909464
Moved 1490.076 358.7395 533 -0.002917796 0.3729423
Moved 1490.107 355.0429 530.0215 -0.01147474 0.3652815
Moved 1490.137 351.259 527.6295 -0.02023379 0.3591293
Moved 1490.168 347.9031 524.9031 -0.02800207 0.352117
Moved 1490.198 343.3574 522.1787 -0.03852447 0.3451099
Moved 1490.229 340.5 521 -0.0451389 0.3420781
Moved 1490.26 336.0197 518.0098 -0.05551001 0.3343874
Moved 1490.291 331.5729 515.2864 -0.06580348 0.3273827
Moved 1490.322 327.5628 512.5629 -0.07508601 0.3203777
Moved 1490.352 322.2345 510.1172 -0.0874201 0.3140875
Moved 1490.383 313.1356 506.0678 -0.1084824 0.3036723
Moved 1490.414 309.1212 504.7071 -0.1177749 0.3001725
Moved 1490.444 302.9512 502.9838 -0.1320573 0.2957401
Moved 1490.475 297.1285 503 -0.1455358 0.2957818
Moved 1490.506 289.6628 502 -0.1628177 0.2932098
Moved 1490.537 285.6385 502 -0.172133 0.2932098
Moved 1490.567 277.6755 502 -0.190566 0.2932098
Moved 1490.598 272.269 508.0583 -0.2030809 0.308792
Moved 1490.629 264.8592 511.5704 -0.2202333 0.3178249
