electric cars need big fuel cells
Basic
0.6 0.6
432 388.8
Moved 1421.379 430.5944 578.5944 0.163413 0.4902119
Moved 1421.41 414.0352 554.6216 0.1250813 0.4285536
Moved 1421.441 398.9284 531.9164 0.09011209 0.3701554
Moved 1421.471 386.4824 509.7236 0.06130179 0.313075
Moved 1421.502 375.8687 485.311 0.03673295 0.2502855
Moved 1421.533 367.1434 465.0013 0.01653562 0.1980485
Moved 1421.564 359.6881 444.9085 -0.0007219116 0.1463696
Moved 1421.594 353.4994 426.9976 -0.01504769 0.1003023
Moved 1421.625 346.9565 405.3477 -0.03019333 0.04461857
Moved 1421.656 343.6017 390.0085 -0.03795907 0.005165775
Moved 1421.687 341.7314 379.9254 -0.04228855 -0.02076796
Moved 1421.717 340.1877 370.7507 -0.04586186 -0.04436548
Moved 1421.748 339.3177 361.9531 -0.04787574 -0.06699322
Moved 1421.779 339 354.3604 -0.04861111 -0.0865218
Moved 1421.81 339 347.1897 -0.04861111 -0.1049648
Moved 1421.84 339 341.1348 -0.04861111 -0.120538
Moved 1421.871 339 335.1978 -0.04861111 -0.1358081
Moved 1421.902 339 332.3288 -0.04861111 -0.1431873
Moved 1421.932 339 330.8961 -0.04861111 -0.1468723
Stationary 1421.963 339 331 -0.04861111 -0.146605
Stationary 1421.994 339 331 -0.04861111 -0.146605
Moved 1422.025 352.5 348.5 -0.0173611 -0.1015947
Ended 1422.055 352.5 348.5 -0.0173611 -0.1015947
Began 1422.916 321 309 -0.09027779 -0.2031893
Stationary 1422.946 321 309 -0.09027779 -0.2031893
Stationary 1422.977 321 309 -0.09027779 -0.2031893
Stationary 1423.008 321 309 -0.09027779 -0.2031893
Stationary 1423.039 321 309 -0.09027779 -0.2031893
Moved 1423.069 311.0903 323.8193 -0.1132168 -0.1650737
Moved 1423.1 308.5 331.5 -0.119213 -0.145319
Moved 1423.131 304.6794 343.2822 -0.1280569 -0.1150151
Moved 1423.161 300.8213 352.7147 -0.1369877 -0.09075432
Moved 1423.192 297.9413 361.1762 -0.1436545 -0.06899123
Moved 1423.223 298 369.8752 -0.1435185 -0.04661717
Moved 1423.254 298 384.2095 -0.1435185 -0.009749337
Moved 1423.284 298 397.3016 -0.1435185 0.02392372
Moved 1423.315 312.8692 414.2169 -0.109099 0.06743027
Moved 1423.346 327.4619 430.4619 -0.07531955 0.1092127
Moved 1423.376 343.6947 448.0789 -0.0377438 0.1545239
Moved 1423.407 358.9266 460.9266 -0.002484769 0.1875683
Moved 1423.438 376.1031 472.0737 0.03727585 0.2162388
Moved 1423.469 390.5207 483.5207 0.07064978 0.2456807
Moved 1423.499 404.4703 497.7253 0.1029406 0.2822152
Moved 1423.53 417.0887 510.4709 0.1321498 0.3149972
Moved 1423.561 425.4813 516.2406 0.151577 0.3298369
Moved 1423.592 433.9195 522.9598 0.17111 0.3471187
Moved 1423.622 441.5551 528.7034 0.1887848 0.3618913
Moved 1423.653 447.5 533 0.2025463 0.3729423
Moved 1423.684 450.2583 536.2583 0.2089313 0.3813228
Moved 1423.714 454 539.5645 0.2175926 0.3898263
Stationary 1423.745 454 540 0.2175926 0.3909464
Moved 1423.776 454 541 0.2175926 0.3935184
Stationary 1423.807 454 541 0.2175926 0.3935184
Moved 1423.837 437.7284 541 0.1799268 0.3935184
Moved 1423.868 419.1547 532.0339 0.1369321 0.3704574
Moved 1423.899 400.5012 527.3002 0.09375284 0.3582824
Moved 1423.93 384.1854 522.4371 0.05598476 0.3457743
Moved 1423.96 367.3463 517.1154 0.0170054 0.3320868
