in sharp contrast to your words
Basic
0.6 0.6
432 388.8
Moved 573.4562 529 499.5 0.3912036 0.2867798
Moved 573.4869 530.8801 499 0.3955557 0.2854938
Moved 573.5176 533.2765 499 0.401103 0.2854938
Ended 573.5484 533.2765 499 0.401103 0.2854938
Began 574.0092 293 301 -0.1550926 -0.2237656
Stationary 574.0399 293 301 -0.1550926 -0.2237656
Stationary 574.0707 293 301 -0.1550926 -0.2237656
Stationary 574.1014 293 301 -0.1550926 -0.2237656
Moved 574.1321 315.7229 329.8261 -0.1024934 -0.1496243
Moved 574.1628 337.7783 357.7228 -0.05143915 -0.07787335
Moved 574.1935 357 382 -0.006944438 -0.01543218
Moved 574.2242 373.2361 400.2361 0.03063927 0.03147149
Moved 574.2549 387.2001 415.2001 0.06296317 0.06995899
Moved 574.2857 399.4903 427.4903 0.09141275 0.1015697
Moved 574.3165 411.3761 442.0513 0.1189261 0.1390207
Moved 574.3472 426.7525 459.303 0.1545198 0.1833926
Moved 574.3779 438.7118 473.1397 0.1822032 0.2189807
Moved 574.4086 452.4455 484.1564 0.2139942 0.2473157
Moved 574.4393 460.6555 492.6555 0.2329989 0.2691756
Moved 574.4701 471.1103 502.1102 0.2571997 0.2934933
Moved 574.5008 478.1498 508.1498 0.2734949 0.3090272
Moved 574.5315 483.1104 511 0.2849779 0.3163579
Moved 574.5622 486.9466 514.9466 0.2938578 0.3265086
Moved 574.593 489.5 516.5 0.2997685 0.3305041
Moved 574.6237 490.6985 517 0.3025428 0.33179
Stationary 574.6544 491 517 0.3032407 0.33179
Moved 574.6851 491 506.4377 0.3032407 0.3046238
Moved 574.7158 469.114 463.2565 0.2525786 0.1935607
Moved 574.7466 442.8979 411.158 0.1918932 0.05956253
Moved 574.7773 426.4497 365.9615 0.1538187 -0.0566835
Moved 574.808 418.4965 342.2377 0.1354085 -0.1177013
Moved 574.8387 412.8853 313.9675 0.1224196 -0.1904128
Moved 574.8694 409.3112 297.867 0.1141462 -0.2318235
Moved 574.9002 406.4381 283.7526 0.1074957 -0.2681262
Moved 574.9309 404.5724 272.2897 0.1031769 -0.2976087
Moved 574.9617 402.6993 265.3987 0.09884109 -0.3153327
Moved 574.9924 402 260.3179 0.09722222 -0.3284005
Moved 575.0231 397.8434 260 0.08760035 -0.3292181
Moved 575.0538 377.1741 286.2388 0.03975491 -0.2617315
Moved 575.0845 357.4074 321.037 -0.006001294 -0.17223
Moved 575.1153 335.2028 369.5606 -0.05740096 -0.04742642
Moved 575.146 322.6333 402.4167 -0.08649691 0.03707992
Moved 575.1767 313.8734 426.6711 -0.1067747 0.09946253
Moved 575.2075 307.4616 442.3459 -0.1216166 0.1397787
Moved 575.2382 302.7183 457.7043 -0.1325966 0.1792805
Moved 575.2689 297.9902 471.0392 -0.1435412 0.2135781
Moved 575.2996 295.3529 479.9414 -0.1496461 0.2364747
Moved 575.3303 293.614 488.158 -0.1536714 0.257608
Moved 575.3611 294 496.7905 -0.1527778 0.2798108
Moved 575.3918 294 506.4471 -0.1527778 0.3046477
Moved 575.4225 294 514.3126 -0.1527778 0.3248781
Moved 575.4532 294 515.5 -0.1527778 0.327932
Moved 575.4839 294 517.4606 -0.1527778 0.3329748
Moved 575.5146 294 519.5 -0.1527778 0.3382201
Moved 575.5454 294 520.2242 -0.1527778 0.3400828
Moved 575.5761 294 521.2495 -0.1527778 0.3427198
Stationary 575.6068 294 521.2495 -0.1527778 0.3427198
Moved 575.6375 294 522.1866 -0.1527778 0.34513
Stationary 575.6683 294 522 -0.1527778 0.3446501
Moved 575.699 294 523.2123 -0.1527778 0.3477681
Moved 575.7297 290.2704 523 -0.161411 0.3472221
Moved 575.7605 287.7169 524.2831 -0.167322 0.3505222
Moved 575.7912 283.6925 524 -0.1766377 0.3497942
Moved 575.8219 280.9797 524 -0.1829174 0.3497942
Moved 575.8526 278.3402 524 -0.1890273 0.3497942
Moved 575.8834 272.3283 524 -0.2029437 0.3497942
Moved 575.9141 269.4547 524 -0.2095957 0.3497942
Moved 575.9448 258.3349 504.0689 -0.2353358 0.2985311
Moved 575.9755 243.3145 481.7611 -0.2701052 0.241155
Moved 576.0062 229.6586 457.9025 -0.3017162 0.1797904
Moved 576.0369 218.167 437.7922 -0.3283172 0.1280662
Moved 576.0677 211.0092 421.0184 -0.3448861 0.08492391
Moved 576.0984 205.2773 410.5546 -0.3581545 0.05801071
Moved 576.1292 200.2692 399.0768 -0.3697472 0.02848978
Moved 576.1598 195.3977 389.7954 -0.3810239 0.004617785
Moved 576.1906 194 384.839 -0.3842593 -0.00813025
Moved 576.2213 192 381.0192 -0.3888888 -0.0179549
Moved 576.2521 191.148 378.148 -0.3908611 -0.02533956
Moved 576.2828 191 378 -0.3912037 -0.02572024
Stationary 576.3135 191 378 -0.3912037 -0.02572024
Moved 576.3442 209.85 377 -0.3475695 -0.02829226
Moved 576.3749 221.0425 377 -0.3216608 -0.02829226
Moved 576.4056 229.2992 377 -0.3025481 -0.02829226
Moved 576.4364 234.806 377 -0.2898008 -0.02829226
Moved 576.4671 238.2695 377 -0.2817835 -0.02829226
Moved 576.4979 240.1406 377 -0.2774523 -0.02829226
Moved 576.5286 241.707 377 -0.2738265 -0.02829226
Moved 576.5593 244.1754 387.3509 -0.2681124 -0.001669597
Moved 576.59 249.9246 400.8493 -0.2548041 0.03304854
Moved 576.6207 260.2969 420.918 -0.2307943 0.08466547
Moved 576.6515 274.4628 443.0599 -0.1980029 0.1416149
Moved 576.6821 286.7165 461.2031 -0.1696378 0.1882794
Moved 576.7129 299.0377 475.6452 -0.1411165 0.2254249
Moved 576.7436 309.4196 489.5036 -0.1170841 0.2610689
Moved 576.7744 320.961 502.9479 -0.09036814 0.2956479
